1,山本　稔太朗,山本　稔太朗.1,2,坂本 雄紀,坂本 雄紀.1,3,川辺 郭人,川辺 郭人.1,4,竹下 大樹,竹下 大樹.1,5,中山 翔太,中山 翔太.1,6,高山 敬悟,高山 敬悟.1
2.0,3.0,88.9,1.0,3.0,286.2,1.0,2.0,1032.0,1.0,2.0,26.8,1.0,2.0,66.1,1.0,2.0,1422.0
2.0,4.0,21.3,1.0,4.0,67.0,1.0,4.0,670.1,1.0,3.0,140.8,1.0,3.0,307.7,1.0,3.0,3528.0
2.0,5.0,30.1,1.0,5.0,84.6,1.0,5.0,1021.0,1.0,5.0,12.6,1.0,4.0,35.0,1.0,4.0,794.2
2.0,6.0,126.6,1.0,6.0,273.8,1.0,6.0,1566.0,1.0,6.0,36.9,1.0,6.0,78.0,1.0,5.0,1028.0
3.0,2.0,176.4,3.0,1.0,679.9,2.0,1.0,1222.0,2.0,1.0,42.9,2.0,1.0,112.7,2.0,1.0,1871.0
3.0,4.0,104.2,3.0,4.0,665.3,2.0,4.0,1176.0,2.0,3.0,281.6,2.0,3.0,473.3,2.0,3.0,4891.0
3.0,5.0,157.3,3.0,5.0,844.8,2.0,5.0,1720.0,2.0,5.0,36.6,2.0,4.0,72.6,2.0,4.0,1408.0
3.0,6.0,341.2,3.0,6.0,1679.0,2.0,6.0,2816.0,2.0,6.0,92.7,2.0,6.0,172.8,2.0,5.0,1679.0
4.0,2.0,17.8,4.0,1.0,88.4,4.0,1.0,844.8,3.0,1.0,393.7,3.0,1.0,995.6,3.0,1.0,4891.0
4.0,3.0,65.5,4.0,3.0,376.7,4.0,2.0,1166.0,3.0,2.0,538.2,3.0,2.0,1115.0,3.0,2.0,5068.0
4.0,5.0,11.8,4.0,5.0,73.3,4.0,5.0,890.7,3.0,5.0,306.3,3.0,4.0,792.0,3.0,4.0,3982.0
4.0,6.0,46.1,4.0,6.0,240.1,4.0,6.0,1810.0,3.0,6.0,570.1,3.0,6.0,1308.0,3.0,5.0,3982.0
5.0,2.0,36.8,5.0,1.0,138.5,5.0,1.0,1201.0,5.0,1.0,8.2,4.0,1.0,24.2,4.0,1.0,759.6
5.0,3.0,123.7,5.0,3.0,544.5,5.0,2.0,1523.0,5.0,2.0,15.5,4.0,2.0,30.8,4.0,2.0,929.3
5.0,4.0,22.0,5.0,4.0,99.8,5.0,4.0,1147.0,5.0,3.0,101.4,4.0,3.0,196.0,4.0,3.0,2581.0
5.0,6.0,78.6,5.0,6.0,306.7,5.0,6.0,2534.0,5.0,6.0,9.7,4.0,6.0,28.8,4.0,5.0,431.5
6.0,2.0,387.7,6.0,1.0,722.2,6.0,1.0,2581.0,6.0,1.0,73.1,6.0,1.0,145.9,5.0,1.0,1006.0
6.0,3.0,640.8,6.0,3.0,1936.0,6.0,2.0,3441.0,6.0,2.0,110.4,6.0,2.0,215.4,5.0,2.0,1400.0
6.0,4.0,183.2,6.0,4.0,695.2,6.0,4.0,3399.0,6.0,3.0,344.6,6.0,3.0,716.6,5.0,3.0,2467.0
6.0,5.0,252.2,6.0,5.0,693.5,6.0,5.0,3279.0,6.0,5.0,48.9,6.0,4.0,100.4,5.0,4.0,462.3
