1,藤田 俊祐,藤田 俊祐.1,2,佐々木　英樹,佐々木　英樹.1,3,佃 來紀,佃 來紀.1,4,岸本 隆,岸本 隆.1,5,伊藤 尚汰,伊藤 尚汰.1,6,谷川 将太,谷川 将太.1
2.0,3.0,10.3,1.0,3.0,88.0,1.0,2.0,117.8,1.0,2.0,46.7,1.0,2.0,206.2,1.0,2.0,907.5
2.0,4.0,8.4,1.0,4.0,74.9,1.0,4.0,76.1,1.0,3.0,69.3,1.0,3.0,153.6,1.0,3.0,806.2
2.0,5.0,19.1,1.0,5.0,127.6,1.0,5.0,93.6,1.0,5.0,38.5,1.0,4.0,156.4,1.0,4.0,766.7
2.0,6.0,35.8,1.0,6.0,190.3,1.0,6.0,171.4,1.0,6.0,61.1,1.0,6.0,250.5,1.0,5.0,1148.0
3.0,2.0,13.9,3.0,1.0,280.8,2.0,1.0,302.1,2.0,1.0,99.5,2.0,1.0,475.6,2.0,1.0,1443.0
3.0,4.0,10.7,3.0,4.0,480.6,2.0,4.0,479.6,2.0,3.0,221.0,2.0,3.0,879.5,2.0,3.0,2554.0
3.0,5.0,15.4,3.0,5.0,719.4,2.0,5.0,697.4,2.0,5.0,174.5,2.0,4.0,694.2,2.0,4.0,2144.0
3.0,6.0,29.9,3.0,6.0,924.1,2.0,6.0,927.9,2.0,6.0,231.1,2.0,6.0,939.4,2.0,5.0,3031.0
4.0,2.0,10.3,4.0,1.0,156.3,4.0,1.0,148.7,3.0,1.0,167.1,3.0,1.0,411.4,3.0,1.0,1886.0
4.0,3.0,14.6,4.0,3.0,341.8,4.0,2.0,361.7,3.0,2.0,324.3,3.0,2.0,990.6,3.0,2.0,3696.0
4.0,5.0,16.0,4.0,5.0,396.7,4.0,5.0,253.3,3.0,5.0,240.0,3.0,4.0,773.3,3.0,4.0,2659.0
4.0,6.0,31.8,4.0,6.0,571.2,4.0,6.0,449.3,3.0,6.0,433.4,3.0,6.0,775.9,3.0,5.0,3552.0
5.0,2.0,38.7,5.0,1.0,452.4,5.0,1.0,287.4,5.0,1.0,53.6,4.0,1.0,174.2,4.0,1.0,819.2
5.0,3.0,31.9,5.0,3.0,879.5,5.0,2.0,726.3,5.0,2.0,118.4,4.0,2.0,371.1,4.0,2.0,1665.0
5.0,4.0,40.2,5.0,4.0,699.5,5.0,4.0,433.0,5.0,3.0,173.9,4.0,3.0,539.3,4.0,3.0,2331.0
5.0,6.0,66.2,5.0,6.0,1139.0,5.0,6.0,745.4,5.0,6.0,89.1,4.0,6.0,292.4,4.0,5.0,1369.0
6.0,2.0,106.1,6.0,1.0,911.2,6.0,1.0,785.3,6.0,1.0,156.4,6.0,1.0,649.5,5.0,1.0,1769.0
6.0,3.0,113.3,6.0,3.0,1635.0,6.0,2.0,1601.0,6.0,2.0,314.4,6.0,2.0,1119.0,5.0,2.0,3580.0
6.0,4.0,112.6,6.0,4.0,1412.0,6.0,4.0,1273.0,6.0,3.0,471.6,6.0,3.0,1145.0,5.0,3.0,2991.0
6.0,5.0,130.0,6.0,5.0,1618.0,6.0,5.0,1403.0,6.0,5.0,202.7,6.0,4.0,639.5,5.0,4.0,1551.0
