1,大瀧　明日香,大瀧　明日香.1,2,松本 怜,松本 怜.1,3,伊藤 玲奈,伊藤 玲奈.1,4,三松 直美,三松 直美.1,5,宇野 弥生,宇野 弥生.1,6,奥村　明日香,奥村　明日香.1
2.0,3.0,25.9,1.0,3.0,149.2,1.0,2.0,215.7,1.0,2.0,442.3,1.0,2.0,24.9,1.0,2.0,185.7
2.0,4.0,63.6,1.0,4.0,328.0,1.0,4.0,305.4,1.0,3.0,522.9,1.0,3.0,20.0,1.0,3.0,224.4
2.0,5.0,15.7,1.0,5.0,95.9,1.0,5.0,98.9,1.0,5.0,192.5,1.0,4.0,51.3,1.0,4.0,440.8
2.0,6.0,47.5,1.0,6.0,201.6,1.0,6.0,232.6,1.0,6.0,294.3,1.0,6.0,13.8,1.0,5.0,81.1
3.0,2.0,28.5,3.0,1.0,262.2,2.0,1.0,311.3,2.0,1.0,866.8,2.0,1.0,67.4,2.0,1.0,388.2
3.0,4.0,43.7,3.0,4.0,681.7,2.0,4.0,739.5,2.0,3.0,1075.0,2.0,3.0,156.4,2.0,3.0,717.9
3.0,5.0,12.8,3.0,5.0,256.8,2.0,5.0,345.2,2.0,5.0,785.9,2.0,4.0,303.6,2.0,4.0,1162.0
3.0,6.0,41.9,3.0,6.0,443.5,2.0,6.0,576.9,2.0,6.0,926.1,2.0,6.0,84.3,2.0,5.0,356.9
4.0,2.0,96.8,4.0,1.0,728.0,4.0,1.0,759.2,3.0,1.0,1036.0,3.0,1.0,64.2,3.0,1.0,596.3
4.0,3.0,81.9,4.0,3.0,1184.0,4.0,2.0,1318.0,3.0,2.0,1652.0,3.0,2.0,169.5,3.0,2.0,911.3
4.0,5.0,44.2,4.0,5.0,666.6,4.0,5.0,635.3,3.0,5.0,998.0,3.0,4.0,208.8,3.0,4.0,1117.0
4.0,6.0,113.0,4.0,6.0,872.7,4.0,6.0,957.2,3.0,6.0,1419.0,3.0,6.0,100.4,3.0,5.0,550.3
5.0,2.0,11.6,5.0,1.0,126.5,5.0,1.0,140.0,5.0,1.0,154.0,4.0,1.0,118.6,4.0,1.0,875.6
5.0,3.0,9.4,5.0,3.0,239.0,5.0,2.0,321.8,5.0,2.0,423.4,4.0,2.0,302.8,4.0,2.0,1335.0
5.0,4.0,27.6,5.0,4.0,445.0,5.0,4.0,461.8,5.0,3.0,546.2,4.0,3.0,322.2,4.0,3.0,1393.0
5.0,6.0,10.4,5.0,6.0,176.3,5.0,6.0,285.2,5.0,6.0,189.1,4.0,6.0,135.6,4.0,5.0,678.1
6.0,2.0,71.5,6.0,1.0,402.8,6.0,1.0,629.1,6.0,1.0,501.9,6.0,1.0,24.0,5.0,1.0,78.1
6.0,3.0,79.6,6.0,3.0,721.9,6.0,2.0,950.1,6.0,2.0,1304.0,6.0,2.0,57.3,5.0,2.0,191.2
6.0,4.0,144.2,6.0,4.0,1152.0,6.0,4.0,1223.0,6.0,3.0,1294.0,6.0,3.0,62.8,5.0,3.0,236.3
6.0,5.0,35.1,6.0,5.0,337.5,6.0,5.0,532.1,6.0,5.0,399.0,6.0,4.0,114.8,5.0,4.0,366.8
