1,青木 蓮,青木 蓮.1,2,本橋 克洋,本橋 克洋.1,3,植田 太一,植田 太一.1,4,丹下 将,丹下 将.1,5,加藤 奈月,加藤 奈月.1,6,古賀 繁輝,古賀 繁輝.1
2.0,3.0,19.1,1.0,3.0,132.0,1.0,2.0,105.9,1.0,2.0,50.7,1.0,2.0,1181.0,1.0,2.0,108.9
2.0,4.0,15.5,1.0,4.0,88.9,1.0,4.0,43.8,1.0,3.0,56.7,1.0,3.0,1480.0,1.0,3.0,133.3
2.0,5.0,157.5,1.0,5.0,378.5,1.0,5.0,268.6,1.0,5.0,170.5,1.0,4.0,1057.0,1.0,4.0,64.8
2.0,6.0,24.3,1.0,6.0,112.2,1.0,6.0,52.9,1.0,6.0,27.8,1.0,6.0,1106.0,1.0,5.0,580.2
3.0,2.0,15.0,3.0,1.0,334.0,2.0,1.0,262.0,2.0,1.0,116.5,2.0,1.0,2730.0,2.0,1.0,207.3
3.0,4.0,8.6,3.0,4.0,346.2,2.0,4.0,227.2,2.0,3.0,223.8,2.0,3.0,3000.0,2.0,3.0,448.8
3.0,5.0,102.3,3.0,5.0,1266.0,2.0,5.0,716.3,2.0,5.0,434.8,2.0,4.0,2582.0,2.0,4.0,198.1
3.0,6.0,13.0,3.0,6.0,404.2,2.0,6.0,251.5,2.0,6.0,87.6,2.0,6.0,2068.0,2.0,5.0,1152.0
4.0,2.0,13.8,4.0,1.0,182.5,4.0,1.0,67.4,3.0,1.0,88.3,3.0,1.0,1507.0,3.0,1.0,286.6
4.0,3.0,10.8,4.0,3.0,311.2,4.0,2.0,147.7,3.0,2.0,180.7,3.0,2.0,2602.0,3.0,2.0,505.4
4.0,5.0,121.7,4.0,5.0,905.1,4.0,5.0,334.7,3.0,5.0,466.5,3.0,4.0,2413.0,3.0,4.0,261.8
4.0,6.0,10.3,4.0,6.0,133.9,4.0,6.0,56.8,3.0,6.0,80.5,3.0,6.0,2329.0,3.0,5.0,1256.0
5.0,2.0,381.5,5.0,1.0,2081.0,5.0,1.0,751.8,5.0,1.0,372.1,4.0,1.0,1337.0,4.0,1.0,84.6
5.0,3.0,312.7,5.0,3.0,1771.0,5.0,2.0,1095.0,5.0,2.0,525.3,4.0,2.0,1860.0,4.0,2.0,138.0
5.0,4.0,383.7,5.0,4.0,2056.0,5.0,4.0,828.5,5.0,3.0,696.8,4.0,3.0,2235.0,4.0,3.0,192.0
5.0,6.0,369.2,5.0,6.0,1387.0,5.0,6.0,755.2,5.0,6.0,289.1,4.0,6.0,1327.0,4.0,5.0,499.3
6.0,2.0,40.4,6.0,1.0,264.7,6.0,1.0,115.4,6.0,1.0,37.1,6.0,1.0,2108.0,5.0,1.0,1460.0
6.0,3.0,30.6,6.0,3.0,465.8,6.0,2.0,239.7,6.0,2.0,60.8,6.0,2.0,1947.0,5.0,2.0,1616.0
6.0,4.0,23.3,6.0,4.0,177.4,6.0,4.0,95.8,6.0,3.0,84.1,6.0,3.0,2297.0,5.0,3.0,1810.0
6.0,5.0,250.4,6.0,5.0,905.1,6.0,5.0,630.8,6.0,5.0,180.4,6.0,4.0,1266.0,5.0,4.0,1152.0
