1,佐藤 大佑,佐藤 大佑.1,2,田中 勇輔,田中 勇輔.1,3,澤崎 雄哉,澤崎 雄哉.1,4,香月 大輝,香月 大輝.1,5,石川 真二,石川 真二.1,6,中井 俊祐,中井 俊祐.1
2.0,3.0,25.9,1.0,3.0,43.0,1.0,2.0,68.1,1.0,2.0,1147.0,1.0,2.0,14.6,1.0,2.0,204.2
2.0,4.0,166.8,1.0,4.0,219.9,1.0,4.0,243.4,1.0,3.0,1047.0,1.0,3.0,13.7,1.0,3.0,209.1
2.0,5.0,26.7,1.0,5.0,53.9,1.0,5.0,56.0,1.0,5.0,879.7,1.0,4.0,145.8,1.0,4.0,741.3
2.0,6.0,57.8,1.0,6.0,74.0,1.0,6.0,82.2,1.0,6.0,1147.0,1.0,6.0,24.3,1.0,5.0,150.3
3.0,2.0,29.7,3.0,1.0,42.8,2.0,1.0,72.7,2.0,1.0,1199.0,2.0,1.0,31.1,2.0,1.0,268.2
3.0,4.0,144.3,3.0,4.0,136.1,2.0,4.0,236.9,2.0,3.0,1233.0,2.0,3.0,34.4,2.0,3.0,162.5
3.0,5.0,26.3,3.0,5.0,40.6,2.0,5.0,62.5,2.0,5.0,1268.0,2.0,4.0,231.9,2.0,4.0,845.9
3.0,6.0,46.7,3.0,6.0,46.1,2.0,6.0,68.1,2.0,6.0,1552.0,2.0,6.0,55.5,2.0,5.0,221.0
4.0,2.0,371.7,4.0,1.0,469.6,4.0,1.0,466.3,3.0,1.0,1360.0,3.0,1.0,25.8,3.0,1.0,240.8
4.0,3.0,329.9,4.0,3.0,403.5,4.0,2.0,474.6,3.0,2.0,1306.0,3.0,2.0,40.3,3.0,2.0,159.9
4.0,5.0,302.6,4.0,5.0,586.5,4.0,5.0,354.7,3.0,5.0,709.4,3.0,4.0,244.8,3.0,4.0,501.7
4.0,6.0,472.9,4.0,6.0,625.4,4.0,6.0,312.7,3.0,6.0,663.1,3.0,6.0,46.0,3.0,5.0,172.0
5.0,2.0,20.0,5.0,1.0,56.1,5.0,1.0,60.0,5.0,1.0,809.6,4.0,1.0,411.1,4.0,1.0,1137.0
5.0,3.0,20.8,5.0,3.0,39.8,5.0,2.0,53.5,5.0,2.0,1319.0,4.0,2.0,566.3,4.0,2.0,1418.0
5.0,4.0,140.3,5.0,4.0,269.8,5.0,4.0,204.5,5.0,3.0,717.2,4.0,3.0,525.7,4.0,3.0,790.2
5.0,6.0,30.7,5.0,6.0,84.0,5.0,6.0,68.1,5.0,6.0,840.5,4.0,6.0,625.4,4.0,5.0,1099.0
6.0,2.0,96.6,6.0,1.0,117.3,6.0,1.0,94.5,6.0,1.0,1233.0,6.0,1.0,59.4,5.0,1.0,148.7
6.0,3.0,88.6,6.0,3.0,86.9,6.0,2.0,88.0,6.0,2.0,1670.0,6.0,2.0,86.8,5.0,2.0,199.9
6.0,4.0,291.3,6.0,4.0,367.5,6.0,4.0,209.4,6.0,3.0,729.0,6.0,3.0,72.3,5.0,3.0,157.4
6.0,5.0,69.1,6.0,5.0,106.2,6.0,5.0,78.8,6.0,5.0,824.7,6.0,4.0,374.9,5.0,4.0,780.8
