1,常住 蓮,常住 蓮.1,2,飯山 晃三,飯山 晃三.1,3,島川 海輝,島川 海輝.1,4,待鳥 雄紀,待鳥 雄紀.1,5,麻生 慎介,麻生 慎介.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,28.9,1.0,3.0,262.6,1.0,2.0,115.7,1.0,2.0,173.9,1.0,2.0,60.6,1.0,2.0,1979.0
2.0,4.0,29.6,1.0,4.0,309.9,1.0,4.0,44.6,1.0,3.0,94.4,1.0,3.0,27.7,1.0,3.0,3338.0
2.0,5.0,23.2,1.0,5.0,230.5,1.0,5.0,34.1,1.0,5.0,47.0,1.0,4.0,26.0,1.0,4.0,2083.0
2.0,6.0,273.7,1.0,6.0,1126.0,1.0,6.0,245.1,1.0,6.0,588.2,1.0,6.0,221.3,1.0,5.0,2388.0
3.0,2.0,23.6,3.0,1.0,365.5,2.0,1.0,245.4,2.0,1.0,376.4,2.0,1.0,232.4,2.0,1.0,2565.0
3.0,4.0,10.4,3.0,4.0,899.5,2.0,4.0,543.2,2.0,3.0,680.7,2.0,3.0,409.8,2.0,3.0,4468.0
3.0,5.0,7.5,3.0,5.0,885.2,2.0,5.0,534.8,2.0,5.0,378.0,2.0,4.0,349.4,2.0,4.0,2827.0
3.0,6.0,190.1,3.0,6.0,2252.0,2.0,6.0,1194.0,2.0,6.0,1069.0,2.0,6.0,1041.0,2.0,5.0,4329.0
4.0,2.0,26.3,4.0,1.0,536.9,4.0,1.0,103.3,3.0,1.0,165.4,3.0,1.0,65.3,3.0,1.0,3044.0
4.0,3.0,14.3,4.0,3.0,1095.0,4.0,2.0,365.5,3.0,2.0,523.7,3.0,2.0,295.0,3.0,2.0,3744.0
4.0,5.0,10.0,4.0,5.0,765.4,4.0,5.0,107.6,3.0,5.0,153.9,3.0,4.0,114.1,3.0,4.0,2022.0
4.0,6.0,270.8,4.0,6.0,1924.0,4.0,6.0,911.4,3.0,6.0,1149.0,3.0,6.0,810.1,3.0,5.0,3744.0
5.0,2.0,19.1,5.0,1.0,403.3,5.0,1.0,73.9,5.0,1.0,51.6,4.0,1.0,48.3,4.0,1.0,2827.0
5.0,3.0,8.2,5.0,3.0,972.1,5.0,2.0,325.9,5.0,2.0,175.2,4.0,2.0,186.5,4.0,2.0,3148.0
5.0,4.0,9.1,5.0,4.0,789.3,5.0,4.0,105.5,5.0,3.0,120.8,4.0,3.0,101.9,4.0,3.0,3795.0
5.0,6.0,153.3,5.0,6.0,2007.0,5.0,6.0,882.4,5.0,6.0,453.4,4.0,6.0,440.5,4.0,5.0,3184.0
6.0,2.0,896.6,6.0,1.0,2690.0,6.0,1.0,2199.0,6.0,1.0,1547.0,6.0,1.0,642.8,5.0,1.0,2234.0
6.0,3.0,852.5,6.0,3.0,4398.0,6.0,2.0,2770.0,6.0,2.0,1731.0,6.0,2.0,1385.0,5.0,2.0,4015.0
6.0,4.0,800.7,6.0,4.0,3378.0,6.0,4.0,2368.0,6.0,3.0,2234.0,6.0,3.0,1294.0,5.0,3.0,3694.0
6.0,5.0,531.8,6.0,5.0,3902.0,6.0,5.0,2638.0,6.0,5.0,1699.0,6.0,4.0,986.0,5.0,4.0,3078.0
