1,杢野 誓良,杢野 誓良.1,2,金子 萌,金子 萌.1,3,上野 俊樹,上野 俊樹.1,4,岸本 隆,岸本 隆.1,5,藤森 拓海,藤森 拓海.1,6,川尻 泰輔,川尻 泰輔.1
2.0,3.0,11.4,1.0,3.0,26.7,1.0,2.0,190.6,1.0,2.0,32.6,1.0,2.0,580.0,1.0,2.0,171.2
2.0,4.0,5.3,1.0,4.0,8.7,1.0,4.0,313.7,1.0,3.0,123.4,1.0,3.0,884.9,1.0,3.0,575.2
2.0,5.0,34.4,1.0,5.0,49.9,1.0,5.0,403.6,1.0,5.0,131.7,1.0,4.0,841.7,1.0,4.0,233.1
2.0,6.0,11.9,1.0,6.0,17.1,1.0,6.0,313.7,1.0,6.0,48.9,1.0,6.0,750.2,1.0,5.0,719.0
3.0,2.0,42.3,3.0,1.0,100.0,2.0,1.0,267.5,2.0,1.0,51.8,2.0,1.0,958.6,2.0,1.0,216.3
3.0,4.0,67.3,3.0,4.0,144.4,2.0,4.0,268.5,2.0,3.0,133.5,2.0,3.0,1327.0,2.0,3.0,802.6
3.0,5.0,157.2,3.0,5.0,272.8,2.0,5.0,645.0,2.0,5.0,160.5,2.0,4.0,1061.0,2.0,4.0,224.8
3.0,6.0,114.0,3.0,6.0,204.2,2.0,6.0,418.3,2.0,6.0,65.1,2.0,6.0,896.4,2.0,5.0,841.7
4.0,2.0,14.1,4.0,1.0,25.6,4.0,1.0,657.3,3.0,1.0,375.1,3.0,1.0,1278.0,3.0,1.0,1380.0
4.0,3.0,41.6,4.0,3.0,80.2,4.0,2.0,539.2,3.0,2.0,511.3,3.0,2.0,2030.0,3.0,2.0,1725.0
4.0,5.0,93.9,4.0,5.0,98.8,4.0,5.0,1255.0,3.0,5.0,530.9,3.0,4.0,2226.0,3.0,4.0,1769.0
4.0,6.0,29.4,4.0,6.0,34.3,4.0,6.0,575.2,3.0,6.0,350.3,3.0,6.0,2030.0,3.0,5.0,1643.0
5.0,2.0,161.2,5.0,1.0,217.7,5.0,1.0,1095.0,5.0,1.0,135.8,4.0,1.0,726.5,4.0,1.0,247.4
5.0,3.0,266.5,5.0,3.0,442.4,5.0,2.0,1169.0,5.0,2.0,163.5,4.0,2.0,884.9,4.0,2.0,193.3
5.0,4.0,227.0,5.0,4.0,291.2,5.0,4.0,2157.0,5.0,3.0,570.4,4.0,3.0,1568.0,4.0,3.0,734.3
5.0,6.0,278.3,5.0,6.0,375.1,5.0,6.0,1568.0,5.0,6.0,126.8,4.0,6.0,812.0,4.0,5.0,663.7
6.0,2.0,39.7,6.0,1.0,68.4,6.0,1.0,821.7,6.0,1.0,71.0,6.0,1.0,896.4,5.0,1.0,1769.0
6.0,3.0,114.0,6.0,3.0,223.3,6.0,2.0,1000.0,6.0,2.0,76.1,6.0,2.0,884.9,5.0,2.0,1190.0
6.0,4.0,58.5,6.0,4.0,82.0,6.0,4.0,812.0,6.0,3.0,263.4,6.0,3.0,1468.0,5.0,3.0,2157.0
6.0,5.0,243.0,6.0,5.0,310.9,6.0,5.0,1769.0,6.0,5.0,120.4,6.0,4.0,852.1,5.0,4.0,1210.0
