1,大賀 広幸,大賀 広幸.1,2,黒柳 浩孝,黒柳 浩孝.1,3,武井　莉里佳,武井　莉里佳.1,4,嶋 義信,嶋 義信.1,5,眞鳥 康太,眞鳥 康太.1,6,平瀬 城啓,平瀬 城啓.1
2.0,3.0,14.3,1.0,3.0,68.7,1.0,2.0,76.0,1.0,2.0,24.8,1.0,2.0,164.4,1.0,2.0,1781.0
2.0,4.0,7.8,1.0,4.0,35.2,1.0,4.0,54.4,1.0,3.0,58.6,1.0,3.0,305.2,1.0,3.0,2702.0
2.0,5.0,20.5,1.0,5.0,73.9,1.0,5.0,87.2,1.0,5.0,26.8,1.0,4.0,137.2,1.0,4.0,1369.0
2.0,6.0,96.6,1.0,6.0,241.9,1.0,6.0,277.7,1.0,6.0,79.0,1.0,6.0,250.2,1.0,5.0,1597.0
3.0,2.0,21.1,3.0,1.0,165.5,2.0,1.0,152.4,2.0,1.0,44.1,2.0,1.0,267.3,2.0,1.0,2044.0
3.0,4.0,18.8,3.0,4.0,170.9,2.0,4.0,154.4,2.0,3.0,116.9,2.0,3.0,610.1,2.0,3.0,3097.0
3.0,5.0,38.3,3.0,5.0,261.9,2.0,5.0,247.1,2.0,5.0,55.6,2.0,4.0,195.8,2.0,4.0,885.0
3.0,6.0,169.6,3.0,6.0,645.3,2.0,6.0,526.3,2.0,6.0,132.6,2.0,6.0,387.1,2.0,5.0,1103.0
4.0,2.0,9.7,4.0,1.0,61.3,4.0,1.0,88.5,3.0,1.0,111.8,3.0,1.0,585.2,3.0,1.0,2758.0
4.0,3.0,20.8,4.0,3.0,143.1,4.0,2.0,121.4,3.0,2.0,152.4,3.0,2.0,734.8,3.0,2.0,3471.0
4.0,5.0,18.3,4.0,5.0,101.3,4.0,5.0,107.1,3.0,5.0,124.5,3.0,4.0,567.1,3.0,4.0,1945.0
4.0,6.0,72.0,4.0,6.0,241.2,4.0,6.0,220.0,3.0,6.0,284.1,3.0,6.0,1006.0,3.0,5.0,3050.0
5.0,2.0,46.4,5.0,1.0,219.8,5.0,1.0,189.4,5.0,1.0,30.2,4.0,1.0,116.6,4.0,1.0,975.0
5.0,3.0,77.0,5.0,3.0,378.1,5.0,2.0,286.6,5.0,2.0,38.0,4.0,2.0,124.5,4.0,2.0,756.9
5.0,4.0,44.0,5.0,4.0,174.9,5.0,4.0,187.9,5.0,3.0,86.5,4.0,3.0,314.5,4.0,3.0,1713.0
5.0,6.0,162.5,5.0,6.0,436.2,5.0,6.0,454.4,5.0,6.0,44.1,4.0,6.0,129.7,4.0,5.0,426.5
6.0,2.0,407.5,6.0,1.0,975.0,6.0,1.0,919.3,6.0,1.0,180.9,6.0,1.0,556.1,5.0,1.0,1496.0
6.0,3.0,471.5,6.0,3.0,1388.0,6.0,2.0,1068.0,6.0,2.0,201.2,6.0,2.0,525.0,5.0,2.0,1022.0
6.0,4.0,329.2,6.0,4.0,581.9,6.0,4.0,688.3,6.0,3.0,382.4,6.0,3.0,1068.0,5.0,3.0,2396.0
6.0,5.0,431.1,6.0,5.0,729.5,6.0,5.0,936.4,6.0,5.0,110.3,6.0,4.0,269.8,5.0,4.0,442.0
