1,福田 雅一,福田 雅一.1,2,岡崎 恭裕,岡崎 恭裕.1,3,服部 幸男,服部 幸男.1,4,宇野 博之,宇野 博之.1,5,小林 遼太,小林 遼太.1,6,田頭 虎親,田頭 虎親.1
2.0,3.0,6.3,1.0,3.0,7.1,1.0,2.0,43.1,1.0,2.0,374.8,1.0,2.0,841.9,1.0,2.0,246.5
2.0,4.0,21.6,1.0,4.0,21.8,1.0,4.0,116.1,1.0,3.0,530.7,1.0,3.0,996.3,1.0,3.0,389.2
2.0,5.0,36.7,1.0,5.0,40.6,1.0,5.0,172.2,1.0,5.0,716.1,1.0,4.0,1254.0,1.0,4.0,972.4
2.0,6.0,14.5,1.0,6.0,13.8,1.0,6.0,70.7,1.0,6.0,549.5,1.0,6.0,1143.0,1.0,5.0,1231.0
3.0,2.0,12.5,3.0,1.0,14.0,2.0,1.0,40.6,2.0,1.0,396.2,2.0,1.0,1011.0,2.0,1.0,265.9
3.0,4.0,43.0,3.0,4.0,34.6,2.0,4.0,75.3,2.0,3.0,418.9,2.0,3.0,1071.0,2.0,3.0,207.2
3.0,5.0,65.2,3.0,5.0,54.7,2.0,5.0,117.5,2.0,5.0,776.2,2.0,4.0,1376.0,2.0,4.0,676.5
3.0,6.0,30.6,3.0,6.0,17.4,2.0,6.0,42.9,2.0,6.0,472.7,2.0,6.0,1206.0,2.0,5.0,1173.0
4.0,2.0,78.2,4.0,1.0,85.9,4.0,1.0,278.5,3.0,1.0,767.1,3.0,1.0,1652.0,3.0,1.0,497.6
4.0,3.0,113.9,4.0,3.0,91.5,4.0,2.0,186.7,3.0,2.0,545.0,3.0,2.0,1409.0,3.0,2.0,275.0
4.0,5.0,283.3,4.0,5.0,235.8,4.0,5.0,482.6,3.0,5.0,1501.0,3.0,4.0,2558.0,3.0,4.0,1126.0
4.0,6.0,154.2,4.0,6.0,97.6,4.0,6.0,264.5,3.0,6.0,763.8,3.0,6.0,1823.0,3.0,5.0,1527.0
5.0,2.0,176.2,5.0,1.0,205.4,5.0,1.0,445.5,5.0,1.0,1155.0,4.0,1.0,2160.0,4.0,1.0,1641.0
5.0,3.0,218.7,5.0,3.0,214.2,5.0,2.0,364.4,5.0,2.0,1237.0,4.0,2.0,1792.0,4.0,2.0,1133.0
5.0,4.0,430.9,5.0,4.0,390.1,5.0,4.0,722.9,5.0,3.0,1722.0,4.0,3.0,3064.0,4.0,3.0,1862.0
5.0,6.0,275.9,5.0,6.0,221.1,5.0,6.0,490.7,5.0,6.0,1192.0,4.0,6.0,1981.0,4.0,5.0,2497.0
6.0,2.0,64.8,6.0,1.0,52.5,6.0,1.0,148.3,6.0,1.0,835.2,6.0,1.0,2083.0,5.0,1.0,2291.0
6.0,3.0,89.3,6.0,3.0,48.1,6.0,2.0,99.3,6.0,2.0,676.5,6.0,2.0,1937.0,5.0,2.0,2116.0
6.0,4.0,267.2,6.0,4.0,147.5,6.0,4.0,363.9,6.0,3.0,1093.0,6.0,3.0,2462.0,5.0,3.0,2486.0
6.0,5.0,307.1,6.0,5.0,199.9,6.0,5.0,456.7,6.0,5.0,1597.0,6.0,4.0,2833.0,5.0,4.0,2440.0
