1,福田 宗平,福田 宗平.1,2,中田 友也,中田 友也.1,3,河野 大,河野 大.1,4,向後 龍一,向後 龍一.1,5,田中 宏樹,田中 宏樹.1,6,中島 昂章,中島 昂章.1
2.0,3.0,22.7,1.0,3.0,197.9,1.0,2.0,81.6,1.0,2.0,145.7,1.0,2.0,172.7,1.0,2.0,650.7
2.0,4.0,28.1,1.0,4.0,216.8,1.0,4.0,19.5,1.0,3.0,45.8,1.0,3.0,96.4,1.0,3.0,469.4
2.0,5.0,65.0,1.0,5.0,379.2,1.0,5.0,42.4,1.0,5.0,68.4,1.0,4.0,118.1,1.0,4.0,610.3
2.0,6.0,75.0,1.0,6.0,376.4,1.0,6.0,62.1,1.0,6.0,87.4,1.0,6.0,100.9,1.0,5.0,513.8
3.0,2.0,13.5,3.0,1.0,386.3,2.0,1.0,270.3,2.0,1.0,397.8,2.0,1.0,347.0,2.0,1.0,1185.0
3.0,4.0,5.4,3.0,4.0,531.0,2.0,4.0,307.2,2.0,3.0,485.4,2.0,3.0,468.3,2.0,3.0,1580.0
3.0,5.0,14.4,3.0,5.0,1257.0,2.0,5.0,643.6,2.0,5.0,678.6,2.0,4.0,565.2,2.0,4.0,1624.0
3.0,6.0,21.2,3.0,6.0,1074.0,2.0,6.0,622.3,2.0,6.0,613.0,2.0,6.0,343.8,2.0,5.0,1500.0
4.0,2.0,24.0,4.0,1.0,420.5,4.0,1.0,41.0,3.0,1.0,65.9,3.0,1.0,151.0,3.0,1.0,748.8
4.0,3.0,9.0,4.0,3.0,561.3,4.0,2.0,180.1,3.0,2.0,269.4,3.0,2.0,392.2,3.0,2.0,1740.0
4.0,5.0,20.3,4.0,5.0,1195.0,4.0,5.0,71.2,3.0,5.0,104.4,3.0,4.0,154.3,3.0,4.0,931.3
4.0,6.0,28.8,4.0,6.0,1478.0,4.0,6.0,98.8,3.0,6.0,141.4,3.0,6.0,171.0,3.0,5.0,1199.0
5.0,2.0,81.0,5.0,1.0,893.0,5.0,1.0,121.9,5.0,1.0,94.2,4.0,1.0,177.8,4.0,1.0,931.3
5.0,3.0,42.5,5.0,3.0,1599.0,5.0,2.0,418.4,5.0,2.0,292.6,4.0,2.0,455.9,4.0,2.0,1684.0
5.0,4.0,50.8,5.0,4.0,1650.0,5.0,4.0,132.7,5.0,3.0,119.6,4.0,3.0,180.6,4.0,3.0,999.0
5.0,6.0,85.4,5.0,6.0,1740.0,5.0,6.0,235.6,5.0,6.0,131.1,4.0,6.0,184.6,4.0,5.0,1080.0
6.0,2.0,115.2,6.0,1.0,1142.0,6.0,1.0,270.0,6.0,1.0,201.9,6.0,1.0,144.4,5.0,1.0,524.2
6.0,3.0,74.3,6.0,3.0,1809.0,6.0,2.0,671.9,6.0,2.0,476.4,6.0,2.0,239.1,5.0,2.0,817.0
6.0,4.0,82.2,6.0,4.0,1901.0,6.0,4.0,270.5,6.0,3.0,279.5,6.0,3.0,163.9,5.0,3.0,659.1
6.0,5.0,143.1,6.0,5.0,2042.0,6.0,5.0,435.6,6.0,5.0,262.6,6.0,4.0,185.1,5.0,4.0,720.0
