1,近藤 友宝,近藤 友宝.1,2,内田 圭,内田 圭.1,3,竹下 大樹,竹下 大樹.1,4,坂井 康嗣,坂井 康嗣.1,5,羽野 直也,羽野 直也.1,6,渡辺 浩司,渡辺 浩司.1
2.0,3.0,81.8,1.0,3.0,153.6,1.0,2.0,95.1,1.0,2.0,552.1,1.0,2.0,124.4,1.0,2.0,619.1
2.0,4.0,149.8,1.0,4.0,277.2,1.0,4.0,74.6,1.0,3.0,453.9,1.0,3.0,41.6,1.0,3.0,256.6
2.0,5.0,87.4,1.0,5.0,130.0,1.0,5.0,21.9,1.0,5.0,291.2,1.0,4.0,171.4,1.0,4.0,867.7
2.0,6.0,105.9,1.0,6.0,164.7,1.0,6.0,31.2,1.0,6.0,345.6,1.0,6.0,43.7,1.0,5.0,170.7
3.0,2.0,64.6,3.0,1.0,177.4,2.0,1.0,162.9,2.0,1.0,700.8,2.0,1.0,246.7,2.0,1.0,822.9
3.0,4.0,59.6,3.0,4.0,237.0,2.0,4.0,170.2,2.0,3.0,472.4,2.0,3.0,146.7,2.0,3.0,631.4
3.0,5.0,20.8,3.0,5.0,87.8,2.0,5.0,67.6,2.0,5.0,327.0,2.0,4.0,326.2,2.0,4.0,1080.0
3.0,6.0,33.0,3.0,6.0,122.6,2.0,6.0,73.6,2.0,6.0,384.1,2.0,6.0,120.5,2.0,5.0,327.9
4.0,2.0,277.8,4.0,1.0,481.3,4.0,1.0,151.3,3.0,1.0,449.1,3.0,1.0,41.6,3.0,1.0,238.8
4.0,3.0,147.2,4.0,3.0,399.8,4.0,2.0,236.2,3.0,2.0,474.1,3.0,2.0,80.7,3.0,2.0,372.9
4.0,5.0,167.3,4.0,5.0,279.1,4.0,5.0,61.7,3.0,5.0,158.2,3.0,4.0,79.8,3.0,4.0,343.8
4.0,6.0,185.1,4.0,6.0,360.3,4.0,6.0,82.7,3.0,6.0,194.1,3.0,6.0,16.7,3.0,5.0,67.0
5.0,2.0,78.2,5.0,1.0,203.1,5.0,1.0,22.7,5.0,1.0,253.5,4.0,1.0,273.7,4.0,1.0,1203.0
5.0,3.0,28.5,5.0,3.0,118.5,5.0,2.0,47.3,5.0,2.0,273.1,4.0,2.0,291.2,4.0,2.0,959.0
5.0,4.0,108.7,5.0,4.0,271.3,5.0,4.0,38.8,5.0,3.0,165.6,4.0,3.0,160.4,4.0,3.0,585.1
5.0,6.0,31.4,5.0,6.0,111.8,5.0,6.0,11.7,5.0,6.0,83.3,4.0,6.0,102.0,4.0,5.0,300.1
6.0,2.0,190.0,6.0,1.0,468.9,6.0,1.0,57.3,6.0,1.0,527.0,6.0,1.0,35.6,5.0,1.0,118.8
6.0,3.0,67.5,6.0,3.0,259.2,6.0,2.0,96.4,6.0,2.0,514.3,6.0,2.0,72.2,5.0,2.0,164.5
6.0,4.0,235.7,6.0,4.0,564.3,6.0,4.0,79.9,6.0,3.0,281.5,6.0,3.0,18.7,5.0,3.0,57.5
6.0,5.0,57.4,6.0,5.0,179.9,6.0,5.0,24.3,6.0,5.0,138.1,6.0,4.0,67.0,5.0,4.0,181.4
