1,片橋 幸貴,片橋 幸貴.1,2,竹田 吉行,竹田 吉行.1,3,重富 伸也,重富 伸也.1,4,木場 悠介,木場 悠介.1,5,筒井 美琴,筒井 美琴.1,6,梶山 涼斗,梶山 涼斗.1
2.0,3.0,6.6,1.0,3.0,35.9,1.0,2.0,66.8,1.0,2.0,76.6,1.0,2.0,1234.0,1.0,2.0,224.2
2.0,4.0,5.7,1.0,4.0,29.9,1.0,4.0,54.1,1.0,3.0,114.2,1.0,3.0,1680.0,1.0,3.0,340.7
2.0,5.0,107.1,1.0,5.0,237.8,1.0,5.0,269.9,1.0,5.0,409.9,1.0,4.0,1653.0,1.0,4.0,328.5
2.0,6.0,15.3,1.0,6.0,63.8,1.0,6.0,92.1,1.0,6.0,133.4,1.0,6.0,2072.0,1.0,5.0,1018.0
3.0,2.0,9.8,3.0,1.0,97.7,2.0,1.0,124.0,2.0,1.0,128.5,2.0,1.0,2192.0,2.0,1.0,335.0
3.0,4.0,10.8,3.0,4.0,107.4,2.0,4.0,135.2,2.0,3.0,252.3,2.0,3.0,2677.0,2.0,3.0,672.3
3.0,5.0,106.4,3.0,5.0,474.9,2.0,5.0,497.6,2.0,5.0,811.1,2.0,4.0,2677.0,2.0,4.0,646.5
3.0,6.0,21.9,3.0,6.0,207.8,2.0,6.0,210.9,2.0,6.0,284.9,2.0,6.0,2420.0,2.0,5.0,1644.0
4.0,2.0,10.2,4.0,1.0,80.0,4.0,1.0,81.4,3.0,1.0,143.9,3.0,1.0,2909.0,3.0,1.0,564.4
4.0,3.0,13.7,4.0,3.0,119.2,4.0,2.0,126.6,3.0,2.0,218.1,3.0,2.0,3025.0,3.0,2.0,706.9
4.0,5.0,128.1,4.0,5.0,498.4,4.0,5.0,356.3,3.0,5.0,584.1,3.0,4.0,3184.0,3.0,4.0,866.9
4.0,6.0,20.0,4.0,6.0,168.3,4.0,6.0,124.4,3.0,6.0,229.7,3.0,6.0,3025.0,3.0,5.0,1879.0
5.0,2.0,343.4,5.0,1.0,1172.0,5.0,1.0,922.4,5.0,1.0,871.9,4.0,1.0,2521.0,4.0,1.0,608.7
5.0,3.0,320.1,5.0,3.0,1036.0,5.0,2.0,1076.0,5.0,2.0,1293.0,4.0,2.0,3025.0,4.0,2.0,794.1
5.0,4.0,370.7,5.0,4.0,1497.0,5.0,4.0,1084.0,5.0,3.0,1362.0,4.0,3.0,2801.0,4.0,3.0,1072.0
5.0,6.0,448.9,5.0,6.0,1528.0,5.0,6.0,847.5,5.0,6.0,988.7,4.0,6.0,3324.0,4.0,5.0,2382.0
6.0,2.0,42.4,6.0,1.0,284.3,6.0,1.0,207.6,6.0,1.0,258.3,6.0,1.0,3399.0,5.0,1.0,2257.0
6.0,3.0,56.7,6.0,3.0,449.5,6.0,2.0,311.2,6.0,2.0,367.6,6.0,2.0,3324.0,5.0,2.0,3324.0
6.0,4.0,54.5,6.0,4.0,408.8,6.0,4.0,266.3,6.0,3.0,424.3,6.0,3.0,3151.0,5.0,3.0,3184.0
6.0,5.0,321.8,6.0,5.0,1327.0,6.0,5.0,666.4,6.0,5.0,758.3,6.0,4.0,3218.0,5.0,4.0,3399.0
