1,今井 貴士,今井 貴士.1,2,水摩 敦,水摩 敦.1,3,渡辺 空依,渡辺 空依.1,4,竹下 大樹,竹下 大樹.1,5,森清 友翔,森清 友翔.1,6,山下 心一,山下 心一.1
2.0,3.0,11.6,1.0,3.0,96.3,1.0,2.0,383.0,1.0,2.0,14.6,1.0,2.0,199.8,1.0,2.0,734.7
2.0,4.0,3.9,1.0,4.0,29.1,1.0,4.0,268.4,1.0,3.0,72.0,1.0,3.0,625.6,1.0,3.0,2457.0
2.0,5.0,20.7,1.0,5.0,108.3,1.0,5.0,659.6,1.0,5.0,25.9,1.0,4.0,160.1,1.0,4.0,562.5
2.0,6.0,64.4,1.0,6.0,244.3,1.0,6.0,913.5,1.0,6.0,57.7,1.0,6.0,458.7,1.0,5.0,1706.0
3.0,2.0,33.0,3.0,1.0,404.8,2.0,1.0,584.8,2.0,1.0,27.6,2.0,1.0,407.2,2.0,1.0,1042.0
3.0,4.0,34.1,3.0,4.0,508.5,2.0,4.0,714.3,2.0,3.0,140.9,2.0,3.0,1128.0,2.0,3.0,2085.0
3.0,5.0,82.5,3.0,5.0,794.0,2.0,5.0,913.5,2.0,5.0,62.7,2.0,4.0,408.0,2.0,4.0,1017.0
3.0,6.0,242.0,3.0,6.0,1376.0,2.0,6.0,1706.0,2.0,6.0,126.2,2.0,6.0,874.8,2.0,5.0,1985.0
4.0,2.0,5.2,4.0,1.0,54.9,4.0,1.0,609.0,3.0,1.0,289.9,3.0,1.0,1612.0,3.0,1.0,3753.0
4.0,3.0,17.1,4.0,3.0,261.6,4.0,2.0,806.4,3.0,2.0,399.3,3.0,2.0,2004.0,3.0,2.0,2150.0
4.0,5.0,16.5,4.0,5.0,215.0,4.0,5.0,992.5,3.0,5.0,543.3,3.0,4.0,1638.0,3.0,4.0,3384.0
4.0,6.0,49.1,4.0,6.0,458.7,4.0,6.0,2024.0,3.0,6.0,960.2,3.0,6.0,1692.0,3.0,5.0,4488.0
5.0,2.0,52.8,5.0,1.0,391.0,5.0,1.0,1358.0,5.0,1.0,43.9,4.0,1.0,185.6,4.0,1.0,657.5
5.0,3.0,131.1,5.0,3.0,737.3,5.0,2.0,1518.0,5.0,2.0,61.1,4.0,2.0,276.3,4.0,2.0,1053.0
5.0,4.0,52.3,5.0,4.0,438.3,5.0,4.0,1349.0,5.0,3.0,257.1,4.0,3.0,692.8,4.0,3.0,3225.0
5.0,6.0,292.8,5.0,6.0,1037.0,5.0,6.0,2004.0,5.0,6.0,127.5,4.0,6.0,437.4,4.0,5.0,1349.0
6.0,2.0,200.2,6.0,1.0,901.5,6.0,1.0,3329.0,6.0,1.0,141.9,6.0,1.0,1027.0,5.0,1.0,1706.0
6.0,3.0,554.9,6.0,3.0,1575.0,6.0,2.0,2428.0,6.0,2.0,182.7,6.0,2.0,1186.0,5.0,2.0,1575.0
6.0,4.0,179.0,6.0,4.0,794.0,6.0,4.0,3081.0,6.0,3.0,681.3,6.0,3.0,2716.0,5.0,3.0,4587.0
6.0,5.0,621.8,6.0,5.0,1588.0,6.0,5.0,2907.0,6.0,5.0,258.7,6.0,4.0,1166.0,5.0,4.0,1749.0
