1,松田 淳平,松田 淳平.1,2,土屋　実沙希,土屋　実沙希.1,3,今泉 徹,今泉 徹.1,4,浦田 晃嗣,浦田 晃嗣.1,5,山本 隆幸,山本 隆幸.1,6,松竹 大輔,松竹 大輔.1
2.0,3.0,48.6,1.0,3.0,46.2,1.0,2.0,259.7,1.0,2.0,181.4,1.0,2.0,41.5,1.0,2.0,363.3
2.0,4.0,56.6,1.0,4.0,53.7,1.0,4.0,401.7,1.0,3.0,439.7,1.0,3.0,98.1,1.0,3.0,493.7
2.0,5.0,21.7,1.0,5.0,21.1,1.0,5.0,213.0,1.0,5.0,120.3,1.0,4.0,90.9,1.0,4.0,674.0
2.0,6.0,50.3,1.0,6.0,48.5,1.0,6.0,371.2,1.0,6.0,205.1,1.0,6.0,45.1,1.0,5.0,257.4
3.0,2.0,78.1,3.0,1.0,85.7,2.0,1.0,234.7,2.0,1.0,160.3,2.0,1.0,44.1,2.0,1.0,341.5
3.0,4.0,128.2,3.0,4.0,115.8,2.0,4.0,273.9,2.0,3.0,185.9,2.0,3.0,56.1,2.0,3.0,396.3
3.0,5.0,70.7,3.0,5.0,43.4,2.0,5.0,115.5,2.0,5.0,57.3,2.0,4.0,53.1,2.0,4.0,394.8
3.0,6.0,130.1,3.0,6.0,110.8,2.0,6.0,241.3,2.0,6.0,114.5,2.0,6.0,22.7,2.0,5.0,125.4
4.0,2.0,101.0,4.0,1.0,99.9,4.0,1.0,611.6,3.0,1.0,587.1,3.0,1.0,201.4,3.0,1.0,660.9
4.0,3.0,166.8,4.0,3.0,109.0,4.0,2.0,383.0,3.0,2.0,367.8,3.0,2.0,114.2,3.0,2.0,642.3
4.0,5.0,88.3,4.0,5.0,43.5,4.0,5.0,353.2,3.0,5.0,227.9,3.0,4.0,259.3,3.0,4.0,1313.0
4.0,6.0,127.7,4.0,6.0,79.4,4.0,6.0,471.0,3.0,6.0,466.7,3.0,6.0,142.0,3.0,5.0,438.7
5.0,2.0,26.3,5.0,1.0,26.6,5.0,1.0,249.5,5.0,1.0,84.3,4.0,1.0,114.6,4.0,1.0,836.3
5.0,3.0,52.7,5.0,3.0,31.0,5.0,2.0,134.4,5.0,2.0,48.0,4.0,2.0,66.4,4.0,2.0,526.7
5.0,4.0,74.1,5.0,4.0,30.6,5.0,4.0,300.8,5.0,3.0,126.4,4.0,3.0,178.3,4.0,3.0,1170.0
5.0,6.0,37.8,5.0,6.0,17.7,5.0,6.0,190.9,5.0,6.0,41.9,4.0,6.0,54.4,4.0,5.0,283.8
6.0,2.0,136.9,6.0,1.0,121.0,6.0,1.0,524.0,6.0,1.0,221.5,6.0,1.0,59.7,5.0,1.0,200.6
6.0,3.0,241.9,6.0,3.0,152.6,6.0,2.0,375.2,6.0,2.0,147.9,6.0,2.0,29.6,5.0,2.0,103.5
6.0,4.0,248.9,6.0,4.0,138.2,6.0,4.0,721.5,6.0,3.0,441.6,6.0,3.0,92.3,5.0,3.0,270.3
6.0,5.0,101.8,6.0,5.0,50.6,6.0,5.0,284.5,6.0,5.0,92.1,6.0,4.0,65.1,5.0,4.0,192.4
