1,石田 政吾,石田 政吾.1,2,峰重 侑治,峰重 侑治.1,3,岩永 節也,岩永 節也.1,4,品川 賢次,品川 賢次.1,5,柴田 光,柴田 光.1,6,青木 蓮,青木 蓮.1
2.0,3.0,45.7,1.0,3.0,126.4,1.0,2.0,385.7,1.0,2.0,557.3,1.0,2.0,10.8,1.0,2.0,112.8
2.0,4.0,57.9,1.0,4.0,100.1,1.0,4.0,425.4,1.0,3.0,862.8,1.0,3.0,46.8,1.0,3.0,319.4
2.0,5.0,12.6,1.0,5.0,33.6,1.0,5.0,268.6,1.0,5.0,377.8,1.0,4.0,49.8,1.0,4.0,262.2
2.0,6.0,24.7,1.0,6.0,48.8,1.0,6.0,333.3,1.0,6.0,396.2,1.0,6.0,14.5,1.0,5.0,87.9
3.0,2.0,82.2,3.0,1.0,192.4,2.0,1.0,385.2,2.0,1.0,738.6,2.0,1.0,21.4,2.0,1.0,172.5
3.0,4.0,176.5,3.0,4.0,310.8,2.0,4.0,531.6,2.0,3.0,1193.0,2.0,3.0,66.3,2.0,3.0,514.8
3.0,5.0,69.8,3.0,5.0,191.6,2.0,5.0,362.0,2.0,5.0,784.6,2.0,4.0,71.5,2.0,4.0,387.3
3.0,6.0,122.9,3.0,6.0,169.1,2.0,6.0,397.4,2.0,6.0,798.2,2.0,6.0,25.2,2.0,5.0,153.7
4.0,2.0,145.4,4.0,1.0,248.4,4.0,1.0,545.2,3.0,1.0,1144.0,3.0,1.0,144.6,3.0,1.0,725.1
4.0,3.0,256.2,4.0,3.0,410.9,4.0,2.0,644.1,3.0,2.0,1220.0,3.0,2.0,152.6,3.0,2.0,862.8
4.0,5.0,104.2,4.0,5.0,275.0,4.0,5.0,636.7,3.0,5.0,1139.0,3.0,4.0,276.9,3.0,4.0,882.1
4.0,6.0,156.6,4.0,6.0,214.7,4.0,6.0,415.8,3.0,6.0,802.8,3.0,6.0,156.4,3.0,5.0,710.2
5.0,2.0,8.2,5.0,1.0,40.0,5.0,1.0,343.6,5.0,1.0,493.7,4.0,1.0,177.8,4.0,1.0,530.6
5.0,3.0,32.0,5.0,3.0,112.8,5.0,2.0,390.6,5.0,2.0,661.0,4.0,2.0,172.7,4.0,2.0,727.0
5.0,4.0,38.5,5.0,4.0,114.6,5.0,4.0,665.8,5.0,3.0,1077.0,4.0,3.0,352.8,4.0,3.0,890.6
5.0,6.0,13.1,5.0,6.0,45.5,5.0,6.0,372.2,5.0,6.0,465.5,4.0,6.0,169.1,4.0,5.0,471.8
6.0,2.0,45.1,6.0,1.0,83.9,6.0,1.0,430.1,6.0,1.0,449.6,6.0,1.0,37.6,5.0,1.0,93.0
6.0,3.0,129.3,6.0,3.0,204.7,6.0,2.0,483.4,6.0,2.0,664.2,6.0,2.0,43.3,5.0,2.0,120.4
6.0,4.0,132.9,6.0,4.0,208.4,6.0,4.0,480.8,6.0,3.0,824.3,6.0,3.0,141.3,5.0,3.0,336.9
6.0,5.0,33.5,6.0,5.0,75.6,6.0,5.0,452.5,6.0,5.0,419.0,6.0,4.0,128.5,5.0,4.0,250.2
