1,土屋 千明,土屋 千明.1,2,笠野　友紀恵,笠野　友紀恵.1,3,神里 琴音,神里 琴音.1,4,金田 幸子,金田 幸子.1,5,福山　恵里奈,福山　恵里奈.1,6,平高 奈菜,平高 奈菜.1
2.0,3.0,38.8,1.0,3.0,214.5,1.0,2.0,82.0,1.0,2.0,108.9,1.0,2.0,1026.0,1.0,2.0,265.3
2.0,4.0,33.7,1.0,4.0,203.8,1.0,4.0,21.2,1.0,3.0,47.6,1.0,3.0,648.5,1.0,3.0,152.4
2.0,5.0,128.7,1.0,5.0,566.0,1.0,5.0,75.1,1.0,5.0,124.7,1.0,4.0,691.7,1.0,4.0,88.4
2.0,6.0,45.1,1.0,6.0,228.7,1.0,6.0,25.8,1.0,6.0,31.5,1.0,6.0,625.7,1.0,5.0,471.5
3.0,2.0,28.8,3.0,1.0,351.5,2.0,1.0,233.5,2.0,1.0,272.1,2.0,1.0,1849.0,2.0,1.0,632.2
3.0,4.0,8.1,3.0,4.0,579.7,2.0,4.0,290.7,2.0,3.0,587.7,2.0,3.0,1772.0,2.0,3.0,1312.0
3.0,5.0,38.8,3.0,5.0,1056.0,2.0,5.0,609.1,2.0,5.0,934.4,2.0,4.0,1717.0,2.0,4.0,699.6
3.0,6.0,11.3,3.0,6.0,780.8,2.0,6.0,329.1,2.0,6.0,351.3,2.0,6.0,1914.0,2.0,5.0,1907.0
4.0,2.0,24.9,4.0,1.0,321.0,4.0,1.0,30.3,3.0,1.0,70.1,3.0,1.0,790.9,3.0,1.0,236.6
4.0,3.0,9.4,4.0,3.0,629.3,4.0,2.0,140.7,3.0,2.0,322.0,3.0,2.0,1626.0,3.0,2.0,853.4
4.0,5.0,39.9,4.0,5.0,1206.0,4.0,5.0,93.0,3.0,5.0,242.3,3.0,4.0,1102.0,3.0,4.0,240.6
4.0,6.0,8.4,4.0,6.0,567.1,4.0,6.0,30.7,3.0,6.0,72.7,3.0,6.0,1042.0,3.0,5.0,953.8
5.0,2.0,259.0,5.0,1.0,1417.0,5.0,1.0,239.5,5.0,1.0,317.5,4.0,1.0,926.5,4.0,1.0,113.2
5.0,3.0,159.3,5.0,3.0,1728.0,5.0,2.0,641.7,5.0,2.0,852.0,4.0,2.0,2034.0,4.0,2.0,417.6
5.0,4.0,145.0,5.0,4.0,1862.0,5.0,4.0,235.0,5.0,3.0,530.0,4.0,3.0,1306.0,4.0,3.0,232.3
5.0,6.0,132.3,5.0,6.0,1907.0,5.0,6.0,237.0,5.0,6.0,281.8,4.0,6.0,931.2,4.0,5.0,624.3
6.0,2.0,56.8,6.0,1.0,559.1,6.0,1.0,58.8,6.0,1.0,49.4,6.0,1.0,937.5,5.0,1.0,987.9
6.0,3.0,25.6,6.0,3.0,1300.0,6.0,2.0,257.8,6.0,2.0,208.0,6.0,2.0,1655.0,5.0,2.0,1761.0
6.0,4.0,19.6,6.0,4.0,803.6,6.0,4.0,56.6,6.0,3.0,88.9,6.0,3.0,1143.0,5.0,3.0,1367.0
6.0,5.0,97.0,6.0,5.0,1789.0,6.0,5.0,186.0,6.0,5.0,191.3,6.0,4.0,975.7,5.0,4.0,1017.0
