1,松尾 昂明,松尾 昂明.1,2,山口 亮,山口 亮.1,3,酒見 峻介,酒見 峻介.1,4,中辻 博訓,中辻 博訓.1,5,向後 龍一,向後 龍一.1,6,後藤 浩,後藤 浩.1
2.0,3.0,37.7,1.0,3.0,352.1,1.0,2.0,131.9,1.0,2.0,138.3,1.0,2.0,346.4,1.0,2.0,2359.0
2.0,4.0,33.2,1.0,4.0,326.7,1.0,4.0,27.1,1.0,3.0,42.0,1.0,3.0,128.2,1.0,3.0,2012.0
2.0,5.0,58.6,1.0,5.0,493.5,1.0,5.0,37.8,1.0,5.0,33.7,1.0,4.0,102.9,1.0,4.0,1773.0
2.0,6.0,105.2,1.0,6.0,690.5,1.0,6.0,116.5,1.0,6.0,97.1,1.0,6.0,237.0,1.0,5.0,2071.0
3.0,2.0,26.0,3.0,1.0,726.1,2.0,1.0,401.8,2.0,1.0,405.4,2.0,1.0,820.3,2.0,1.0,2567.0
3.0,4.0,5.7,3.0,4.0,1086.0,2.0,4.0,394.7,2.0,3.0,576.6,2.0,3.0,1260.0,2.0,3.0,4178.0
3.0,5.0,9.6,3.0,5.0,1235.0,2.0,5.0,474.0,2.0,5.0,479.1,2.0,4.0,1130.0,2.0,4.0,3944.0
3.0,6.0,42.6,3.0,6.0,1454.0,2.0,6.0,646.1,2.0,6.0,707.3,2.0,6.0,1260.0,2.0,5.0,4008.0
4.0,2.0,28.1,4.0,1.0,702.3,4.0,1.0,43.4,3.0,1.0,58.3,3.0,1.0,198.8,3.0,1.0,2785.0
4.0,3.0,7.4,4.0,3.0,1290.0,4.0,2.0,214.9,3.0,2.0,278.5,3.0,2.0,778.9,3.0,2.0,3944.0
4.0,5.0,9.6,4.0,5.0,1238.0,4.0,5.0,41.7,3.0,5.0,58.5,3.0,4.0,211.3,3.0,4.0,2515.0
4.0,6.0,34.7,4.0,6.0,1560.0,4.0,6.0,111.8,3.0,6.0,137.1,3.0,6.0,395.3,3.0,5.0,2739.0
5.0,2.0,62.5,5.0,1.0,1336.0,5.0,1.0,83.5,5.0,1.0,53.5,4.0,1.0,134.9,4.0,1.0,2191.0
5.0,3.0,22.0,5.0,3.0,1638.0,5.0,2.0,323.3,5.0,2.0,233.0,4.0,2.0,524.5,4.0,2.0,3707.0
5.0,4.0,20.3,5.0,4.0,1779.0,5.0,4.0,73.8,5.0,3.0,77.3,4.0,3.0,194.6,4.0,3.0,2900.0
5.0,6.0,72.1,5.0,6.0,2201.0,5.0,6.0,161.6,5.0,6.0,106.6,4.0,6.0,248.6,4.0,5.0,1677.0
6.0,2.0,205.0,6.0,1.0,2282.0,6.0,1.0,474.5,6.0,1.0,354.7,6.0,1.0,692.4,5.0,1.0,2272.0
6.0,3.0,180.8,6.0,3.0,2866.0,6.0,2.0,855.9,6.0,2.0,760.8,6.0,2.0,1471.0,5.0,2.0,3625.0
6.0,4.0,146.7,6.0,4.0,2801.0,6.0,4.0,400.2,6.0,3.0,519.5,6.0,3.0,976.3,5.0,3.0,2440.0
6.0,5.0,204.9,6.0,5.0,2970.0,6.0,5.0,429.8,6.0,5.0,354.7,6.0,4.0,731.5,5.0,4.0,1682.0
