1,和田 拓也,和田 拓也.1,2,木場　雄二郎,木場　雄二郎.1,3,岸本 隆,岸本 隆.1,4,金田 大輔,金田 大輔.1,5,川島 圭司,川島 圭司.1,6,和合 俊介,和合 俊介.1
2.0,3.0,13.7,1.0,3.0,245.4,1.0,2.0,200.4,1.0,2.0,95.1,1.0,2.0,123.6,1.0,2.0,1923.0
2.0,4.0,22.9,1.0,4.0,345.1,1.0,4.0,156.1,1.0,3.0,88.6,1.0,3.0,89.3,1.0,3.0,2064.0
2.0,5.0,17.7,1.0,5.0,267.1,1.0,5.0,103.2,1.0,5.0,34.6,1.0,4.0,52.6,1.0,4.0,1575.0
2.0,6.0,75.4,1.0,6.0,782.6,1.0,6.0,452.8,1.0,6.0,89.1,1.0,6.0,103.3,1.0,5.0,1001.0
3.0,2.0,13.6,3.0,1.0,626.8,2.0,1.0,479.6,2.0,1.0,287.7,2.0,1.0,453.4,2.0,1.0,3205.0
3.0,4.0,9.6,3.0,4.0,1504.0,2.0,4.0,1171.0,2.0,3.0,566.6,2.0,3.0,696.1,2.0,3.0,5296.0
3.0,5.0,7.3,3.0,5.0,1333.0,2.0,5.0,891.4,2.0,5.0,338.0,2.0,4.0,791.0,2.0,4.0,4060.0
3.0,6.0,53.5,3.0,6.0,2687.0,2.0,6.0,2124.0,2.0,6.0,479.0,2.0,6.0,683.1,2.0,5.0,5006.0
4.0,2.0,23.5,4.0,1.0,735.3,4.0,1.0,348.7,3.0,1.0,266.3,3.0,1.0,278.3,3.0,1.0,3583.0
4.0,3.0,14.4,4.0,3.0,1479.0,4.0,2.0,918.2,3.0,2.0,779.2,3.0,2.0,995.8,3.0,2.0,4938.0
4.0,5.0,11.2,4.0,5.0,1394.0,4.0,5.0,484.0,3.0,5.0,333.4,3.0,4.0,583.8,3.0,4.0,3415.0
4.0,6.0,50.7,4.0,6.0,2789.0,4.0,6.0,1444.0,3.0,6.0,830.6,3.0,6.0,972.0,3.0,5.0,4350.0
5.0,2.0,22.2,5.0,1.0,774.3,5.0,1.0,276.2,5.0,1.0,37.4,4.0,1.0,65.5,4.0,1.0,1903.0
5.0,3.0,10.6,5.0,3.0,1142.0,5.0,2.0,849.9,5.0,2.0,106.3,4.0,2.0,214.1,4.0,2.0,4060.0
5.0,4.0,13.6,5.0,4.0,1707.0,5.0,4.0,611.1,5.0,3.0,137.8,4.0,3.0,225.7,4.0,3.0,3888.0
5.0,6.0,35.5,5.0,6.0,2436.0,5.0,6.0,1178.0,5.0,6.0,63.0,4.0,6.0,112.5,4.0,5.0,2100.0
6.0,2.0,173.7,6.0,1.0,2404.0,6.0,1.0,1740.0,6.0,1.0,257.3,6.0,1.0,305.3,5.0,1.0,1121.0
6.0,3.0,172.8,6.0,3.0,4060.0,6.0,2.0,3045.0,6.0,2.0,510.4,6.0,2.0,889.2,5.0,2.0,4060.0
6.0,4.0,159.5,6.0,4.0,3415.0,6.0,4.0,2707.0,6.0,3.0,742.8,6.0,3.0,977.2,5.0,3.0,3888.0
6.0,5.0,113.1,6.0,5.0,3767.0,6.0,5.0,2284.0,6.0,5.0,246.7,6.0,4.0,432.0,5.0,4.0,1864.0
