1,伊藤 将吉,伊藤 将吉.1,2,松尾 昂明,松尾 昂明.1,3,木村 亮太,木村 亮太.1,4,羽野 直也,羽野 直也.1,5,川上 剛,川上 剛.1,6,佐藤 旭,佐藤 旭.1
2.0,3.0,22.0,1.0,3.0,199.0,1.0,2.0,308.7,1.0,2.0,32.4,1.0,2.0,243.9,1.0,2.0,2944.0
2.0,4.0,7.2,1.0,4.0,80.8,1.0,4.0,93.4,1.0,3.0,47.5,1.0,3.0,329.0,1.0,3.0,2569.0
2.0,5.0,20.2,1.0,5.0,157.1,1.0,5.0,160.8,1.0,5.0,20.2,1.0,4.0,113.9,1.0,4.0,1380.0
2.0,6.0,88.0,1.0,6.0,418.1,1.0,6.0,515.1,1.0,6.0,71.6,1.0,6.0,400.4,1.0,5.0,3065.0
3.0,2.0,29.7,3.0,1.0,539.4,2.0,1.0,653.7,2.0,1.0,90.1,2.0,1.0,466.9,2.0,1.0,3367.0
3.0,4.0,11.6,3.0,4.0,773.1,2.0,4.0,832.4,2.0,3.0,359.6,2.0,3.0,1323.0,2.0,3.0,3865.0
3.0,5.0,26.0,3.0,5.0,1188.0,2.0,5.0,1111.0,2.0,5.0,119.8,2.0,4.0,451.7,2.0,4.0,3065.0
3.0,6.0,104.5,3.0,6.0,1616.0,2.0,6.0,1628.0,2.0,6.0,294.0,2.0,6.0,1125.0,2.0,5.0,4729.0
4.0,2.0,6.9,4.0,1.0,149.3,4.0,1.0,154.5,3.0,1.0,162.1,3.0,1.0,671.5,3.0,1.0,2983.0
4.0,3.0,9.4,4.0,3.0,495.0,4.0,2.0,612.3,3.0,2.0,564.8,3.0,2.0,1844.0,3.0,2.0,4274.0
4.0,5.0,6.5,4.0,5.0,263.6,4.0,5.0,274.0,3.0,5.0,298.5,3.0,4.0,834.0,3.0,4.0,3934.0
4.0,6.0,28.6,4.0,6.0,681.8,4.0,6.0,823.2,3.0,6.0,609.8,3.0,6.0,2211.0,3.0,5.0,6442.0
5.0,2.0,39.4,5.0,1.0,436.2,5.0,1.0,508.0,5.0,1.0,36.3,4.0,1.0,130.6,4.0,1.0,1315.0
5.0,3.0,48.3,5.0,3.0,1467.0,5.0,2.0,1326.0,5.0,2.0,82.7,4.0,2.0,333.7,4.0,2.0,2646.0
5.0,4.0,22.3,5.0,4.0,546.7,5.0,4.0,599.9,5.0,3.0,177.6,4.0,3.0,509.2,4.0,3.0,3799.0
5.0,6.0,105.9,5.0,6.0,1078.0,5.0,6.0,1852.0,5.0,6.0,89.8,4.0,6.0,386.5,4.0,5.0,1891.0
6.0,2.0,323.0,6.0,1.0,1967.0,6.0,1.0,1538.0,6.0,1.0,313.7,6.0,1.0,1338.0,5.0,1.0,3342.0
6.0,3.0,351.1,6.0,3.0,3065.0,6.0,2.0,2540.0,6.0,2.0,645.2,6.0,2.0,2058.0,5.0,2.0,5421.0
6.0,4.0,168.7,6.0,4.0,2147.0,6.0,4.0,2327.0,6.0,3.0,871.6,6.0,3.0,2402.0,5.0,3.0,6634.0
6.0,5.0,265.0,6.0,5.0,2813.0,6.0,5.0,3087.0,6.0,5.0,343.2,6.0,4.0,1092.0,5.0,4.0,2402.0
