1,池田 雄一,池田 雄一.1,2,中山 雄太,中山 雄太.1,3,鈴木 智啓,鈴木 智啓.1,4,土井 歩夢,土井 歩夢.1,5,松尾 宣邦,松尾 宣邦.1,6,石田 豪,石田 豪.1
2.0,3.0,3.0,1.0,3.0,11.7,1.0,2.0,71.6,1.0,2.0,210.1,1.0,2.0,179.5,1.0,2.0,1702.0
2.0,4.0,8.0,1.0,4.0,20.8,1.0,4.0,182.4,1.0,3.0,443.0,1.0,3.0,399.3,1.0,3.0,3509.0
2.0,5.0,9.4,1.0,5.0,23.4,1.0,5.0,182.2,1.0,5.0,415.0,1.0,4.0,570.7,1.0,4.0,3125.0
2.0,6.0,56.0,1.0,6.0,108.9,1.0,6.0,412.4,1.0,6.0,763.5,1.0,6.0,798.6,1.0,5.0,3509.0
3.0,2.0,8.6,3.0,1.0,39.1,2.0,1.0,99.6,2.0,1.0,272.5,2.0,1.0,234.8,2.0,1.0,2051.0
3.0,4.0,22.9,3.0,4.0,79.3,2.0,4.0,191.1,2.0,3.0,450.5,2.0,3.0,523.0,2.0,3.0,3509.0
3.0,5.0,31.7,3.0,5.0,67.6,2.0,5.0,212.4,2.0,5.0,503.2,2.0,4.0,759.2,2.0,4.0,3739.0
3.0,6.0,121.5,3.0,6.0,241.1,2.0,6.0,478.6,2.0,6.0,889.1,2.0,6.0,769.4,2.0,5.0,3449.0
4.0,2.0,33.5,4.0,1.0,84.9,4.0,1.0,318.0,3.0,1.0,801.8,3.0,1.0,713.2,3.0,1.0,3810.0
4.0,3.0,58.7,4.0,3.0,124.1,4.0,2.0,282.1,3.0,2.0,746.4,3.0,2.0,856.7,3.0,2.0,3961.0
4.0,5.0,96.7,4.0,5.0,147.6,4.0,5.0,408.2,3.0,5.0,1299.0,3.0,4.0,2094.0,3.0,4.0,4820.0
4.0,6.0,228.3,4.0,6.0,330.1,4.0,6.0,708.1,3.0,6.0,1667.0,3.0,6.0,1961.0,3.0,5.0,5064.0
5.0,2.0,35.9,5.0,1.0,78.3,5.0,1.0,460.4,5.0,1.0,548.1,4.0,1.0,1143.0,4.0,1.0,3884.0
5.0,3.0,81.2,5.0,3.0,121.2,5.0,2.0,456.2,5.0,2.0,620.3,4.0,2.0,1231.0,4.0,2.0,3961.0
5.0,4.0,131.2,5.0,4.0,191.9,5.0,4.0,952.6,5.0,3.0,1117.0,4.0,3.0,2020.0,4.0,3.0,5196.0
5.0,6.0,270.7,5.0,6.0,341.1,5.0,6.0,1423.0,5.0,6.0,840.5,4.0,6.0,1887.0,4.0,5.0,5064.0
6.0,2.0,268.3,6.0,1.0,545.8,6.0,1.0,1786.0,6.0,1.0,1374.0,6.0,1.0,1398.0,5.0,1.0,2985.0
6.0,3.0,523.0,6.0,3.0,736.8,6.0,2.0,1688.0,6.0,2.0,1360.0,6.0,2.0,1169.0,5.0,2.0,3054.0
6.0,4.0,687.4,6.0,4.0,1041.0,6.0,4.0,2469.0,6.0,3.0,2564.0,6.0,3.0,1810.0,5.0,3.0,3884.0
6.0,5.0,643.2,6.0,5.0,845.9,6.0,5.0,2273.0,6.0,5.0,1667.0,6.0,4.0,2395.0,5.0,4.0,2222.0
