1,赤坂 俊輔,赤坂 俊輔.1,2,井手 良太,井手 良太.1,3,大田 直弥,大田 直弥.1,4,川上 昇平,川上 昇平.1,5,若林 将,若林 将.1,6,濱崎 直矢,濱崎 直矢.1
2.0,3.0,7.1,1.0,3.0,56.8,1.0,2.0,166.1,1.0,2.0,613.8,1.0,2.0,70.4,1.0,2.0,329.7
2.0,4.0,27.4,1.0,4.0,134.5,1.0,4.0,388.4,1.0,3.0,964.1,1.0,3.0,111.4,1.0,3.0,597.8
2.0,5.0,5.7,1.0,5.0,42.8,1.0,5.0,148.2,1.0,5.0,522.4,1.0,4.0,275.2,1.0,4.0,1028.0
2.0,6.0,15.8,1.0,6.0,79.9,1.0,6.0,248.5,1.0,6.0,653.0,1.0,6.0,68.8,1.0,5.0,213.6
3.0,2.0,12.2,3.0,1.0,180.5,2.0,1.0,277.3,2.0,1.0,904.8,2.0,1.0,170.9,2.0,1.0,582.7
3.0,4.0,33.7,3.0,4.0,455.2,2.0,4.0,648.4,2.0,3.0,1485.0,2.0,3.0,485.2,2.0,3.0,1411.0
3.0,5.0,9.9,3.0,5.0,268.6,2.0,5.0,437.9,2.0,5.0,1274.0,2.0,4.0,831.3,2.0,4.0,1938.0
3.0,6.0,21.9,3.0,6.0,406.5,2.0,6.0,688.4,2.0,6.0,1674.0,2.0,6.0,296.5,2.0,5.0,768.8
4.0,2.0,63.5,4.0,1.0,550.5,4.0,1.0,1102.0,3.0,1.0,1509.0,3.0,1.0,367.1,3.0,1.0,1150.0
4.0,3.0,71.8,4.0,3.0,788.6,4.0,2.0,1089.0,3.0,2.0,1427.0,3.0,2.0,668.4,3.0,2.0,1689.0
4.0,5.0,55.9,4.0,5.0,807.6,4.0,5.0,1009.0,3.0,5.0,1745.0,3.0,4.0,1219.0,3.0,4.0,2245.0
4.0,6.0,75.8,4.0,6.0,1037.0,4.0,6.0,1567.0,3.0,6.0,2345.0,3.0,6.0,663.5,3.0,5.0,1485.0
5.0,2.0,9.7,5.0,1.0,157.1,5.0,1.0,344.8,5.0,1.0,668.4,4.0,1.0,700.1,4.0,1.0,2575.0
5.0,3.0,15.2,5.0,3.0,334.5,5.0,2.0,649.5,5.0,2.0,1025.0,4.0,2.0,1244.0,4.0,2.0,3018.0
5.0,4.0,50.1,5.0,4.0,674.5,5.0,4.0,1359.0,5.0,3.0,1497.0,4.0,3.0,1608.0,4.0,3.0,3960.0
5.0,6.0,14.7,5.0,6.0,269.4,5.0,6.0,630.6,5.0,6.0,802.3,4.0,6.0,893.9,4.0,5.0,2748.0
6.0,2.0,41.5,6.0,1.0,364.2,6.0,1.0,868.6,6.0,1.0,1339.0,6.0,1.0,130.6,5.0,1.0,277.5
6.0,3.0,57.1,6.0,3.0,831.3,6.0,2.0,1207.0,6.0,2.0,1841.0,6.0,2.0,267.8,5.0,2.0,626.3
6.0,4.0,114.1,6.0,4.0,1227.0,6.0,4.0,2012.0,6.0,3.0,2330.0,6.0,3.0,473.9,5.0,3.0,1046.0
6.0,5.0,35.5,6.0,5.0,441.0,6.0,5.0,979.5,6.0,5.0,1334.0,6.0,4.0,698.8,5.0,4.0,1644.0
