1,木山 和幸,木山 和幸.1,2,大田 直弥,大田 直弥.1,3,浦田 信義,浦田 信義.1,4,庄司 孝輔,庄司 孝輔.1,5,井手 良太,井手 良太.1,6,吉武 真也,吉武 真也.1
2.0,3.0,8.0,1.0,3.0,33.6,1.0,2.0,78.4,1.0,2.0,99.0,1.0,2.0,67.7,1.0,2.0,273.2
2.0,4.0,13.3,1.0,4.0,51.4,1.0,4.0,122.5,1.0,3.0,150.3,1.0,3.0,89.1,1.0,3.0,278.8
2.0,5.0,13.1,1.0,5.0,50.7,1.0,5.0,112.0,1.0,5.0,83.9,1.0,4.0,108.6,1.0,4.0,314.2
2.0,6.0,40.6,1.0,6.0,114.9,1.0,6.0,175.0,1.0,6.0,120.7,1.0,6.0,70.8,1.0,5.0,229.3
3.0,2.0,14.8,3.0,1.0,111.0,2.0,1.0,145.9,2.0,1.0,200.5,2.0,1.0,143.3,2.0,1.0,439.5
3.0,4.0,17.8,3.0,4.0,246.5,2.0,4.0,229.3,2.0,3.0,422.6,2.0,3.0,181.0,2.0,3.0,713.5
3.0,5.0,16.2,3.0,5.0,191.3,2.0,5.0,190.7,2.0,5.0,249.0,2.0,4.0,239.2,2.0,4.0,722.0
3.0,6.0,35.8,3.0,6.0,276.9,2.0,6.0,332.3,2.0,6.0,312.6,2.0,6.0,198.5,2.0,5.0,652.1
4.0,2.0,24.1,4.0,1.0,189.2,4.0,1.0,245.0,3.0,1.0,320.9,3.0,1.0,207.0,3.0,1.0,485.2
4.0,3.0,30.3,4.0,3.0,331.4,4.0,2.0,375.5,3.0,2.0,481.3,3.0,2.0,273.2,3.0,2.0,860.3
4.0,5.0,29.3,4.0,5.0,313.4,4.0,5.0,368.7,3.0,5.0,412.5,3.0,4.0,493.1,3.0,4.0,842.3
4.0,6.0,49.5,4.0,6.0,388.7,4.0,6.0,416.8,3.0,6.0,546.4,3.0,6.0,353.6,3.0,5.0,631.7
5.0,2.0,22.9,5.0,1.0,167.5,5.0,1.0,225.0,5.0,1.0,106.8,4.0,1.0,172.0,4.0,1.0,405.6
5.0,3.0,24.9,5.0,3.0,251.1,5.0,2.0,276.3,5.0,2.0,168.4,4.0,2.0,290.1,4.0,2.0,891.9
5.0,4.0,37.9,5.0,4.0,355.7,5.0,4.0,437.9,5.0,3.0,320.0,4.0,3.0,436.3,4.0,3.0,1027.0
5.0,6.0,29.4,5.0,6.0,293.7,5.0,6.0,381.4,5.0,6.0,140.0,4.0,6.0,219.7,4.0,5.0,612.6
6.0,2.0,72.8,6.0,1.0,452.6,6.0,1.0,399.0,6.0,1.0,227.5,6.0,1.0,108.7,5.0,1.0,238.3
6.0,3.0,64.1,6.0,3.0,652.1,6.0,2.0,645.2,6.0,2.0,436.3,6.0,2.0,193.7,5.0,2.0,436.3
6.0,4.0,81.7,6.0,4.0,726.3,6.0,4.0,713.5,6.0,3.0,556.4,6.0,3.0,237.3,5.0,3.0,457.7
6.0,5.0,57.8,6.0,5.0,574.8,6.0,5.0,594.6,6.0,5.0,273.8,6.0,4.0,242.6,5.0,4.0,507.5
