1,佐藤 大佑,佐藤 大佑.1,2,小林 文彦,小林 文彦.1,3,山田 丈,山田 丈.1,4,阪本 勇介,阪本 勇介.1,5,東 潤樹,東 潤樹.1,6,津田 陸翔,津田 陸翔.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,欠場,1,5,欠場,1,5,欠場,1,5,欠場,1,4,欠場,1,4,欠場
2,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,5,欠場
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,欠場,3,4,8.1,2,4,13.8,2,3,68.9,2,3,229.3,2,3,25.5
3,5,欠場,3,5,24.5,2,5,36.0,2,5,150.9,2,4,319.1,2,4,43.2
3,6,欠場,3,6,9.1,2,6,11.6,2,6,74.5,2,6,254.6,2,5,81.8
4,2,欠場,4,1,欠場,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,20.6,4,2,27.9,3,2,65.8,3,2,251.4,3,2,26.3
4,5,欠場,4,5,54.1,4,5,57.5,3,5,103.9,3,4,261.0,3,4,30.7
4,6,欠場,4,6,27.4,4,6,22.0,3,6,53.5,3,6,265.7,3,5,71.9
5,2,欠場,5,1,欠場,5,1,欠場,5,1,欠場,4,1,欠場,4,1,欠場
5,3,欠場,5,3,73.2,5,2,105.1,5,2,203.5,4,2,384.1,4,2,70.3
5,4,欠場,5,4,106.7,5,4,111.4,5,3,159.0,4,3,291.6,4,3,50.8
5,6,欠場,5,6,83.3,5,6,84.2,5,6,121.6,4,6,259.2,4,5,130.5
6,2,欠場,6,1,欠場,6,1,欠場,6,1,欠場,6,1,欠場,5,1,欠場
6,3,欠場,6,3,18.4,6,2,19.8,6,2,78.3,6,2,251.4,5,2,178.2
6,4,欠場,6,4,33.6,6,4,24.5,6,3,59.3,6,3,226.0,5,3,143.0
6,5,欠場,6,5,63.5,6,5,63.8,6,5,109.9,6,4,241.5,5,4,179.7
