1,畑田 汰一,畑田 汰一.1,2,楠 将太郎,楠 将太郎.1,3,久永 祥平,久永 祥平.1,4,富永　夏哉人,富永　夏哉人.1,5,三馬 崇史,三馬 崇史.1,6,津田 陸翔,津田 陸翔.1
2.0,3.0,22.1,1.0,3.0,260.9,1.0,2.0,129.9,1.0,2.0,240.2,1.0,2.0,641.0,1.0,2.0,120.6
2.0,4.0,49.3,1.0,4.0,495.8,1.0,4.0,68.1,1.0,3.0,126.0,1.0,3.0,404.3,1.0,3.0,45.2
2.0,5.0,66.3,1.0,5.0,533.4,1.0,5.0,86.7,1.0,5.0,157.4,1.0,4.0,497.4,1.0,4.0,67.7
2.0,6.0,23.0,1.0,6.0,236.5,1.0,6.0,37.2,1.0,6.0,69.0,1.0,6.0,291.3,1.0,5.0,131.9
3.0,2.0,14.8,3.0,1.0,492.6,2.0,1.0,402.1,2.0,1.0,568.5,2.0,1.0,1370.0,2.0,1.0,371.2
3.0,4.0,10.6,3.0,4.0,1237.0,2.0,4.0,634.8,2.0,3.0,883.5,2.0,3.0,1720.0,2.0,3.0,544.8
3.0,5.0,16.2,3.0,5.0,1354.0,2.0,5.0,749.0,2.0,5.0,928.3,2.0,4.0,1845.0,2.0,4.0,685.1
3.0,6.0,5.8,3.0,6.0,724.1,2.0,6.0,438.4,2.0,6.0,607.0,2.0,6.0,1334.0,2.0,5.0,999.3
4.0,2.0,48.1,4.0,1.0,951.5,4.0,1.0,139.9,3.0,1.0,202.8,3.0,1.0,592.1,3.0,1.0,86.5
4.0,3.0,21.6,4.0,3.0,1358.0,4.0,2.0,514.2,3.0,2.0,668.1,3.0,2.0,1589.0,3.0,2.0,361.8
4.0,5.0,45.1,4.0,5.0,1617.0,4.0,5.0,293.5,3.0,5.0,397.6,3.0,4.0,1155.0,3.0,4.0,176.5
4.0,6.0,18.4,4.0,6.0,1076.0,4.0,6.0,107.4,3.0,6.0,157.6,3.0,6.0,734.6,3.0,5.0,328.3
5.0,2.0,91.3,5.0,1.0,1267.0,5.0,1.0,254.5,5.0,1.0,228.3,4.0,1.0,551.4,4.0,1.0,126.5
5.0,3.0,49.7,5.0,3.0,1915.0,5.0,2.0,827.6,5.0,2.0,584.5,4.0,2.0,1191.0,4.0,2.0,399.7
5.0,4.0,78.3,5.0,4.0,2061.0,5.0,4.0,423.0,5.0,3.0,485.8,4.0,3.0,1037.0,4.0,3.0,187.9
5.0,6.0,43.2,5.0,6.0,1425.0,5.0,6.0,265.9,5.0,6.0,189.7,4.0,6.0,535.3,4.0,5.0,330.2
6.0,2.0,25.8,6.0,1.0,651.0,6.0,1.0,74.3,6.0,1.0,81.4,6.0,1.0,457.2,5.0,1.0,340.7
6.0,3.0,10.2,6.0,3.0,1084.0,6.0,2.0,326.6,6.0,2.0,312.6,6.0,2.0,1057.0,5.0,2.0,890.4
6.0,4.0,19.8,6.0,4.0,1425.0,6.0,4.0,134.7,6.0,3.0,144.2,6.0,3.0,682.1,5.0,3.0,483.8
6.0,5.0,33.1,6.0,5.0,1556.0,6.0,5.0,229.8,6.0,5.0,171.7,6.0,4.0,628.6,5.0,4.0,482.2
