1,山口 亮,山口 亮.1,2,山本 兼士,山本 兼士.1,3,菊地 敬介,菊地 敬介.1,4,桂林 寛,桂林 寛.1,5,長尾　京志郎,長尾　京志郎.1,6,大塚 雅治,大塚 雅治.1
2.0,3.0,12.7,1.0,3.0,48.2,1.0,2.0,57.9,1.0,2.0,49.9,1.0,2.0,193.2,1.0,2.0,408.1
2.0,4.0,11.5,1.0,4.0,42.0,1.0,4.0,49.0,1.0,3.0,74.2,1.0,3.0,213.3,1.0,3.0,680.9
2.0,5.0,26.3,1.0,5.0,71.1,1.0,5.0,66.0,1.0,5.0,48.4,1.0,4.0,147.1,1.0,4.0,432.9
2.0,6.0,48.6,1.0,6.0,103.4,1.0,6.0,74.5,1.0,6.0,82.2,1.0,6.0,233.2,1.0,5.0,885.6
3.0,2.0,15.1,3.0,1.0,97.6,2.0,1.0,97.1,2.0,1.0,107.3,2.0,1.0,305.8,2.0,1.0,698.4
3.0,4.0,14.9,3.0,4.0,110.7,2.0,4.0,90.1,2.0,3.0,173.9,2.0,3.0,432.9,2.0,3.0,1138.0
3.0,5.0,24.4,3.0,5.0,139.6,2.0,5.0,106.8,2.0,5.0,107.5,2.0,4.0,258.1,2.0,4.0,651.4
3.0,6.0,34.2,3.0,6.0,171.7,2.0,6.0,129.1,2.0,6.0,180.1,2.0,6.0,467.2,2.0,5.0,1315.0
4.0,2.0,18.1,4.0,1.0,90.8,4.0,1.0,75.7,3.0,1.0,109.9,3.0,1.0,343.0,3.0,1.0,928.0
4.0,3.0,23.9,4.0,3.0,141.7,4.0,2.0,92.9,3.0,2.0,147.9,3.0,2.0,454.7,3.0,2.0,967.8
4.0,5.0,25.7,4.0,5.0,120.5,4.0,5.0,78.9,3.0,5.0,130.6,3.0,4.0,369.2,3.0,4.0,836.4
4.0,6.0,45.7,4.0,6.0,217.8,4.0,6.0,90.0,3.0,6.0,149.7,3.0,6.0,483.9,3.0,5.0,1018.0
5.0,2.0,47.6,5.0,1.0,172.6,5.0,1.0,157.0,5.0,1.0,54.4,4.0,1.0,160.7,4.0,1.0,501.8
5.0,3.0,57.4,5.0,3.0,282.2,5.0,2.0,153.6,5.0,2.0,76.4,4.0,2.0,195.5,4.0,2.0,604.9
5.0,4.0,48.0,5.0,4.0,196.0,5.0,4.0,145.5,5.0,3.0,137.0,4.0,3.0,300.4,4.0,3.0,736.4
5.0,6.0,91.3,5.0,6.0,364.2,5.0,6.0,156.1,5.0,6.0,74.9,4.0,6.0,194.6,4.0,5.0,546.3
6.0,2.0,150.5,6.0,1.0,390.4,6.0,1.0,244.5,6.0,1.0,137.1,6.0,1.0,496.3,5.0,1.0,1119.0
6.0,3.0,130.7,6.0,3.0,618.7,6.0,2.0,215.0,6.0,2.0,191.6,6.0,2.0,607.6,5.0,2.0,1278.0
6.0,4.0,151.0,6.0,4.0,473.7,6.0,4.0,222.5,6.0,3.0,251.8,6.0,3.0,677.5,5.0,3.0,1341.0
6.0,5.0,148.9,6.0,5.0,716.9,6.0,5.0,226.5,6.0,5.0,143.9,6.0,4.0,372.2,5.0,4.0,709.4
