1,高山 智至,高山 智至.1,2,森 智也,森 智也.1,3,沼田 七華,沼田 七華.1,4,長谷川 充,長谷川 充.1,5,古賀 繁輝,古賀 繁輝.1,6,佐々木　和伸,佐々木　和伸.1
2.0,3.0,138.3,1.0,3.0,359.0,1.0,2.0,616.0,1.0,2.0,133.3,1.0,2.0,29.0,1.0,2.0,298.4
2.0,4.0,34.4,1.0,4.0,91.4,1.0,4.0,568.6,1.0,3.0,417.2,1.0,3.0,120.4,1.0,3.0,915.2
2.0,5.0,20.2,1.0,5.0,52.6,1.0,5.0,315.7,1.0,5.0,46.0,1.0,4.0,18.0,1.0,4.0,286.5
2.0,6.0,49.6,1.0,6.0,110.4,1.0,6.0,708.3,1.0,6.0,81.0,1.0,6.0,14.3,1.0,5.0,165.6
3.0,2.0,203.0,3.0,1.0,686.4,2.0,1.0,816.7,2.0,1.0,216.4,2.0,1.0,59.2,2.0,1.0,617.3
3.0,4.0,203.0,3.0,4.0,1087.0,2.0,4.0,865.8,2.0,3.0,879.0,2.0,3.0,335.6,2.0,3.0,1824.0
3.0,5.0,121.3,3.0,5.0,743.0,2.0,5.0,840.5,2.0,5.0,148.9,2.0,4.0,68.8,2.0,4.0,621.3
3.0,6.0,248.7,3.0,6.0,1040.0,2.0,6.0,1191.0,2.0,6.0,237.2,2.0,6.0,60.8,2.0,5.0,344.4
4.0,2.0,41.4,4.0,1.0,196.5,4.0,1.0,1083.0,3.0,1.0,1130.0,3.0,1.0,355.0,3.0,1.0,1736.0
4.0,3.0,183.8,4.0,3.0,871.0,4.0,2.0,1157.0,3.0,2.0,1359.0,3.0,2.0,637.8,3.0,2.0,2382.0
4.0,5.0,20.7,4.0,5.0,142.6,4.0,5.0,606.9,3.0,5.0,647.8,3.0,4.0,441.5,3.0,4.0,1860.0
4.0,6.0,42.3,4.0,6.0,234.4,4.0,6.0,1004.0,3.0,6.0,1121.0,3.0,6.0,413.6,3.0,5.0,1298.0
5.0,2.0,15.1,5.0,1.0,76.3,5.0,1.0,379.8,5.0,1.0,32.2,4.0,1.0,26.7,4.0,1.0,286.0
5.0,3.0,89.6,5.0,3.0,463.5,5.0,2.0,744.9,5.0,2.0,58.2,4.0,2.0,48.7,4.0,2.0,471.0
5.0,4.0,15.0,5.0,4.0,102.7,5.0,4.0,455.4,5.0,3.0,259.0,4.0,3.0,204.0,4.0,3.0,1211.0
5.0,6.0,15.1,5.0,6.0,100.9,5.0,6.0,454.7,5.0,6.0,24.0,4.0,6.0,17.9,4.0,5.0,101.0
6.0,2.0,117.9,6.0,1.0,354.6,6.0,1.0,1328.0,6.0,1.0,113.4,6.0,1.0,24.1,5.0,1.0,133.7
6.0,3.0,267.4,6.0,3.0,1253.0,6.0,2.0,1909.0,6.0,2.0,198.1,6.0,2.0,51.6,5.0,2.0,219.4
6.0,4.0,83.0,6.0,4.0,405.5,6.0,4.0,1584.0,6.0,3.0,598.1,6.0,3.0,204.7,5.0,3.0,612.1
6.0,5.0,52.4,6.0,5.0,203.8,6.0,5.0,1033.0,6.0,5.0,50.2,6.0,4.0,23.5,5.0,4.0,83.1
