1,芝田 浩治,芝田 浩治.1,2,岡崎 恭裕,岡崎 恭裕.1,3,志道 吉和,志道 吉和.1,4,重成 一人,重成 一人.1,5,渡邉 和将,渡邉 和将.1,6,表 健太,表 健太.1
2.0,3.0,40.6,1.0,3.0,76.9,1.0,2.0,580.1,1.0,2.0,32.9,1.0,2.0,58.7,1.0,2.0,2505.0
2.0,4.0,7.6,1.0,4.0,19.0,1.0,4.0,552.1,1.0,3.0,166.1,1.0,3.0,232.0,1.0,3.0,5421.0
2.0,5.0,12.6,1.0,5.0,23.9,1.0,5.0,661.1,1.0,5.0,30.4,1.0,4.0,53.9,1.0,4.0,3172.0
2.0,6.0,181.2,1.0,6.0,282.9,1.0,6.0,1936.0,1.0,6.0,182.9,1.0,6.0,208.3,1.0,5.0,3276.0
3.0,2.0,83.6,3.0,1.0,236.0,2.0,1.0,613.5,2.0,1.0,44.8,2.0,1.0,64.0,2.0,1.0,3138.0
3.0,4.0,90.7,3.0,4.0,191.8,2.0,4.0,447.7,2.0,3.0,185.5,2.0,3.0,253.1,2.0,3.0,1818.0
3.0,5.0,116.2,3.0,5.0,192.6,2.0,5.0,513.2,2.0,5.0,31.3,2.0,4.0,47.7,2.0,4.0,2464.0
3.0,6.0,425.3,3.0,6.0,825.9,2.0,6.0,1490.0,2.0,6.0,215.4,2.0,6.0,223.6,2.0,5.0,2735.0
4.0,2.0,11.1,4.0,1.0,32.5,4.0,1.0,762.6,3.0,1.0,435.9,3.0,1.0,661.1,3.0,1.0,6934.0
4.0,3.0,54.9,4.0,3.0,109.1,4.0,2.0,631.7,3.0,2.0,364.0,3.0,2.0,562.6,3.0,2.0,4969.0
4.0,5.0,13.2,4.0,5.0,22.9,4.0,5.0,589.2,3.0,5.0,369.4,3.0,4.0,548.1,3.0,4.0,5846.0
4.0,6.0,166.6,4.0,6.0,263.8,4.0,6.0,2329.0,3.0,6.0,1116.0,3.0,6.0,1313.0,3.0,5.0,6482.0
5.0,2.0,22.3,5.0,1.0,47.3,5.0,1.0,876.9,5.0,1.0,22.2,4.0,1.0,39.2,4.0,1.0,3276.0
5.0,3.0,93.5,5.0,3.0,126.2,5.0,2.0,762.6,5.0,2.0,18.2,4.0,2.0,29.9,4.0,2.0,2484.0
5.0,4.0,23.0,5.0,4.0,35.9,5.0,4.0,561.5,5.0,3.0,110.0,4.0,3.0,182.1,4.0,3.0,5626.0
5.0,6.0,221.5,5.0,6.0,305.1,5.0,6.0,2347.0,5.0,6.0,62.0,4.0,6.0,104.2,4.0,5.0,1521.0
6.0,2.0,778.5,6.0,1.0,1521.0,6.0,1.0,4517.0,6.0,1.0,510.5,6.0,1.0,629.0,5.0,1.0,3172.0
6.0,3.0,1104.0,6.0,3.0,1987.0,6.0,2.0,3727.0,6.0,2.0,519.4,6.0,2.0,621.2,5.0,2.0,2981.0
6.0,4.0,797.2,6.0,4.0,1160.0,6.0,4.0,4969.0,6.0,3.0,1164.0,6.0,3.0,1447.0,5.0,3.0,3975.0
6.0,5.0,793.0,6.0,5.0,1164.0,6.0,5.0,4084.0,6.0,5.0,330.2,6.0,4.0,489.6,5.0,4.0,1611.0
