1,細川 裕子,細川 裕子.1,2,土屋 千明,土屋 千明.1,3,笠野　友紀恵,笠野　友紀恵.1,4,深川　麻奈美,深川　麻奈美.1,5,大石 真央,大石 真央.1,6,神里 琴音,神里 琴音.1
2.0,3.0,19.3,1.0,3.0,106.8,1.0,2.0,528.2,1.0,2.0,26.6,1.0,2.0,303.4,1.0,2.0,237.5
2.0,4.0,4.3,1.0,4.0,23.8,1.0,4.0,567.7,1.0,3.0,143.4,1.0,3.0,795.3,1.0,3.0,701.5
2.0,5.0,21.3,1.0,5.0,86.9,1.0,5.0,798.9,1.0,5.0,55.1,1.0,4.0,298.0,1.0,4.0,236.0
2.0,6.0,14.2,1.0,6.0,57.5,1.0,6.0,828.5,1.0,6.0,33.8,1.0,6.0,374.7,1.0,5.0,569.5
3.0,2.0,51.1,3.0,1.0,379.5,2.0,1.0,668.7,2.0,1.0,50.4,2.0,1.0,499.4,2.0,1.0,364.7
3.0,4.0,48.2,3.0,4.0,473.6,2.0,4.0,824.7,2.0,3.0,386.9,2.0,3.0,1850.0,2.0,3.0,1587.0
3.0,5.0,136.5,3.0,5.0,962.5,2.0,5.0,1506.0,2.0,5.0,171.6,2.0,4.0,791.8,2.0,4.0,513.8
3.0,6.0,115.8,3.0,6.0,797.1,2.0,6.0,1526.0,2.0,6.0,91.5,2.0,6.0,877.4,2.0,5.0,1284.0
4.0,2.0,5.6,4.0,1.0,51.8,4.0,1.0,897.2,3.0,1.0,546.8,3.0,1.0,1428.0,3.0,1.0,1615.0
4.0,3.0,25.0,4.0,3.0,283.8,4.0,2.0,1014.0,3.0,2.0,892.7,3.0,2.0,2903.0,3.0,2.0,2665.0
4.0,5.0,19.1,4.0,5.0,231.8,4.0,5.0,1684.0,3.0,5.0,1244.0,3.0,4.0,2747.0,3.0,4.0,2151.0
4.0,6.0,11.1,4.0,6.0,130.8,4.0,6.0,1623.0,3.0,6.0,754.9,3.0,6.0,2645.0,3.0,5.0,3160.0
5.0,2.0,61.4,5.0,1.0,326.4,5.0,1.0,1422.0,5.0,1.0,100.3,4.0,1.0,374.7,4.0,1.0,301.3
5.0,3.0,183.9,5.0,3.0,1088.0,5.0,2.0,3052.0,5.0,2.0,166.4,4.0,2.0,594.1,4.0,2.0,437.1
5.0,4.0,60.4,5.0,4.0,468.0,5.0,4.0,2625.0,5.0,3.0,624.3,4.0,3.0,1601.0,4.0,3.0,1608.0
5.0,6.0,86.3,5.0,6.0,586.3,5.0,6.0,2856.0,5.0,6.0,134.1,4.0,6.0,551.0,4.0,5.0,970.4
6.0,2.0,46.2,6.0,1.0,232.4,6.0,1.0,1494.0,6.0,1.0,65.3,6.0,1.0,580.6,5.0,1.0,848.2
6.0,3.0,145.9,6.0,3.0,1105.0,6.0,2.0,2789.0,6.0,2.0,110.3,6.0,2.0,791.8,5.0,2.0,1198.0
6.0,4.0,42.0,6.0,4.0,301.8,6.0,4.0,2879.0,6.0,3.0,479.3,6.0,3.0,1850.0,5.0,3.0,2396.0
6.0,5.0,117.7,6.0,5.0,778.0,6.0,5.0,3337.0,6.0,5.0,174.7,6.0,4.0,844.2,5.0,4.0,1115.0
