1,小松 卓司,小松 卓司.1,2,山口 広樹,山口 広樹.1,3,奈須 啓太,奈須 啓太.1,4,大場 広孝,大場 広孝.1,5,沖島 広和,沖島 広和.1,6,野田部　宏子,野田部　宏子.1
2.0,3.0,34.3,1.0,3.0,65.6,1.0,2.0,30.6,1.0,2.0,223.0,1.0,2.0,420.5,1.0,2.0,833.3
2.0,4.0,51.2,1.0,4.0,102.4,1.0,4.0,10.8,1.0,3.0,72.7,1.0,3.0,129.7,1.0,3.0,427.1
2.0,5.0,68.6,1.0,5.0,104.8,1.0,5.0,10.8,1.0,5.0,105.0,1.0,4.0,236.6,1.0,4.0,711.2
2.0,6.0,192.4,1.0,6.0,369.1,1.0,6.0,33.5,1.0,6.0,185.0,1.0,6.0,311.5,1.0,5.0,530.6
3.0,2.0,23.7,3.0,1.0,87.9,2.0,1.0,64.2,2.0,1.0,343.0,2.0,1.0,722.5,2.0,1.0,1358.0
3.0,4.0,12.2,3.0,4.0,131.5,2.0,4.0,80.0,2.0,3.0,314.4,2.0,3.0,598.4,2.0,3.0,1344.0
3.0,5.0,14.6,3.0,5.0,144.3,2.0,5.0,82.0,2.0,5.0,364.1,2.0,4.0,803.8,2.0,4.0,1400.0
3.0,6.0,48.0,3.0,6.0,361.2,2.0,6.0,183.3,2.0,6.0,524.4,2.0,6.0,1181.0,2.0,5.0,1719.0
4.0,2.0,66.2,4.0,1.0,254.3,4.0,1.0,19.1,3.0,1.0,56.7,3.0,1.0,120.6,3.0,1.0,452.8
4.0,3.0,26.9,4.0,3.0,238.3,4.0,2.0,77.0,3.0,2.0,197.7,3.0,2.0,401.9,3.0,2.0,1013.0
4.0,5.0,42.9,4.0,5.0,287.8,4.0,5.0,16.1,3.0,5.0,48.2,3.0,4.0,144.8,3.0,4.0,593.2
4.0,6.0,114.6,4.0,6.0,620.2,4.0,6.0,32.2,3.0,6.0,94.0,3.0,6.0,242.5,3.0,5.0,510.6
5.0,2.0,121.3,5.0,1.0,378.3,5.0,1.0,25.3,5.0,1.0,148.6,4.0,1.0,302.5,4.0,1.0,1181.0
5.0,3.0,43.9,5.0,3.0,357.4,5.0,2.0,85.0,5.0,2.0,337.0,4.0,2.0,675.8,4.0,2.0,1509.0
5.0,4.0,70.4,5.0,4.0,439.6,5.0,4.0,27.7,5.0,3.0,97.5,4.0,3.0,184.5,4.0,3.0,849.0
5.0,6.0,165.6,5.0,6.0,828.3,5.0,6.0,40.2,5.0,6.0,195.4,4.0,6.0,436.7,4.0,5.0,1061.0
6.0,2.0,404.2,6.0,1.0,930.4,6.0,1.0,131.5,6.0,1.0,410.4,6.0,1.0,603.7,5.0,1.0,1132.0
6.0,3.0,208.3,6.0,3.0,1036.0,6.0,2.0,309.4,6.0,2.0,679.2,6.0,2.0,1331.0,5.0,2.0,1787.0
6.0,4.0,321.1,6.0,4.0,1246.0,6.0,4.0,114.3,6.0,3.0,303.9,6.0,3.0,470.0,5.0,3.0,730.3
6.0,5.0,311.5,6.0,5.0,1257.0,6.0,5.0,111.0,6.0,5.0,350.1,6.0,4.0,734.2,5.0,4.0,1104.0
