1,小林 孝彰,小林 孝彰.1,2,飛田 江己,飛田 江己.1,3,加藤 優弥,加藤 優弥.1,4,岩下 巧斗,岩下 巧斗.1,5,上野 俊樹,上野 俊樹.1,6,山下 大輝,山下 大輝.1
2.0,3.0,8.3,1.0,3.0,15.8,1.0,2.0,90.2,1.0,2.0,208.9,1.0,2.0,137.7,1.0,2.0,50.3
2.0,4.0,28.1,1.0,4.0,56.1,1.0,4.0,366.2,1.0,3.0,492.2,1.0,3.0,281.9,1.0,3.0,103.8
2.0,5.0,14.4,1.0,5.0,28.1,1.0,5.0,200.4,1.0,5.0,268.9,1.0,4.0,351.6,1.0,4.0,231.5
2.0,6.0,11.2,1.0,6.0,16.4,1.0,6.0,150.4,1.0,6.0,236.4,1.0,6.0,138.0,1.0,5.0,136.0
3.0,2.0,18.0,3.0,1.0,36.2,2.0,1.0,94.7,2.0,1.0,273.1,2.0,1.0,169.9,2.0,1.0,57.2
3.0,4.0,72.8,3.0,4.0,115.3,2.0,4.0,296.9,2.0,3.0,493.2,2.0,3.0,327.7,2.0,3.0,79.4
3.0,5.0,34.0,3.0,5.0,70.8,2.0,5.0,181.6,2.0,5.0,354.6,2.0,4.0,458.3,2.0,4.0,201.7
3.0,6.0,33.1,3.0,6.0,36.6,2.0,6.0,100.5,2.0,6.0,245.6,2.0,6.0,159.1,2.0,5.0,120.7
4.0,2.0,62.4,4.0,1.0,174.1,4.0,1.0,691.3,3.0,1.0,984.5,3.0,1.0,559.3,3.0,1.0,205.2
4.0,3.0,157.6,4.0,3.0,215.3,4.0,2.0,527.0,3.0,2.0,661.6,3.0,2.0,539.7,3.0,2.0,142.0
4.0,5.0,131.3,4.0,5.0,267.5,4.0,5.0,888.5,3.0,5.0,939.4,3.0,4.0,1323.0,3.0,4.0,603.2
4.0,6.0,117.5,4.0,6.0,168.3,4.0,6.0,665.2,3.0,6.0,703.2,3.0,6.0,521.4,3.0,5.0,366.2
5.0,2.0,38.9,5.0,1.0,101.8,5.0,1.0,401.5,5.0,1.0,253.4,4.0,1.0,393.8,4.0,1.0,374.6
5.0,3.0,67.1,5.0,3.0,145.2,5.0,2.0,325.1,5.0,2.0,242.9,4.0,2.0,382.7,4.0,2.0,319.6
5.0,4.0,144.2,5.0,4.0,302.7,5.0,4.0,992.4,5.0,3.0,595.9,4.0,3.0,918.4,4.0,3.0,701.2
5.0,6.0,56.8,5.0,6.0,110.6,5.0,6.0,433.3,5.0,6.0,200.9,4.0,6.0,303.1,4.0,5.0,402.1
6.0,2.0,26.0,6.0,1.0,41.0,6.0,1.0,241.7,6.0,1.0,266.9,6.0,1.0,188.3,5.0,1.0,198.0
6.0,3.0,49.7,6.0,3.0,54.4,6.0,2.0,158.7,6.0,2.0,244.6,6.0,2.0,177.9,5.0,2.0,183.9
6.0,4.0,135.1,6.0,4.0,159.4,6.0,4.0,717.5,6.0,3.0,520.3,6.0,3.0,408.1,5.0,3.0,370.1
6.0,5.0,61.1,6.0,5.0,94.9,6.0,5.0,444.2,6.0,5.0,255.5,6.0,4.0,333.9,5.0,4.0,370.6
