1,松田　大志郎,松田　大志郎.1,2,藤田 俊祐,藤田 俊祐.1,3,竹間 隆晟,竹間 隆晟.1,4,梶山 涼斗,梶山 涼斗.1,5,山ノ内　雅人,山ノ内　雅人.1,6,重富 伸也,重富 伸也.1
2.0,3.0,9.3,1.0,3.0,85.7,1.0,2.0,20.4,1.0,2.0,321.0,1.0,2.0,178.2,1.0,2.0,238.5
2.0,4.0,35.7,1.0,4.0,237.7,1.0,4.0,24.4,1.0,3.0,234.8,1.0,3.0,103.6,1.0,3.0,191.7
2.0,5.0,20.6,1.0,5.0,156.6,1.0,5.0,13.7,1.0,5.0,277.0,1.0,4.0,257.7,1.0,4.0,509.2
2.0,6.0,85.1,1.0,6.0,410.1,1.0,6.0,55.6,1.0,6.0,683.4,1.0,6.0,327.3,1.0,5.0,351.0
3.0,2.0,6.7,3.0,1.0,144.8,2.0,1.0,61.7,2.0,1.0,531.4,2.0,1.0,349.3,2.0,1.0,360.1
3.0,4.0,14.7,3.0,4.0,544.8,2.0,4.0,173.7,2.0,3.0,690.0,2.0,3.0,432.5,2.0,3.0,466.4
3.0,5.0,6.5,3.0,5.0,311.6,2.0,5.0,105.7,2.0,5.0,708.6,2.0,4.0,916.6,2.0,4.0,1011.0
3.0,6.0,43.1,3.0,6.0,834.0,2.0,6.0,284.5,2.0,6.0,1643.0,2.0,6.0,1086.0,2.0,5.0,776.9
4.0,2.0,58.4,4.0,1.0,641.3,4.0,1.0,50.8,3.0,1.0,160.1,3.0,1.0,97.3,3.0,1.0,230.7
4.0,3.0,52.1,4.0,3.0,918.3,4.0,2.0,128.8,3.0,2.0,354.8,3.0,2.0,243.2,3.0,2.0,440.9
4.0,5.0,69.2,4.0,5.0,1100.0,4.0,5.0,56.1,3.0,5.0,167.0,3.0,4.0,179.4,3.0,4.0,690.0
4.0,6.0,192.5,4.0,6.0,2107.0,4.0,6.0,167.9,3.0,6.0,496.1,3.0,6.0,304.4,3.0,5.0,442.1
5.0,2.0,33.0,5.0,1.0,345.4,5.0,1.0,28.7,5.0,1.0,358.6,4.0,1.0,429.1,4.0,1.0,1090.0
5.0,3.0,21.4,5.0,3.0,482.6,5.0,2.0,67.6,5.0,2.0,609.2,4.0,2.0,804.4,4.0,2.0,1452.0
5.0,4.0,65.5,5.0,4.0,1105.0,5.0,4.0,50.7,5.0,3.0,398.3,4.0,3.0,516.6,4.0,3.0,1186.0
5.0,6.0,104.8,5.0,6.0,1537.0,5.0,6.0,95.1,5.0,6.0,873.4,4.0,6.0,871.8,4.0,5.0,1380.0
6.0,2.0,164.5,6.0,1.0,790.4,6.0,1.0,137.0,6.0,1.0,1271.0,6.0,1.0,686.2,5.0,1.0,622.9
6.0,3.0,122.8,6.0,3.0,1135.0,6.0,2.0,289.9,6.0,2.0,1951.0,6.0,2.0,1314.0,5.0,2.0,966.3
6.0,4.0,281.1,6.0,4.0,2401.0,6.0,4.0,276.1,6.0,3.0,1357.0,6.0,3.0,763.8,5.0,3.0,672.3
6.0,5.0,201.7,6.0,5.0,1777.0,6.0,5.0,184.1,6.0,5.0,1518.0,6.0,4.0,1261.0,5.0,4.0,1284.0
