1,溝口　海義也,溝口　海義也.1,2,近藤　雄一郎,近藤　雄一郎.1,3,玄馬 徹,玄馬 徹.1,4,松尾 基成,松尾 基成.1,5,平山 智加,平山 智加.1,6,山ノ内　雅人,山ノ内　雅人.1
2.0,3.0,28.1,1.0,3.0,217.9,1.0,2.0,271.8,1.0,2.0,269.2,1.0,2.0,64.6,1.0,2.0,222.3
2.0,4.0,22.3,1.0,4.0,282.5,1.0,4.0,276.7,1.0,3.0,285.3,1.0,3.0,105.4,1.0,3.0,352.6
2.0,5.0,9.9,1.0,5.0,139.3,1.0,5.0,152.9,1.0,5.0,130.1,1.0,4.0,92.0,1.0,4.0,327.2
2.0,6.0,15.6,1.0,6.0,198.9,1.0,6.0,259.4,1.0,6.0,166.0,1.0,6.0,34.2,1.0,5.0,101.1
3.0,2.0,37.4,3.0,1.0,630.4,2.0,1.0,636.5,2.0,1.0,636.5,2.0,1.0,198.9,2.0,1.0,513.2
3.0,4.0,35.4,3.0,4.0,1472.0,2.0,4.0,913.5,2.0,3.0,1523.0,2.0,3.0,609.9,2.0,3.0,1289.0
3.0,5.0,20.6,3.0,5.0,1143.0,2.0,5.0,880.9,2.0,5.0,922.1,2.0,4.0,665.5,2.0,4.0,1754.0
3.0,6.0,31.3,3.0,6.0,1777.0,2.0,6.0,1440.0,2.0,6.0,1214.0,2.0,6.0,279.1,2.0,5.0,716.2
4.0,2.0,26.2,4.0,1.0,732.2,4.0,1.0,518.6,3.0,1.0,627.4,3.0,1.0,334.1,3.0,1.0,1096.0
4.0,3.0,33.4,4.0,3.0,1761.0,4.0,2.0,1052.0,3.0,2.0,1553.0,3.0,2.0,955.5,3.0,2.0,2088.0
4.0,5.0,13.4,4.0,5.0,1346.0,4.0,5.0,694.8,3.0,5.0,792.4,3.0,4.0,836.1,3.0,4.0,2436.0
4.0,6.0,19.7,4.0,6.0,1578.0,4.0,6.0,905.1,3.0,6.0,1185.0,3.0,6.0,439.9,3.0,5.0,1229.0
5.0,2.0,11.0,5.0,1.0,314.2,5.0,1.0,252.5,5.0,1.0,239.7,4.0,1.0,251.2,4.0,1.0,736.3
5.0,3.0,20.2,5.0,3.0,880.9,5.0,2.0,657.7,5.0,2.0,698.5,4.0,2.0,764.8,4.0,2.0,1472.0
5.0,4.0,15.8,5.0,4.0,1147.0,5.0,4.0,629.4,5.0,3.0,627.4,4.0,3.0,714.9,4.0,3.0,2121.0
5.0,6.0,8.1,5.0,6.0,615.6,5.0,6.0,364.4,5.0,6.0,279.9,4.0,6.0,295.6,4.0,5.0,873.1
6.0,2.0,31.5,6.0,1.0,582.9,6.0,1.0,652.3,6.0,1.0,433.6,6.0,1.0,52.1,5.0,1.0,127.6
6.0,3.0,52.0,6.0,3.0,1761.0,6.0,2.0,1351.0,6.0,2.0,1038.0,6.0,2.0,152.4,5.0,2.0,408.1
6.0,4.0,40.3,6.0,4.0,2023.0,6.0,4.0,1730.0,6.0,3.0,1174.0,6.0,3.0,210.3,5.0,3.0,581.2
6.0,5.0,17.4,6.0,5.0,837.9,6.0,5.0,639.6,6.0,5.0,464.8,6.0,4.0,197.1,5.0,4.0,544.3
