1,大西 隆洋,大西 隆洋.1,2,宮武 英司,宮武 英司.1,3,藤丸 光一,藤丸 光一.1,4,松田 竜馬,松田 竜馬.1,5,平瀬 城啓,平瀬 城啓.1,6,森安 弘雅,森安 弘雅.1
2.0,3.0,12.0,1.0,3.0,34.0,1.0,2.0,49.5,1.0,2.0,27.5,1.0,2.0,455.1,1.0,2.0,697.4
2.0,4.0,9.6,1.0,4.0,25.6,1.0,4.0,51.4,1.0,3.0,42.1,1.0,3.0,490.4,1.0,3.0,772.6
2.0,5.0,50.8,1.0,5.0,128.9,1.0,5.0,132.2,1.0,5.0,52.5,1.0,4.0,327.4,1.0,4.0,688.4
2.0,6.0,39.6,1.0,6.0,119.7,1.0,6.0,124.7,1.0,6.0,56.3,1.0,6.0,574.3,1.0,5.0,1309.0
3.0,2.0,18.0,3.0,1.0,75.7,2.0,1.0,88.3,2.0,1.0,42.5,2.0,1.0,590.1,2.0,1.0,895.0
3.0,4.0,14.7,3.0,4.0,55.3,2.0,4.0,57.1,2.0,3.0,54.8,2.0,3.0,631.7,2.0,3.0,942.1
3.0,5.0,67.7,3.0,5.0,229.4,2.0,5.0,205.7,2.0,5.0,107.5,2.0,4.0,658.9,2.0,4.0,730.6
3.0,6.0,62.0,3.0,6.0,180.2,2.0,6.0,150.0,2.0,6.0,79.9,2.0,6.0,826.1,2.0,5.0,1118.0
4.0,2.0,12.2,4.0,1.0,45.4,4.0,1.0,87.7,3.0,1.0,80.7,3.0,1.0,756.3,3.0,1.0,887.6
4.0,3.0,15.0,4.0,3.0,57.3,4.0,2.0,66.8,3.0,2.0,62.8,3.0,2.0,826.1,3.0,2.0,1042.0
4.0,5.0,43.3,4.0,5.0,153.4,4.0,5.0,177.8,3.0,5.0,175.4,3.0,4.0,485.9,3.0,4.0,610.2
4.0,6.0,34.0,4.0,6.0,110.8,4.0,6.0,142.2,3.0,6.0,122.4,3.0,6.0,1220.0,3.0,5.0,1704.0
5.0,2.0,140.5,5.0,1.0,310.4,5.0,1.0,248.0,5.0,1.0,76.1,4.0,1.0,327.4,4.0,1.0,667.1
5.0,3.0,146.9,5.0,3.0,455.1,5.0,2.0,299.1,5.0,2.0,96.6,4.0,2.0,488.2,4.0,2.0,706.6
5.0,4.0,127.1,5.0,4.0,380.8,5.0,4.0,320.6,5.0,3.0,156.3,4.0,3.0,550.7,4.0,3.0,887.6
5.0,6.0,214.3,5.0,6.0,471.0,5.0,6.0,359.2,5.0,6.0,89.2,4.0,6.0,424.5,4.0,5.0,845.7
6.0,2.0,114.8,6.0,1.0,288.7,6.0,1.0,323.5,6.0,1.0,106.4,6.0,1.0,917.9,5.0,1.0,1394.0
6.0,3.0,157.0,6.0,3.0,329.4,6.0,2.0,343.1,6.0,2.0,112.1,6.0,2.0,1084.0,5.0,2.0,1394.0
6.0,4.0,105.8,6.0,4.0,266.5,6.0,4.0,323.5,6.0,3.0,168.8,6.0,3.0,1084.0,5.0,3.0,1917.0
6.0,5.0,281.9,6.0,5.0,477.3,6.0,5.0,635.5,6.0,5.0,139.8,6.0,4.0,745.8,5.0,4.0,1003.0
