1,麻生 慎介,麻生 慎介.1,2,渡邉 英児,渡邉 英児.1,3,黄金井　力良,黄金井　力良.1,4,上野　真之介,上野　真之介.1,5,豊田 泰洋,豊田 泰洋.1,6,星野 太郎,星野 太郎.1
2.0,3.0,15.3,1.0,3.0,154.7,1.0,2.0,85.7,1.0,2.0,34.5,1.0,2.0,896.6,1.0,2.0,1310.0
2.0,4.0,10.3,1.0,4.0,104.6,1.0,4.0,32.0,1.0,3.0,31.7,1.0,3.0,884.7,1.0,3.0,973.1
2.0,5.0,64.5,1.0,5.0,352.9,1.0,5.0,128.2,1.0,5.0,72.4,1.0,4.0,617.2,1.0,4.0,486.5
2.0,6.0,46.5,1.0,6.0,299.0,1.0,6.0,82.6,1.0,6.0,38.5,1.0,6.0,1092.0,1.0,5.0,2062.0
3.0,2.0,16.9,3.0,1.0,308.7,2.0,1.0,228.9,2.0,1.0,107.7,2.0,1.0,1557.0,2.0,1.0,1994.0
3.0,4.0,6.9,3.0,4.0,419.9,2.0,4.0,271.3,2.0,3.0,204.7,2.0,3.0,2150.0,2.0,3.0,2638.0
3.0,5.0,42.8,3.0,5.0,1034.0,2.0,5.0,601.9,2.0,5.0,325.2,2.0,4.0,1809.0,2.0,4.0,1495.0
3.0,6.0,25.9,3.0,6.0,860.8,2.0,6.0,471.3,2.0,6.0,191.4,2.0,6.0,2027.0,2.0,5.0,3021.0
4.0,2.0,7.8,4.0,1.0,188.0,4.0,1.0,53.9,3.0,1.0,60.6,3.0,1.0,1484.0,3.0,1.0,1166.0
4.0,3.0,6.3,4.0,3.0,381.7,4.0,2.0,160.2,3.0,2.0,155.5,3.0,2.0,2627.0,3.0,2.0,2797.0
4.0,5.0,29.7,4.0,5.0,807.9,4.0,5.0,166.1,3.0,5.0,225.9,3.0,4.0,1761.0,3.0,4.0,1211.0
4.0,6.0,13.1,4.0,6.0,469.5,4.0,6.0,97.9,3.0,6.0,114.9,3.0,6.0,2517.0,3.0,5.0,3131.0
5.0,2.0,137.1,5.0,1.0,1208.0,5.0,1.0,474.7,5.0,1.0,136.7,4.0,1.0,699.4,4.0,1.0,678.2
5.0,3.0,128.0,5.0,3.0,1518.0,5.0,2.0,849.9,5.0,2.0,263.5,4.0,2.0,1495.0,4.0,2.0,1261.0
5.0,4.0,109.5,5.0,4.0,1607.0,5.0,4.0,508.2,5.0,3.0,311.6,4.0,3.0,1533.0,4.0,3.0,1180.0
5.0,6.0,163.2,5.0,6.0,1761.0,5.0,6.0,685.9,5.0,6.0,169.1,4.0,6.0,1038.0,4.0,5.0,1731.0
6.0,2.0,125.9,6.0,1.0,1230.0,6.0,1.0,365.3,6.0,1.0,107.4,6.0,1.0,2041.0,5.0,1.0,2466.0
6.0,3.0,100.5,6.0,3.0,1557.0,6.0,2.0,838.1,6.0,2.0,208.5,6.0,2.0,3099.0,5.0,2.0,3284.0
6.0,4.0,71.7,6.0,4.0,1015.0,6.0,4.0,347.7,6.0,3.0,200.7,6.0,3.0,3036.0,5.0,3.0,3197.0
6.0,5.0,218.0,6.0,5.0,1936.0,6.0,5.0,785.8,6.0,5.0,227.2,6.0,4.0,1859.0,5.0,4.0,2142.0
