1,平尾 崇典,平尾 崇典.1,2,郷原 章平,郷原 章平.1,3,宮迫 暢彦,宮迫 暢彦.1,4,岡 暢祐,岡 暢祐.1,5,小林 京平,小林 京平.1,6,津留　浩一郎,津留　浩一郎.1
2.0,3.0,2.7,1.0,3.0,21.7,1.0,2.0,91.3,1.0,2.0,242.0,1.0,2.0,950.5,1.0,2.0,69.2
2.0,4.0,9.4,1.0,4.0,52.9,1.0,4.0,298.2,1.0,3.0,361.2,1.0,3.0,1319.0,1.0,3.0,105.1
2.0,5.0,28.3,1.0,5.0,201.7,1.0,5.0,524.4,1.0,5.0,760.4,1.0,4.0,1888.0,1.0,4.0,242.2
2.0,6.0,9.4,1.0,6.0,55.6,1.0,6.0,226.2,1.0,6.0,389.9,1.0,6.0,2020.0,1.0,5.0,484.0
3.0,2.0,6.5,3.0,1.0,71.1,2.0,1.0,132.2,2.0,1.0,368.5,2.0,1.0,1783.0,2.0,1.0,112.4
3.0,4.0,19.0,3.0,4.0,238.6,2.0,4.0,433.8,2.0,3.0,708.2,2.0,3.0,2469.0,2.0,3.0,207.2
3.0,5.0,60.2,3.0,5.0,517.8,2.0,5.0,865.1,2.0,5.0,1267.0,2.0,4.0,2752.0,2.0,4.0,420.6
3.0,6.0,19.6,3.0,6.0,199.1,2.0,6.0,409.8,2.0,6.0,688.0,2.0,6.0,2889.0,2.0,5.0,860.0
4.0,2.0,30.9,4.0,1.0,231.7,4.0,1.0,804.9,3.0,1.0,1021.0,3.0,1.0,1901.0,3.0,1.0,262.7
4.0,3.0,49.9,4.0,3.0,367.6,4.0,2.0,762.4,3.0,2.0,1043.0,3.0,2.0,2603.0,3.0,2.0,369.0
4.0,5.0,179.3,4.0,5.0,1032.0,4.0,5.0,1402.0,3.0,5.0,2078.0,3.0,4.0,4128.0,3.0,4.0,953.7
4.0,6.0,73.2,4.0,6.0,415.1,4.0,6.0,1115.0,3.0,6.0,1641.0,3.0,6.0,3704.0,3.0,5.0,1528.0
5.0,2.0,128.1,5.0,1.0,842.4,5.0,1.0,1006.0,5.0,1.0,1256.0,4.0,1.0,2603.0,4.0,1.0,662.7
5.0,3.0,232.2,5.0,3.0,1050.0,5.0,2.0,1301.0,5.0,2.0,1537.0,4.0,2.0,3107.0,4.0,2.0,897.4
5.0,4.0,349.0,5.0,4.0,1876.0,5.0,4.0,2064.0,5.0,3.0,1952.0,4.0,3.0,3657.0,4.0,3.0,1325.0
5.0,6.0,345.2,5.0,6.0,1699.0,5.0,6.0,1528.0,5.0,6.0,1497.0,4.0,6.0,2778.0,4.0,5.0,1952.0
6.0,2.0,25.3,6.0,1.0,173.0,6.0,1.0,427.4,6.0,1.0,618.7,6.0,1.0,2889.0,5.0,1.0,1307.0
6.0,3.0,33.8,6.0,3.0,293.9,6.0,2.0,647.9,6.0,2.0,798.2,6.0,2.0,2861.0,5.0,2.0,1913.0
6.0,4.0,93.8,6.0,4.0,547.3,6.0,4.0,1319.0,6.0,3.0,993.0,6.0,3.0,3360.0,5.0,3.0,2408.0
6.0,5.0,200.5,6.0,5.0,1111.0,6.0,5.0,1913.0,6.0,5.0,1520.0,6.0,4.0,3210.0,5.0,4.0,2205.0
