1,早川 尚人,早川 尚人.1,2,田中 豪,田中 豪.1,3,宮内　由紀英,宮内　由紀英.1,4,岩田 凌,岩田 凌.1,5,高濱 芳久,高濱 芳久.1,6,市橋 卓士,市橋 卓士.1
2.0,3.0,21.2,1.0,3.0,26.7,1.0,2.0,125.9,1.0,2.0,597.7,1.0,2.0,60.9,1.0,2.0,43.6
2.0,4.0,116.0,1.0,4.0,107.7,1.0,4.0,553.0,1.0,3.0,1046.0,1.0,3.0,126.8,1.0,3.0,120.7
2.0,5.0,17.8,1.0,5.0,17.8,1.0,5.0,188.0,1.0,5.0,1000.0,1.0,4.0,277.9,1.0,4.0,207.5
2.0,6.0,13.1,1.0,6.0,13.6,1.0,6.0,135.9,1.0,6.0,679.5,1.0,6.0,58.1,1.0,5.0,68.6
3.0,2.0,41.2,3.0,1.0,64.1,2.0,1.0,105.7,2.0,1.0,577.5,2.0,1.0,60.0,2.0,1.0,35.5
3.0,4.0,297.5,3.0,4.0,331.9,2.0,4.0,517.4,2.0,3.0,1236.0,2.0,3.0,100.7,2.0,3.0,90.7
3.0,5.0,63.3,3.0,5.0,90.1,2.0,5.0,148.8,2.0,5.0,815.5,2.0,4.0,232.5,2.0,4.0,142.3
3.0,6.0,58.5,3.0,6.0,63.7,2.0,6.0,101.7,2.0,6.0,373.7,2.0,6.0,39.6,2.0,5.0,43.0
4.0,2.0,299.2,4.0,1.0,355.2,4.0,1.0,993.4,3.0,1.0,1445.0,3.0,1.0,216.1,3.0,1.0,235.7
4.0,3.0,463.8,4.0,3.0,612.5,4.0,2.0,1124.0,3.0,2.0,1534.0,3.0,2.0,191.1,3.0,2.0,200.4
4.0,5.0,415.1,4.0,5.0,439.2,4.0,5.0,1319.0,3.0,5.0,1845.0,3.0,4.0,713.2,3.0,4.0,676.2
4.0,6.0,315.8,4.0,6.0,275.6,4.0,6.0,901.6,3.0,6.0,1326.0,3.0,6.0,156.1,3.0,5.0,262.9
5.0,2.0,32.8,5.0,1.0,40.9,5.0,1.0,199.5,5.0,1.0,1063.0,4.0,1.0,650.4,4.0,1.0,473.4
5.0,3.0,70.1,5.0,3.0,79.9,5.0,2.0,178.9,5.0,2.0,1101.0,4.0,2.0,639.7,4.0,2.0,344.9
5.0,4.0,255.3,5.0,4.0,247.9,5.0,4.0,738.3,5.0,3.0,1751.0,4.0,3.0,1058.0,4.0,3.0,778.3
5.0,6.0,36.7,5.0,6.0,28.3,5.0,6.0,147.3,5.0,6.0,713.2,4.0,6.0,361.8,4.0,5.0,428.2
6.0,2.0,24.4,6.0,1.0,23.0,6.0,1.0,187.6,6.0,1.0,738.3,6.0,1.0,48.6,5.0,1.0,64.7
6.0,3.0,60.2,6.0,3.0,57.9,6.0,2.0,151.1,6.0,2.0,458.3,6.0,2.0,36.6,5.0,2.0,50.3
6.0,4.0,203.2,6.0,4.0,137.0,6.0,4.0,659.8,6.0,3.0,1359.0,6.0,3.0,102.1,5.0,3.0,136.8
6.0,5.0,41.1,6.0,5.0,26.1,6.0,5.0,190.6,6.0,5.0,688.1,6.0,4.0,136.4,5.0,4.0,182.9
