1,竹井 貴史,竹井 貴史.1,2,原田　才一郎,原田　才一郎.1,3,小林 遼太,小林 遼太.1,4,岡村 慶太,岡村 慶太.1,5,谷村 啓司,谷村 啓司.1,6,冨名腰　桃奈,冨名腰　桃奈.1
2.0,3.0,10.0,1.0,3.0,37.7,1.0,2.0,113.5,1.0,2.0,23.4,1.0,2.0,594.1,1.0,2.0,2295.0
2.0,4.0,4.7,1.0,4.0,25.7,1.0,4.0,66.1,1.0,3.0,39.9,1.0,3.0,618.4,1.0,3.0,2913.0
2.0,5.0,47.5,1.0,5.0,129.9,1.0,5.0,263.0,1.0,5.0,65.8,1.0,4.0,449.5,1.0,4.0,1664.0
2.0,6.0,151.2,1.0,6.0,406.2,1.0,6.0,610.9,1.0,6.0,172.1,1.0,6.0,958.9,1.0,5.0,2443.0
3.0,2.0,15.2,3.0,1.0,166.8,2.0,1.0,251.2,2.0,1.0,48.6,2.0,1.0,1139.0,2.0,1.0,3092.0
3.0,4.0,9.1,3.0,4.0,159.9,2.0,4.0,212.2,2.0,3.0,114.3,2.0,3.0,2483.0,2.0,3.0,4591.0
3.0,5.0,51.9,3.0,5.0,610.9,2.0,5.0,805.9,2.0,5.0,199.6,2.0,4.0,688.6,2.0,4.0,3030.0
3.0,6.0,169.2,3.0,6.0,886.0,2.0,6.0,1212.0,2.0,6.0,498.3,2.0,6.0,2330.0,2.0,5.0,2970.0
4.0,2.0,4.9,4.0,1.0,63.5,4.0,1.0,122.9,3.0,1.0,115.2,3.0,1.0,1174.0,3.0,1.0,3607.0
4.0,3.0,7.0,4.0,3.0,138.1,4.0,2.0,182.9,3.0,2.0,181.2,3.0,2.0,2443.0,3.0,2.0,5224.0
4.0,5.0,27.2,4.0,5.0,386.5,4.0,5.0,515.3,3.0,5.0,436.6,3.0,4.0,1893.0,3.0,4.0,3443.0
4.0,6.0,82.0,4.0,6.0,814.5,4.0,6.0,1074.0,3.0,6.0,941.0,3.0,6.0,4591.0,3.0,5.0,6587.0
5.0,2.0,147.1,5.0,1.0,636.6,5.0,1.0,620.9,5.0,1.0,146.8,4.0,1.0,479.4,4.0,1.0,2295.0
5.0,3.0,159.3,5.0,3.0,1074.0,5.0,2.0,1594.0,5.0,2.0,247.1,4.0,2.0,655.9,4.0,2.0,2483.0
5.0,4.0,135.4,5.0,4.0,875.8,5.0,4.0,971.2,5.0,3.0,400.8,4.0,3.0,1515.0,4.0,3.0,4208.0
5.0,6.0,373.1,5.0,6.0,2195.0,5.0,6.0,3030.0,5.0,6.0,452.2,4.0,6.0,1390.0,4.0,5.0,3092.0
6.0,2.0,384.5,6.0,1.0,1390.0,6.0,1.0,2858.0,6.0,1.0,571.7,6.0,1.0,2330.0,5.0,1.0,3884.0
6.0,3.0,658.7,6.0,3.0,2443.0,6.0,2.0,2568.0,6.0,2.0,846.4,6.0,2.0,4208.0,5.0,2.0,5827.0
6.0,4.0,364.2,6.0,4.0,2020.0,6.0,4.0,3156.0,6.0,3.0,1485.0,6.0,3.0,5611.0,5.0,3.0,5224.0
6.0,5.0,860.8,6.0,5.0,2404.0,6.0,5.0,3884.0,6.0,5.0,952.9,6.0,4.0,2754.0,5.0,4.0,3523.0
