1,溝口　海義也,溝口　海義也.1,2,藤丸 光一,藤丸 光一.1,3,森清 友翔,森清 友翔.1,4,藤井 公人,藤井 公人.1,5,山田 丈,山田 丈.1,6,志道 吉和,志道 吉和.1
2.0,3.0,21.6,1.0,3.0,225.1,1.0,2.0,286.1,1.0,2.0,63.7,1.0,2.0,46.0,1.0,2.0,1117.0
2.0,4.0,11.9,1.0,4.0,143.3,1.0,4.0,218.6,1.0,3.0,126.8,1.0,3.0,100.4,1.0,3.0,2528.0
2.0,5.0,8.7,1.0,5.0,115.6,1.0,5.0,196.3,1.0,5.0,31.2,1.0,4.0,35.7,1.0,4.0,1468.0
2.0,6.0,85.6,1.0,6.0,397.5,1.0,6.0,761.6,1.0,6.0,115.2,1.0,6.0,88.5,1.0,5.0,1190.0
3.0,2.0,27.8,3.0,1.0,544.4,2.0,1.0,547.4,2.0,1.0,181.0,2.0,1.0,131.8,2.0,1.0,1629.0
3.0,4.0,22.9,3.0,4.0,939.6,2.0,4.0,986.9,2.0,3.0,547.4,2.0,3.0,525.7,2.0,3.0,4156.0
3.0,5.0,18.3,3.0,5.0,816.1,2.0,5.0,915.1,2.0,5.0,201.9,2.0,4.0,221.1,2.0,4.0,3528.0
3.0,6.0,132.6,3.0,6.0,1837.0,2.0,6.0,2069.0,2.0,6.0,460.5,2.0,6.0,376.4,2.0,5.0,3046.0
4.0,2.0,13.3,4.0,1.0,306.1,4.0,1.0,484.2,3.0,1.0,398.4,3.0,1.0,299.8,3.0,1.0,4228.0
4.0,3.0,21.4,4.0,3.0,834.2,4.0,2.0,1030.0,3.0,2.0,837.0,3.0,2.0,603.3,3.0,2.0,4627.0
4.0,5.0,8.6,4.0,5.0,409.4,4.0,5.0,647.1,3.0,5.0,508.3,3.0,4.0,491.9,3.0,4.0,5511.0
4.0,6.0,62.6,4.0,6.0,1205.0,4.0,6.0,2069.0,3.0,6.0,1297.0,3.0,6.0,810.7,3.0,5.0,4905.0
5.0,2.0,9.8,5.0,1.0,241.1,5.0,1.0,391.7,5.0,1.0,32.3,4.0,1.0,44.0,4.0,1.0,1745.0
5.0,3.0,20.4,5.0,3.0,839.9,5.0,2.0,853.0,5.0,2.0,75.3,4.0,2.0,96.8,4.0,2.0,2919.0
5.0,4.0,10.4,5.0,4.0,456.7,5.0,4.0,746.6,5.0,3.0,198.6,4.0,3.0,252.4,4.0,3.0,4716.0
5.0,6.0,51.1,5.0,6.0,1026.0,5.0,6.0,1542.0,5.0,6.0,61.5,4.0,6.0,88.7,4.0,5.0,865.1
6.0,2.0,257.6,6.0,1.0,1343.0,6.0,1.0,2292.0,6.0,1.0,360.4,6.0,1.0,258.8,5.0,1.0,1267.0
6.0,3.0,367.7,6.0,3.0,2885.0,6.0,2.0,2802.0,6.0,2.0,610.8,6.0,2.0,451.6,5.0,2.0,2404.0
6.0,4.0,225.9,6.0,4.0,2381.0,6.0,4.0,3580.0,6.0,3.0,984.9,6.0,3.0,728.8,5.0,3.0,4379.0
6.0,5.0,201.3,6.0,5.0,2069.0,6.0,5.0,2787.0,6.0,5.0,257.3,6.0,4.0,273.5,5.0,4.0,856.0
