1,出畑 孝典,出畑 孝典.1,2,中村 辰也,中村 辰也.1,3,安東 幸治,安東 幸治.1,4,津田 陸翔,津田 陸翔.1,5,品川 賢次,品川 賢次.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,6.0,1.0,3.0,38.0,1.0,2.0,79.6,1.0,2.0,31.0,1.0,2.0,261.1,1.0,2.0,2465.0
2.0,4.0,8.0,1.0,4.0,45.4,1.0,4.0,84.9,1.0,3.0,39.7,1.0,3.0,349.1,1.0,3.0,3047.0
2.0,5.0,23.8,1.0,5.0,94.7,1.0,5.0,152.9,1.0,5.0,31.0,1.0,4.0,237.6,1.0,4.0,2738.0
2.0,6.0,218.5,1.0,6.0,602.6,1.0,6.0,909.9,1.0,6.0,207.6,1.0,6.0,821.8,1.0,5.0,3177.0
3.0,2.0,7.9,3.0,1.0,103.2,2.0,1.0,147.1,2.0,1.0,65.7,2.0,1.0,406.1,2.0,1.0,3356.0
3.0,4.0,9.0,3.0,4.0,203.6,2.0,4.0,260.9,2.0,3.0,129.1,2.0,3.0,759.8,2.0,3.0,3454.0
3.0,5.0,21.1,3.0,5.0,351.1,2.0,5.0,439.4,2.0,5.0,80.8,2.0,4.0,515.3,2.0,4.0,2713.0
3.0,6.0,272.8,3.0,6.0,1169.0,2.0,6.0,1365.0,2.0,6.0,461.6,2.0,6.0,1463.0,2.0,5.0,4184.0
4.0,2.0,11.6,4.0,1.0,119.4,4.0,1.0,129.5,3.0,1.0,105.9,3.0,1.0,652.2,3.0,1.0,3784.0
4.0,3.0,12.8,4.0,3.0,212.6,4.0,2.0,211.3,3.0,2.0,170.8,3.0,2.0,956.8,3.0,2.0,3737.0
4.0,5.0,22.6,4.0,5.0,308.3,4.0,5.0,292.2,3.0,5.0,134.2,3.0,4.0,780.7,3.0,4.0,3454.0
4.0,6.0,205.4,4.0,6.0,1158.0,4.0,6.0,1207.0,3.0,6.0,783.8,3.0,6.0,2528.0,3.0,5.0,5122.0
5.0,2.0,63.2,5.0,1.0,392.9,5.0,1.0,436.5,5.0,1.0,40.8,4.0,1.0,208.9,4.0,1.0,2884.0
5.0,3.0,54.1,5.0,3.0,589.4,5.0,2.0,715.0,5.0,2.0,55.4,4.0,2.0,285.9,4.0,2.0,3143.0
5.0,4.0,63.4,5.0,4.0,641.6,5.0,4.0,521.2,5.0,3.0,81.0,4.0,3.0,395.3,4.0,3.0,3414.0
5.0,6.0,380.1,5.0,6.0,2217.0,5.0,6.0,1892.0,5.0,6.0,157.5,4.0,6.0,576.8,4.0,5.0,2539.0
6.0,2.0,789.0,6.0,1.0,2348.0,6.0,1.0,2517.0,6.0,1.0,584.2,6.0,1.0,1874.0,5.0,1.0,3935.0
6.0,3.0,904.3,6.0,3.0,2927.0,6.0,2.0,2700.0,6.0,2.0,737.2,6.0,2.0,2528.0,5.0,2.0,4715.0
6.0,4.0,658.7,6.0,4.0,2152.0,6.0,4.0,2063.0,6.0,3.0,983.7,6.0,3.0,2941.0,5.0,3.0,5166.0
6.0,5.0,719.3,6.0,5.0,3078.0,6.0,5.0,2561.0,6.0,5.0,483.4,6.0,4.0,1697.0,5.0,4.0,2617.0
