1,白井 友晴,白井 友晴.1,2,東 健介,東 健介.1,3,冨田 秀幸,冨田 秀幸.1,4,江藤 敦宏,江藤 敦宏.1,5,百武 翔,百武 翔.1,6,宗行 治哉,宗行 治哉.1
2.0,3.0,11.6,1.0,3.0,43.0,1.0,2.0,133.6,1.0,2.0,191.2,1.0,2.0,129.6,1.0,2.0,110.4
2.0,4.0,21.9,1.0,4.0,74.9,1.0,4.0,207.0,1.0,3.0,315.4,1.0,3.0,162.1,1.0,3.0,153.7
2.0,5.0,11.7,1.0,5.0,39.5,1.0,5.0,106.0,1.0,5.0,122.5,1.0,4.0,183.5,1.0,4.0,256.3
2.0,6.0,11.0,1.0,6.0,33.8,1.0,6.0,96.8,1.0,6.0,108.3,1.0,6.0,69.3,1.0,5.0,88.5
3.0,2.0,17.0,3.0,1.0,133.1,2.0,1.0,192.0,2.0,1.0,335.9,2.0,1.0,246.8,2.0,1.0,184.4
3.0,4.0,32.9,3.0,4.0,468.9,2.0,4.0,477.9,2.0,3.0,957.4,2.0,3.0,466.7,2.0,3.0,477.1
3.0,5.0,16.8,3.0,5.0,247.2,2.0,5.0,350.4,2.0,5.0,436.8,2.0,4.0,671.8,2.0,4.0,664.4
3.0,6.0,17.6,3.0,6.0,214.5,2.0,6.0,305.7,2.0,6.0,372.7,2.0,6.0,250.3,2.0,5.0,362.7
4.0,2.0,37.3,4.0,1.0,227.3,4.0,1.0,432.4,3.0,1.0,560.1,3.0,1.0,379.8,3.0,1.0,335.5
4.0,3.0,57.2,4.0,3.0,602.9,4.0,2.0,760.5,3.0,2.0,816.5,3.0,2.0,670.3,3.0,2.0,645.8
4.0,5.0,42.3,4.0,5.0,441.9,4.0,5.0,546.8,3.0,5.0,809.9,3.0,4.0,1047.0,3.0,4.0,841.7
4.0,6.0,37.1,4.0,6.0,325.0,4.0,6.0,611.5,3.0,6.0,790.6,3.0,6.0,436.1,3.0,5.0,499.4
5.0,2.0,27.0,5.0,1.0,170.5,5.0,1.0,238.9,5.0,1.0,155.1,4.0,1.0,249.5,4.0,1.0,433.0
5.0,3.0,33.8,5.0,3.0,393.7,5.0,2.0,415.0,5.0,2.0,312.1,4.0,2.0,605.3,4.0,2.0,756.7
5.0,4.0,56.7,5.0,4.0,529.4,5.0,4.0,605.3,5.0,3.0,633.5,4.0,3.0,919.2,4.0,3.0,1157.0
5.0,6.0,22.1,5.0,6.0,226.1,5.0,6.0,283.5,5.0,6.0,127.6,4.0,6.0,209.1,4.0,5.0,440.6
6.0,2.0,25.1,6.0,1.0,117.9,6.0,1.0,231.7,6.0,1.0,166.4,6.0,1.0,84.8,5.0,1.0,128.0
6.0,3.0,32.6,6.0,3.0,324.3,6.0,2.0,470.4,6.0,2.0,297.8,6.0,2.0,204.2,5.0,2.0,304.8
6.0,4.0,54.3,6.0,4.0,392.7,6.0,4.0,805.5,6.0,3.0,624.3,6.0,3.0,236.7,5.0,3.0,313.7
6.0,5.0,26.2,6.0,5.0,245.2,6.0,5.0,320.1,6.0,5.0,162.4,6.0,4.0,203.0,5.0,4.0,362.3
