1,佐々木　和伸,佐々木　和伸.1,2,近藤 稔也,近藤 稔也.1,3,大塚 雅治,大塚 雅治.1,4,本橋 克洋,本橋 克洋.1,5,金子 猛志,金子 猛志.1,6,桑島 和宏,桑島 和宏.1
2.0,3.0,12.2,1.0,3.0,78.5,1.0,2.0,71.6,1.0,2.0,132.7,1.0,2.0,507.4,1.0,2.0,511.4
2.0,4.0,10.7,1.0,4.0,72.5,1.0,4.0,34.9,1.0,3.0,91.2,1.0,3.0,473.2,1.0,3.0,474.7
2.0,5.0,40.1,1.0,5.0,168.3,1.0,5.0,86.4,1.0,5.0,151.9,1.0,4.0,382.5,1.0,4.0,330.4
2.0,6.0,21.8,1.0,6.0,92.4,1.0,6.0,47.9,1.0,6.0,84.1,1.0,6.0,370.8,1.0,5.0,920.2
3.0,2.0,12.5,3.0,1.0,186.0,2.0,1.0,171.7,2.0,1.0,301.3,2.0,1.0,896.3,2.0,1.0,1004.0
3.0,4.0,6.9,3.0,4.0,233.2,2.0,4.0,186.8,2.0,3.0,577.2,2.0,3.0,1532.0,2.0,3.0,2013.0
3.0,5.0,26.0,3.0,5.0,436.8,2.0,5.0,455.9,2.0,5.0,725.4,2.0,4.0,1458.0,2.0,4.0,1390.0
3.0,6.0,13.7,3.0,6.0,314.6,2.0,6.0,267.1,2.0,6.0,386.7,2.0,6.0,1125.0,2.0,5.0,2388.0
4.0,2.0,13.7,4.0,1.0,198.9,4.0,1.0,73.8,3.0,1.0,160.6,3.0,1.0,772.9,3.0,1.0,815.0
4.0,3.0,10.2,4.0,3.0,294.6,4.0,2.0,196.8,3.0,2.0,464.8,3.0,2.0,1638.0,3.0,2.0,1863.0
4.0,5.0,31.0,4.0,5.0,504.5,4.0,5.0,210.8,3.0,5.0,447.7,3.0,4.0,1257.0,3.0,4.0,1037.0
4.0,6.0,13.9,4.0,6.0,333.8,4.0,6.0,103.4,3.0,6.0,243.0,3.0,6.0,1191.0,3.0,5.0,2467.0
5.0,2.0,80.6,5.0,1.0,594.0,5.0,1.0,266.3,5.0,1.0,268.9,4.0,1.0,533.3,4.0,1.0,451.3
5.0,3.0,72.1,5.0,3.0,974.1,5.0,2.0,630.7,5.0,2.0,580.9,4.0,2.0,1290.0,4.0,2.0,1257.0
5.0,4.0,67.7,5.0,4.0,1000.0,5.0,4.0,462.4,5.0,3.0,546.9,4.0,3.0,1128.0,4.0,3.0,959.5
5.0,6.0,81.7,5.0,6.0,853.7,5.0,6.0,419.3,5.0,6.0,282.7,4.0,6.0,592.4,4.0,5.0,1320.0
6.0,2.0,61.9,6.0,1.0,438.5,6.0,1.0,199.4,6.0,1.0,187.1,6.0,1.0,852.1,5.0,1.0,1575.0
6.0,3.0,54.3,6.0,3.0,776.9,6.0,2.0,493.4,6.0,2.0,411.9,6.0,2.0,1527.0,5.0,2.0,2551.0
6.0,4.0,44.1,6.0,4.0,774.2,6.0,4.0,278.2,6.0,3.0,348.6,6.0,3.0,1627.0,5.0,3.0,2190.0
6.0,5.0,114.0,6.0,5.0,997.9,6.0,5.0,547.6,6.0,5.0,385.1,6.0,4.0,945.4,5.0,4.0,1586.0
