1,新田 芳美,新田 芳美.1,2,津田 裕絵,津田 裕絵.1,3,池田 紫乃,池田 紫乃.1,4,宇野 弥生,宇野 弥生.1,5,岸 恵子,岸 恵子.1,6,伊藤 玲奈,伊藤 玲奈.1
2.0,3.0,28.6,1.0,3.0,39.6,1.0,2.0,60.1,1.0,2.0,47.1,1.0,2.0,185.4,1.0,2.0,1895.0
2.0,4.0,28.5,1.0,4.0,35.9,1.0,4.0,53.6,1.0,3.0,66.2,1.0,3.0,208.1,1.0,3.0,2204.0
2.0,5.0,56.6,1.0,5.0,64.7,1.0,5.0,72.7,1.0,5.0,52.4,1.0,4.0,191.2,1.0,4.0,1992.0
2.0,6.0,187.9,1.0,6.0,209.6,1.0,6.0,275.7,1.0,6.0,158.7,1.0,6.0,454.4,1.0,5.0,2483.0
3.0,2.0,34.0,3.0,1.0,48.9,2.0,1.0,51.2,2.0,1.0,50.6,2.0,1.0,210.1,2.0,1.0,2432.0
3.0,4.0,35.6,3.0,4.0,27.4,2.0,4.0,21.8,2.0,3.0,42.5,2.0,3.0,140.8,2.0,3.0,1865.0
3.0,5.0,60.6,3.0,5.0,41.8,2.0,5.0,33.2,2.0,5.0,36.9,2.0,4.0,133.7,2.0,4.0,1167.0
3.0,6.0,234.9,3.0,6.0,201.8,2.0,6.0,142.2,2.0,6.0,105.9,2.0,6.0,319.4,2.0,5.0,2015.0
4.0,2.0,38.0,4.0,1.0,46.5,4.0,1.0,41.7,3.0,1.0,65.6,3.0,1.0,184.0,3.0,1.0,2350.0
4.0,3.0,49.7,4.0,3.0,34.1,4.0,2.0,22.6,3.0,2.0,39.3,3.0,2.0,113.7,3.0,2.0,2086.0
4.0,5.0,62.7,4.0,5.0,45.1,4.0,5.0,21.0,3.0,5.0,37.4,3.0,4.0,116.6,3.0,4.0,1671.0
4.0,6.0,230.7,4.0,6.0,180.2,4.0,6.0,126.5,3.0,6.0,138.5,3.0,6.0,334.5,3.0,5.0,2062.0
5.0,2.0,102.0,5.0,1.0,118.7,5.0,1.0,79.3,5.0,1.0,40.8,4.0,1.0,158.3,4.0,1.0,2398.0
5.0,3.0,122.0,5.0,3.0,85.5,5.0,2.0,47.8,5.0,2.0,30.7,4.0,2.0,109.4,4.0,2.0,1163.0
5.0,4.0,120.4,5.0,4.0,92.5,5.0,4.0,45.9,5.0,3.0,41.6,4.0,3.0,116.7,4.0,3.0,1959.0
5.0,6.0,373.1,5.0,6.0,325.9,5.0,6.0,149.2,5.0,6.0,66.5,4.0,6.0,208.1,4.0,5.0,1237.0
6.0,2.0,694.1,6.0,1.0,833.6,6.0,1.0,706.6,6.0,1.0,340.7,6.0,1.0,1052.0,5.0,1.0,2555.0
6.0,3.0,853.8,6.0,3.0,810.6,6.0,2.0,491.8,6.0,2.0,238.4,6.0,2.0,701.0,5.0,2.0,1970.0
6.0,4.0,868.5,6.0,4.0,657.9,6.0,4.0,511.0,6.0,3.0,351.5,6.0,3.0,858.0,5.0,3.0,2124.0
6.0,5.0,818.1,6.0,5.0,756.7,6.0,5.0,488.4,6.0,5.0,230.1,6.0,4.0,647.0,5.0,4.0,1233.0
