1,上野 秀和,上野 秀和.1,2,深川　麻奈美,深川　麻奈美.1,3,森 晋太郎,森 晋太郎.1,4,沖島 広和,沖島 広和.1,5,松尾 宣邦,松尾 宣邦.1,6,田頭 実,田頭 実.1
2.0,3.0,62.4,1.0,3.0,93.4,1.0,2.0,133.8,1.0,2.0,180.3,1.0,2.0,1089.0,1.0,2.0,21.3
2.0,4.0,56.4,1.0,4.0,73.2,1.0,4.0,85.7,1.0,3.0,202.4,1.0,3.0,912.9,1.0,3.0,27.7
2.0,5.0,226.0,1.0,5.0,239.9,1.0,5.0,193.1,1.0,5.0,357.5,1.0,4.0,1266.0,1.0,4.0,22.9
2.0,6.0,39.5,1.0,6.0,62.9,1.0,6.0,63.3,1.0,6.0,119.2,1.0,6.0,607.4,1.0,5.0,111.0
3.0,2.0,75.4,3.0,1.0,116.1,2.0,1.0,151.3,2.0,1.0,192.9,2.0,1.0,1210.0,2.0,1.0,30.6
3.0,4.0,72.3,3.0,4.0,66.2,2.0,4.0,75.2,2.0,3.0,178.5,2.0,3.0,1257.0,2.0,3.0,20.1
3.0,5.0,175.3,3.0,5.0,157.1,2.0,5.0,160.5,2.0,5.0,281.2,2.0,4.0,785.6,2.0,4.0,16.9
3.0,6.0,59.4,3.0,6.0,70.8,2.0,6.0,76.7,2.0,6.0,81.5,2.0,6.0,907.8,2.0,5.0,90.7
4.0,2.0,90.4,4.0,1.0,101.4,4.0,1.0,84.1,3.0,1.0,173.2,3.0,1.0,851.0,3.0,1.0,42.5
4.0,3.0,102.9,4.0,3.0,80.2,4.0,2.0,79.7,3.0,2.0,170.2,3.0,2.0,1034.0,3.0,2.0,30.7
4.0,5.0,271.8,4.0,5.0,156.5,4.0,5.0,88.4,3.0,5.0,165.5,3.0,4.0,710.4,3.0,4.0,26.5
4.0,6.0,78.4,4.0,6.0,54.0,4.0,6.0,47.2,3.0,6.0,97.7,3.0,6.0,808.9,3.0,5.0,100.4
5.0,2.0,532.2,5.0,1.0,518.7,5.0,1.0,289.2,5.0,1.0,589.9,4.0,1.0,1446.0,4.0,1.0,45.0
5.0,3.0,482.0,5.0,3.0,347.6,5.0,2.0,283.2,5.0,2.0,415.8,4.0,2.0,902.8,4.0,2.0,32.5
5.0,4.0,544.7,5.0,4.0,287.1,5.0,4.0,179.7,5.0,3.0,363.1,4.0,3.0,793.2,4.0,3.0,42.3
5.0,6.0,436.9,5.0,6.0,377.3,5.0,6.0,170.5,5.0,6.0,288.2,4.0,6.0,939.1,4.0,5.0,124.6
6.0,2.0,28.8,6.0,1.0,61.9,6.0,1.0,68.5,6.0,1.0,116.0,6.0,1.0,778.1,5.0,1.0,354.4
6.0,3.0,34.3,6.0,3.0,47.0,6.0,2.0,61.1,6.0,2.0,83.8,6.0,2.0,851.0,5.0,2.0,267.0
6.0,4.0,31.7,6.0,4.0,33.8,6.0,4.0,43.6,6.0,3.0,101.3,6.0,3.0,851.0,5.0,3.0,263.5
6.0,5.0,133.2,6.0,5.0,140.6,6.0,5.0,114.6,6.0,5.0,183.1,6.0,4.0,804.9,5.0,4.0,282.2
