1,宮本 夏樹,宮本 夏樹.1,2,中北 涼,中北 涼.1,3,前田 聖文,前田 聖文.1,4,菊池 宏志,菊池 宏志.1,5,清水 攻二,清水 攻二.1,6,赤羽 克也,赤羽 克也.1
2.0,3.0,56.5,1.0,3.0,238.4,1.0,2.0,44.6,1.0,2.0,555.6,1.0,2.0,549.6,1.0,2.0,580.7
2.0,4.0,130.7,1.0,4.0,493.6,1.0,4.0,15.0,1.0,3.0,175.9,1.0,3.0,158.8,1.0,3.0,148.0
2.0,5.0,126.1,1.0,5.0,506.8,1.0,5.0,12.6,1.0,5.0,354.0,1.0,4.0,541.2,1.0,4.0,519.9
2.0,6.0,123.0,1.0,6.0,429.5,1.0,6.0,9.7,1.0,6.0,224.2,1.0,6.0,219.7,1.0,5.0,308.0
3.0,2.0,32.3,3.0,1.0,328.6,2.0,1.0,134.1,2.0,1.0,1042.0,2.0,1.0,954.7,2.0,1.0,1169.0
3.0,4.0,14.5,3.0,4.0,737.2,2.0,4.0,189.0,2.0,3.0,949.9,2.0,3.0,956.3,2.0,3.0,867.0
3.0,5.0,11.5,3.0,5.0,618.1,2.0,5.0,165.4,2.0,5.0,1404.0,2.0,4.0,1530.0,2.0,4.0,1599.0
3.0,6.0,9.8,3.0,6.0,469.0,2.0,6.0,119.3,2.0,6.0,945.2,2.0,6.0,850.1,2.0,5.0,1501.0
4.0,2.0,153.3,4.0,1.0,996.8,4.0,1.0,31.3,3.0,1.0,138.8,3.0,1.0,154.8,3.0,1.0,126.2
4.0,3.0,49.9,4.0,3.0,1143.0,4.0,2.0,127.2,3.0,2.0,375.2,3.0,2.0,591.6,3.0,2.0,513.7
4.0,5.0,113.9,4.0,5.0,1564.0,4.0,5.0,30.3,3.0,5.0,145.3,3.0,4.0,322.4,3.0,4.0,238.3
4.0,6.0,79.3,4.0,6.0,1027.0,4.0,6.0,20.6,3.0,6.0,95.6,3.0,6.0,121.8,3.0,5.0,149.9
5.0,2.0,169.5,5.0,1.0,1238.0,5.0,1.0,32.7,5.0,1.0,537.6,4.0,1.0,853.9,4.0,1.0,765.1
5.0,3.0,45.2,5.0,3.0,1182.0,5.0,2.0,149.9,5.0,2.0,1050.0,4.0,2.0,1641.0,4.0,2.0,1705.0
5.0,4.0,151.6,5.0,4.0,2051.0,5.0,4.0,47.2,5.0,3.0,344.6,4.0,3.0,557.2,4.0,3.0,423.4
5.0,6.0,64.7,5.0,6.0,1169.0,5.0,6.0,22.6,5.0,6.0,334.2,4.0,6.0,510.0,4.0,5.0,770.3
6.0,2.0,173.8,6.0,1.0,1172.0,6.0,1.0,22.2,6.0,1.0,348.8,6.0,1.0,271.4,5.0,1.0,382.0
6.0,3.0,40.3,6.0,3.0,1020.0,6.0,2.0,108.7,6.0,2.0,868.3,6.0,2.0,804.2,5.0,2.0,1118.0
6.0,4.0,119.8,6.0,4.0,1736.0,6.0,4.0,28.2,6.0,3.0,213.4,6.0,3.0,164.4,5.0,3.0,213.7
6.0,5.0,79.8,6.0,5.0,1489.0,6.0,5.0,24.5,6.0,5.0,384.3,6.0,4.0,499.7,5.0,4.0,648.5
