1,鈴木 秀茉,鈴木 秀茉.1,2,渡邊 哲也,渡邊 哲也.1,3,抹香 雄三,抹香 雄三.1,4,関 裕也,関 裕也.1,5,櫻本　あゆみ,櫻本　あゆみ.1,6,今出 晋二,今出 晋二.1
2.0,3.0,14.9,1.0,3.0,100.2,1.0,2.0,54.6,1.0,2.0,88.4,1.0,2.0,200.4,1.0,2.0,1267.0
2.0,4.0,21.8,1.0,4.0,133.2,1.0,4.0,26.0,1.0,3.0,55.7,1.0,3.0,130.5,1.0,3.0,725.7
2.0,5.0,34.8,1.0,5.0,197.1,1.0,5.0,32.9,1.0,5.0,70.8,1.0,4.0,155.8,1.0,4.0,918.2
2.0,6.0,78.9,1.0,6.0,399.0,1.0,6.0,87.3,1.0,6.0,126.6,1.0,6.0,292.1,1.0,5.0,1077.0
3.0,2.0,11.0,3.0,1.0,190.8,2.0,1.0,158.0,2.0,1.0,227.2,2.0,1.0,409.9,2.0,1.0,2686.0
3.0,4.0,6.7,3.0,4.0,284.7,2.0,4.0,195.2,2.0,3.0,285.2,2.0,3.0,507.0,2.0,3.0,2092.0
3.0,5.0,9.7,3.0,5.0,336.4,2.0,5.0,202.0,2.0,5.0,376.5,2.0,4.0,697.6,2.0,4.0,2812.0
3.0,6.0,24.6,3.0,6.0,803.5,2.0,6.0,542.1,2.0,6.0,491.7,2.0,6.0,877.9,2.0,5.0,3214.0
4.0,2.0,20.2,4.0,1.0,259.3,4.0,1.0,43.2,3.0,1.0,94.5,3.0,1.0,193.3,3.0,1.0,942.3
4.0,3.0,11.7,4.0,3.0,333.9,4.0,2.0,102.6,3.0,2.0,232.2,3.0,2.0,401.7,3.0,2.0,2168.0
4.0,5.0,22.6,4.0,5.0,523.2,4.0,5.0,60.9,3.0,5.0,135.6,3.0,4.0,263.5,3.0,4.0,1764.0
4.0,6.0,41.8,4.0,6.0,891.0,4.0,6.0,155.1,3.0,6.0,265.8,3.0,6.0,509.8,3.0,5.0,1747.0
5.0,2.0,47.7,5.0,1.0,431.6,5.0,1.0,76.8,5.0,1.0,111.7,4.0,1.0,184.9,4.0,1.0,1395.0
5.0,3.0,22.5,5.0,3.0,532.5,5.0,2.0,168.6,5.0,2.0,248.2,4.0,2.0,482.5,4.0,2.0,2368.0
5.0,4.0,36.9,5.0,4.0,700.3,5.0,4.0,97.6,5.0,3.0,170.1,4.0,3.0,263.1,4.0,3.0,1592.0
5.0,6.0,84.5,5.0,6.0,1146.0,5.0,6.0,197.7,5.0,6.0,230.4,4.0,6.0,540.4,4.0,5.0,1818.0
6.0,2.0,216.3,6.0,1.0,1046.0,6.0,1.0,374.9,6.0,1.0,395.5,6.0,1.0,647.4,5.0,1.0,1406.0
6.0,3.0,118.4,6.0,3.0,1747.0,6.0,2.0,848.9,6.0,2.0,694.9,6.0,2.0,1040.0,5.0,2.0,2307.0
6.0,4.0,160.8,6.0,4.0,2022.0,6.0,4.0,537.2,6.0,3.0,649.7,6.0,3.0,743.7,5.0,3.0,1538.0
6.0,5.0,203.6,6.0,5.0,1914.0,6.0,5.0,504.1,6.0,5.0,514.2,6.0,4.0,972.8,5.0,4.0,1914.0
