1,上原　健次郎,上原　健次郎.1,2,森定 晃史,森定 晃史.1,3,平岡 重典,平岡 重典.1,4,岩永 節也,岩永 節也.1,5,冨田 秀幸,冨田 秀幸.1,6,八戸 琉楓,八戸 琉楓.1
2.0,3.0,6.4,1.0,3.0,7.0,1.0,2.0,63.7,1.0,2.0,174.5,1.0,2.0,113.2,1.0,2.0,691.0
2.0,4.0,12.9,1.0,4.0,16.3,1.0,4.0,146.9,1.0,3.0,356.5,1.0,3.0,231.4,1.0,3.0,1431.0
2.0,5.0,11.3,1.0,5.0,11.3,1.0,5.0,126.8,1.0,5.0,267.9,1.0,4.0,363.0,1.0,4.0,2131.0
2.0,6.0,71.3,1.0,6.0,70.4,1.0,6.0,373.8,1.0,6.0,808.0,1.0,6.0,646.4,1.0,5.0,1727.0
3.0,2.0,20.4,3.0,1.0,20.7,2.0,1.0,51.4,2.0,1.0,150.6,2.0,1.0,101.3,2.0,1.0,782.8
3.0,4.0,49.4,3.0,4.0,45.0,2.0,4.0,100.9,2.0,3.0,229.8,2.0,3.0,138.4,2.0,3.0,1178.0
3.0,5.0,42.5,3.0,5.0,28.8,2.0,5.0,68.0,2.0,5.0,152.5,2.0,4.0,195.7,2.0,4.0,1616.0
3.0,6.0,158.5,3.0,6.0,138.2,2.0,6.0,310.2,2.0,6.0,626.2,2.0,6.0,488.7,2.0,5.0,1252.0
4.0,2.0,42.5,4.0,1.0,51.9,4.0,1.0,372.5,3.0,1.0,585.9,3.0,1.0,371.1,3.0,1.0,2708.0
4.0,3.0,112.9,4.0,3.0,70.4,4.0,2.0,228.7,3.0,2.0,341.9,3.0,2.0,212.7,3.0,2.0,1727.0
4.0,5.0,111.7,4.0,5.0,66.4,4.0,5.0,437.5,3.0,5.0,474.8,3.0,4.0,524.6,3.0,4.0,4008.0
4.0,6.0,314.1,4.0,6.0,264.3,4.0,6.0,1565.0,3.0,6.0,1495.0,3.0,6.0,936.4,3.0,5.0,3853.0
5.0,2.0,39.1,5.0,1.0,32.8,5.0,1.0,220.7,5.0,1.0,279.1,4.0,1.0,421.0,4.0,1.0,3455.0
5.0,3.0,72.7,5.0,3.0,42.4,5.0,2.0,131.3,5.0,2.0,210.0,4.0,2.0,303.6,4.0,2.0,2443.0
5.0,4.0,124.9,5.0,4.0,68.7,5.0,4.0,338.5,5.0,3.0,451.3,4.0,3.0,646.4,4.0,3.0,4771.0
5.0,6.0,217.8,5.0,6.0,194.9,5.0,6.0,982.3,5.0,6.0,770.7,4.0,6.0,1178.0,4.0,5.0,3455.0
6.0,2.0,329.6,6.0,1.0,268.6,6.0,1.0,1125.0,6.0,1.0,1268.0,6.0,1.0,1207.0,5.0,1.0,2330.0
6.0,3.0,386.8,6.0,3.0,361.7,6.0,2.0,936.4,6.0,2.0,1318.0,6.0,2.0,919.2,5.0,2.0,2087.0
6.0,4.0,572.5,6.0,4.0,607.2,6.0,4.0,2087.0,6.0,3.0,2277.0,6.0,3.0,1642.0,5.0,3.0,4175.0
6.0,5.0,519.1,6.0,5.0,433.7,6.0,5.0,1565.0,6.0,5.0,1336.0,6.0,4.0,2087.0,5.0,4.0,3232.0
