1,佐竹 太一,佐竹 太一.1,2,大場 広孝,大場 広孝.1,3,天野 誠,天野 誠.1,4,坂井 滉哉,坂井 滉哉.1,5,西原 明生,西原 明生.1,6,吉本 玲緒,吉本 玲緒.1
2.0,3.0,4.7,1.0,3.0,43.3,1.0,2.0,113.6,1.0,2.0,69.8,1.0,2.0,117.0,1.0,2.0,755.3
2.0,4.0,11.8,1.0,4.0,75.0,1.0,4.0,209.2,1.0,3.0,157.7,1.0,3.0,189.6,1.0,3.0,1298.0
2.0,5.0,7.3,1.0,5.0,55.4,1.0,5.0,152.1,1.0,5.0,63.6,1.0,4.0,169.6,1.0,4.0,1313.0
2.0,6.0,29.1,1.0,6.0,129.2,1.0,6.0,362.7,1.0,6.0,135.5,1.0,6.0,204.3,1.0,5.0,1004.0
3.0,2.0,8.4,3.0,1.0,138.8,2.0,1.0,206.6,2.0,1.0,152.6,2.0,1.0,238.3,2.0,1.0,917.6
3.0,4.0,26.7,3.0,4.0,442.4,2.0,4.0,606.9,2.0,3.0,414.7,2.0,3.0,531.3,2.0,3.0,2145.0
3.0,5.0,13.5,3.0,5.0,336.5,2.0,5.0,485.6,2.0,5.0,229.5,2.0,4.0,618.4,2.0,4.0,2155.0
3.0,6.0,52.1,3.0,6.0,741.8,2.0,6.0,1043.0,2.0,6.0,420.0,2.0,6.0,553.2,2.0,5.0,1792.0
4.0,2.0,20.2,4.0,1.0,235.3,4.0,1.0,481.0,3.0,1.0,385.6,3.0,1.0,383.7,3.0,1.0,1928.0
4.0,3.0,39.4,4.0,3.0,568.4,4.0,2.0,720.8,3.0,2.0,558.0,3.0,2.0,755.3,3.0,2.0,3840.0
4.0,5.0,28.6,4.0,5.0,497.8,4.0,5.0,832.4,3.0,5.0,595.8,3.0,4.0,1122.0,3.0,4.0,3808.0
4.0,6.0,67.7,4.0,6.0,844.7,4.0,6.0,1597.0,3.0,6.0,1050.0,3.0,6.0,1136.0,3.0,5.0,3515.0
5.0,2.0,17.1,5.0,1.0,195.6,5.0,1.0,370.9,5.0,1.0,82.2,4.0,1.0,193.7,4.0,1.0,1597.0
5.0,3.0,24.4,5.0,3.0,411.3,5.0,2.0,574.1,5.0,2.0,154.4,4.0,2.0,394.3,4.0,2.0,2769.0
5.0,4.0,42.0,5.0,4.0,542.7,5.0,4.0,917.6,5.0,3.0,309.2,4.0,3.0,667.1,4.0,3.0,3287.0
5.0,6.0,42.7,5.0,6.0,541.4,5.0,6.0,1067.0,5.0,6.0,164.3,4.0,6.0,394.9,4.0,5.0,1961.0
6.0,2.0,101.8,6.0,1.0,481.5,6.0,1.0,1272.0,6.0,1.0,322.9,6.0,1.0,470.6,5.0,1.0,1120.0
6.0,3.0,163.3,6.0,3.0,1309.0,6.0,2.0,2145.0,6.0,2.0,514.0,6.0,2.0,797.5,5.0,2.0,1944.0
6.0,4.0,175.5,6.0,4.0,1441.0,6.0,4.0,2688.0,6.0,3.0,938.4,6.0,3.0,1401.0,5.0,3.0,2331.0
6.0,5.0,123.6,6.0,5.0,896.0,6.0,5.0,2058.0,6.0,5.0,373.9,6.0,4.0,832.4,5.0,4.0,2135.0
