1,河合 佑樹,河合 佑樹.1,2,山本　景士郎,山本　景士郎.1,3,永嶋 裕一,永嶋 裕一.1,4,渡辺 浩司,渡辺 浩司.1,5,清水 敦揮,清水 敦揮.1,6,内田 圭,内田 圭.1
2.0,3.0,21.9,1.0,3.0,191.6,1.0,2.0,223.8,1.0,2.0,54.1,1.0,2.0,147.9,1.0,2.0,3796.0
2.0,4.0,10.8,1.0,4.0,118.0,1.0,4.0,74.0,1.0,3.0,62.0,1.0,3.0,155.0,1.0,3.0,4406.0
2.0,5.0,19.6,1.0,5.0,186.2,1.0,5.0,88.3,1.0,5.0,23.8,1.0,4.0,72.6,1.0,4.0,3334.0
2.0,6.0,160.9,1.0,6.0,702.0,1.0,6.0,530.6,1.0,6.0,196.2,1.0,6.0,334.8,1.0,5.0,3602.0
3.0,2.0,23.7,3.0,1.0,501.5,2.0,1.0,545.3,2.0,1.0,174.8,2.0,1.0,388.6,2.0,1.0,3143.0
3.0,4.0,8.7,3.0,4.0,711.1,2.0,4.0,761.6,2.0,3.0,516.7,2.0,3.0,1114.0,2.0,3.0,5806.0
3.0,5.0,14.3,3.0,5.0,1175.0,2.0,5.0,977.2,2.0,5.0,246.6,2.0,4.0,555.1,2.0,4.0,5672.0
3.0,6.0,167.1,3.0,6.0,2174.0,2.0,6.0,1821.0,2.0,6.0,780.8,2.0,6.0,1430.0,2.0,5.0,7592.0
4.0,2.0,9.0,4.0,1.0,263.4,4.0,1.0,134.4,3.0,1.0,153.6,3.0,1.0,346.0,3.0,1.0,6169.0
4.0,3.0,7.9,4.0,3.0,590.3,4.0,2.0,552.0,3.0,2.0,555.7,3.0,2.0,1147.0,3.0,2.0,5875.0
4.0,5.0,5.9,4.0,5.0,473.6,4.0,5.0,175.0,3.0,5.0,187.4,3.0,4.0,434.4,3.0,4.0,5806.0
4.0,6.0,96.8,4.0,6.0,1486.0,4.0,6.0,1034.0,3.0,6.0,1150.0,3.0,6.0,2091.0,3.0,5.0,6247.0
5.0,2.0,30.6,5.0,1.0,557.6,5.0,1.0,245.0,5.0,1.0,37.5,4.0,1.0,89.5,4.0,1.0,4218.0
5.0,3.0,23.3,5.0,3.0,1312.0,5.0,2.0,826.6,5.0,2.0,120.8,4.0,2.0,251.6,4.0,2.0,6327.0
5.0,4.0,14.3,5.0,4.0,710.1,5.0,4.0,303.8,5.0,3.0,117.0,4.0,3.0,274.7,4.0,3.0,6409.0
5.0,6.0,167.9,5.0,6.0,2480.0,5.0,6.0,1451.0,5.0,6.0,172.6,4.0,6.0,394.5,4.0,5.0,4078.0
6.0,2.0,605.5,6.0,1.0,2480.0,6.0,1.0,1898.0,6.0,1.0,719.4,6.0,1.0,1068.0,5.0,1.0,4147.0
6.0,3.0,558.2,6.0,3.0,3602.0,6.0,2.0,3027.0,6.0,2.0,1378.0,6.0,2.0,1725.0,5.0,2.0,8225.0
6.0,4.0,435.2,6.0,4.0,4045.0,6.0,4.0,2903.0,6.0,3.0,1701.0,6.0,3.0,2869.0,5.0,3.0,7152.0
6.0,5.0,533.5,6.0,5.0,4045.0,6.0,5.0,3204.0,6.0,5.0,833.6,6.0,4.0,1509.0,5.0,4.0,4527.0
