1,松本 博昭,松本 博昭.1,2,吉田 祐貴,吉田 祐貴.1,3,江藤 敦宏,江藤 敦宏.1,4,長畑 友輔,長畑 友輔.1,5,佐藤　謙史朗,佐藤　謙史朗.1,6,中辻 博訓,中辻 博訓.1
2.0,3.0,27.3,1.0,3.0,289.9,1.0,2.0,397.2,1.0,2.0,197.6,1.0,2.0,59.4,1.0,2.0,84.9
2.0,4.0,24.7,1.0,4.0,238.8,1.0,4.0,306.3,1.0,3.0,319.6,1.0,3.0,109.2,1.0,3.0,175.5
2.0,5.0,12.5,1.0,5.0,189.6,1.0,5.0,223.5,1.0,5.0,103.3,1.0,4.0,77.0,1.0,4.0,98.2
2.0,6.0,15.0,1.0,6.0,156.4,1.0,6.0,278.9,1.0,6.0,100.0,1.0,6.0,27.1,1.0,5.0,45.4
3.0,2.0,36.5,3.0,1.0,559.8,2.0,1.0,694.1,2.0,1.0,534.0,2.0,1.0,199.3,2.0,1.0,227.1
3.0,4.0,41.7,3.0,4.0,1153.0,2.0,4.0,1102.0,2.0,3.0,1271.0,2.0,3.0,667.0,2.0,3.0,728.4
3.0,5.0,24.8,3.0,5.0,1281.0,2.0,5.0,1149.0,2.0,5.0,728.4,2.0,4.0,567.7,2.0,4.0,588.3
3.0,6.0,30.3,3.0,6.0,1045.0,2.0,6.0,1025.0,2.0,6.0,609.3,2.0,6.0,192.3,2.0,5.0,339.4
4.0,2.0,36.6,4.0,1.0,548.5,4.0,1.0,748.6,3.0,1.0,762.7,3.0,1.0,322.2,3.0,1.0,558.9
4.0,3.0,55.5,4.0,3.0,1214.0,4.0,2.0,1106.0,3.0,2.0,1345.0,3.0,2.0,775.5,3.0,2.0,1035.0
4.0,5.0,22.5,4.0,5.0,1121.0,4.0,5.0,979.3,3.0,5.0,964.7,3.0,4.0,755.6,3.0,4.0,1045.0
4.0,6.0,23.5,4.0,6.0,720.3,4.0,6.0,1091.0,3.0,6.0,890.5,3.0,6.0,318.7,3.0,5.0,563.7
5.0,2.0,17.4,5.0,1.0,369.6,5.0,1.0,385.9,5.0,1.0,122.0,4.0,1.0,149.3,4.0,1.0,243.1
5.0,3.0,31.1,5.0,3.0,1042.0,5.0,2.0,1187.0,5.0,2.0,370.4,4.0,2.0,435.1,4.0,2.0,639.3
5.0,4.0,22.8,5.0,4.0,826.9,5.0,4.0,1013.0,5.0,3.0,612.7,4.0,3.0,656.2,4.0,3.0,997.4
5.0,6.0,9.4,5.0,6.0,453.3,5.0,6.0,536.6,5.0,6.0,111.0,4.0,6.0,121.0,4.0,5.0,222.3
6.0,2.0,24.1,6.0,1.0,348.1,6.0,1.0,538.4,6.0,1.0,153.1,6.0,1.0,33.2,5.0,1.0,56.5
6.0,3.0,46.7,6.0,3.0,1106.0,6.0,2.0,1183.0,6.0,2.0,399.2,6.0,2.0,82.4,5.0,2.0,164.8
6.0,4.0,30.3,6.0,4.0,802.3,6.0,4.0,1153.0,6.0,3.0,723.5,6.0,3.0,143.8,5.0,3.0,235.4
6.0,5.0,13.2,6.0,5.0,508.8,6.0,5.0,691.1,6.0,5.0,151.6,6.0,4.0,81.8,5.0,4.0,131.8
