1,横田 貴満,横田 貴満.1,2,浮田 圭浩,浮田 圭浩.1,3,畑 竜生,畑 竜生.1,4,金子 順一,金子 順一.1,5,郷原 章平,郷原 章平.1,6,安河内 将,安河内 将.1
2.0,3.0,14.9,1.0,3.0,89.2,1.0,2.0,91.5,1.0,2.0,420.4,1.0,2.0,159.7,1.0,2.0,73.7
2.0,4.0,52.5,1.0,4.0,276.8,1.0,4.0,234.9,1.0,3.0,566.3,1.0,3.0,125.8,1.0,3.0,48.8
2.0,5.0,21.5,1.0,5.0,127.5,1.0,5.0,65.0,1.0,5.0,258.6,1.0,4.0,235.4,1.0,4.0,179.9
2.0,6.0,14.4,1.0,6.0,76.5,1.0,6.0,40.5,1.0,6.0,254.0,1.0,6.0,59.8,1.0,5.0,44.7
3.0,2.0,14.1,3.0,1.0,210.7,2.0,1.0,202.1,2.0,1.0,847.7,2.0,1.0,408.5,2.0,1.0,184.7
3.0,4.0,58.4,3.0,4.0,1105.0,2.0,4.0,805.7,2.0,3.0,1314.0,2.0,3.0,655.5,2.0,3.0,340.8
3.0,5.0,13.4,3.0,5.0,489.6,2.0,5.0,369.9,2.0,5.0,900.5,2.0,4.0,874.7,2.0,4.0,554.3
3.0,6.0,9.0,3.0,6.0,265.4,2.0,6.0,192.3,2.0,6.0,755.4,2.0,6.0,311.4,2.0,5.0,285.9
4.0,2.0,98.1,4.0,1.0,613.0,4.0,1.0,668.1,3.0,1.0,1008.0,3.0,1.0,301.5,3.0,1.0,116.5
4.0,3.0,111.0,4.0,3.0,1331.0,4.0,2.0,1156.0,3.0,2.0,1553.0,3.0,2.0,734.1,3.0,2.0,308.7
4.0,5.0,74.3,4.0,5.0,982.0,4.0,5.0,713.9,3.0,5.0,1213.0,3.0,4.0,1010.0,3.0,4.0,590.1
4.0,6.0,66.9,4.0,6.0,767.7,4.0,6.0,637.0,3.0,6.0,1126.0,3.0,6.0,227.2,3.0,5.0,174.8
5.0,2.0,32.1,5.0,1.0,330.8,5.0,1.0,170.6,5.0,1.0,265.6,4.0,1.0,382.1,4.0,1.0,431.5
5.0,3.0,23.3,5.0,3.0,698.6,5.0,2.0,411.4,5.0,2.0,443.7,4.0,2.0,632.4,4.0,2.0,705.2
5.0,4.0,71.6,5.0,4.0,1043.0,5.0,4.0,678.6,5.0,3.0,613.0,4.0,3.0,880.7,4.0,3.0,797.0
5.0,6.0,15.9,5.0,6.0,372.3,5.0,6.0,151.6,5.0,6.0,191.9,4.0,6.0,268.2,4.0,5.0,354.8
6.0,2.0,20.3,6.0,1.0,207.6,6.0,1.0,89.2,6.0,1.0,295.2,6.0,1.0,68.1,5.0,1.0,65.2
6.0,3.0,13.5,6.0,3.0,375.8,6.0,2.0,210.9,6.0,2.0,535.4,6.0,2.0,177.8,5.0,2.0,203.9
6.0,4.0,61.1,6.0,4.0,819.6,6.0,4.0,534.3,6.0,3.0,669.0,6.0,3.0,128.7,5.0,3.0,143.9
6.0,5.0,16.4,6.0,5.0,369.6,6.0,5.0,135.7,6.0,5.0,242.7,6.0,4.0,198.2,5.0,4.0,232.6
