1,中山 翔太,中山 翔太.1,2,上野 俊樹,上野 俊樹.1,3,大原 祥昌,大原 祥昌.1,4,嘉手苅　徹哉,嘉手苅　徹哉.1,5,井上 慧人,井上 慧人.1,6,中島 秀治,中島 秀治.1
2.0,3.0,7.4,1.0,3.0,55.2,1.0,2.0,104.9,1.0,2.0,508.8,1.0,2.0,166.6,1.0,2.0,40.8
2.0,4.0,48.5,1.0,4.0,227.1,1.0,4.0,288.6,1.0,3.0,748.9,1.0,3.0,230.5,1.0,3.0,50.7
2.0,5.0,28.5,1.0,5.0,129.0,1.0,5.0,165.0,1.0,5.0,447.1,1.0,4.0,385.9,1.0,4.0,212.5
2.0,6.0,7.0,1.0,6.0,40.5,1.0,6.0,60.1,1.0,6.0,375.1,1.0,6.0,77.5,1.0,5.0,73.7
3.0,2.0,8.4,3.0,1.0,157.0,2.0,1.0,188.8,2.0,1.0,892.5,2.0,1.0,314.5,2.0,1.0,87.0
3.0,4.0,60.1,3.0,4.0,923.3,2.0,4.0,1060.0,2.0,3.0,1400.0,2.0,3.0,888.8,2.0,3.0,168.2
3.0,5.0,34.7,3.0,5.0,603.3,2.0,5.0,709.2,2.0,5.0,1151.0,2.0,4.0,1098.0,2.0,4.0,582.0
3.0,6.0,8.2,3.0,6.0,236.4,2.0,6.0,240.4,2.0,6.0,856.8,2.0,6.0,298.3,2.0,5.0,243.4
4.0,2.0,107.2,4.0,1.0,751.6,4.0,1.0,773.3,3.0,1.0,1060.0,3.0,1.0,477.0,3.0,1.0,118.0
4.0,3.0,130.9,4.0,3.0,1081.0,4.0,2.0,1065.0,3.0,2.0,1373.0,3.0,2.0,1098.0,3.0,2.0,205.3
4.0,5.0,175.5,4.0,5.0,1622.0,4.0,5.0,1164.0,3.0,5.0,1497.0,3.0,4.0,1497.0,3.0,4.0,647.1
4.0,6.0,88.6,4.0,6.0,827.0,4.0,6.0,892.5,3.0,6.0,1176.0,3.0,6.0,536.8,3.0,5.0,342.7
5.0,2.0,55.6,5.0,1.0,318.7,5.0,1.0,392.3,5.0,1.0,550.6,4.0,1.0,665.2,4.0,1.0,582.0
5.0,3.0,71.0,5.0,3.0,892.5,5.0,2.0,939.5,5.0,2.0,870.7,4.0,2.0,1121.0,4.0,2.0,814.4
5.0,4.0,186.2,5.0,4.0,1275.0,5.0,4.0,1610.0,5.0,3.0,1519.0,4.0,3.0,1700.0,4.0,3.0,964.8
5.0,6.0,34.0,5.0,6.0,368.0,5.0,6.0,454.7,5.0,6.0,534.1,4.0,6.0,637.5,4.0,5.0,796.3
6.0,2.0,11.0,6.0,1.0,87.5,6.0,1.0,102.2,6.0,1.0,507.5,6.0,1.0,83.8,5.0,1.0,104.8
6.0,3.0,13.1,6.0,3.0,197.4,6.0,2.0,215.7,6.0,2.0,726.1,6.0,2.0,176.1,5.0,2.0,210.6
6.0,4.0,65.7,6.0,4.0,770.5,6.0,4.0,633.7,6.0,3.0,1121.0,6.0,3.0,273.9,5.0,3.0,308.2
6.0,5.0,29.2,6.0,5.0,304.2,6.0,5.0,343.8,6.0,5.0,637.5,6.0,4.0,485.7,5.0,4.0,582.0
