1,向井田　直弥,向井田　直弥.1,2,坂井 康嗣,坂井 康嗣.1,3,富永 大一,富永 大一.1,4,田中 宏樹,田中 宏樹.1,5,草場 康幸,草場 康幸.1,6,井内　将太郎,井内　将太郎.1
2.0,3.0,16.4,1.0,3.0,60.2,1.0,2.0,54.1,1.0,2.0,124.9,1.0,2.0,434.5,1.0,2.0,153.6
2.0,4.0,25.0,1.0,4.0,78.1,1.0,4.0,34.5,1.0,3.0,105.0,1.0,3.0,401.9,1.0,3.0,140.3
2.0,5.0,54.2,1.0,5.0,169.8,1.0,5.0,91.2,1.0,5.0,156.3,1.0,4.0,617.1,1.0,4.0,167.6
2.0,6.0,29.2,1.0,6.0,76.6,1.0,6.0,36.3,1.0,6.0,67.5,1.0,6.0,335.2,1.0,5.0,209.1
3.0,2.0,14.1,3.0,1.0,101.2,2.0,1.0,95.0,2.0,1.0,131.2,2.0,1.0,711.6,2.0,1.0,251.7
3.0,4.0,10.3,3.0,4.0,105.4,2.0,4.0,71.2,2.0,3.0,115.6,2.0,3.0,1064.0,2.0,3.0,273.4
3.0,5.0,32.0,3.0,5.0,271.8,2.0,5.0,221.4,2.0,5.0,213.9,2.0,4.0,1018.0,2.0,4.0,261.2
3.0,6.0,13.0,3.0,6.0,87.6,2.0,6.0,58.8,2.0,6.0,74.1,2.0,6.0,690.5,2.0,5.0,433.1
4.0,2.0,34.8,4.0,1.0,120.7,4.0,1.0,57.0,3.0,1.0,122.4,3.0,1.0,471.2,3.0,1.0,232.4
4.0,3.0,22.2,4.0,3.0,127.3,4.0,2.0,73.1,3.0,2.0,139.9,3.0,2.0,1003.0,3.0,2.0,346.9
4.0,5.0,66.0,4.0,5.0,396.2,4.0,5.0,114.2,3.0,5.0,178.1,3.0,4.0,861.0,3.0,4.0,250.4
4.0,6.0,25.6,4.0,6.0,113.7,4.0,6.0,40.6,3.0,6.0,70.9,3.0,6.0,622.6,3.0,5.0,454.3
5.0,2.0,135.9,5.0,1.0,431.8,5.0,1.0,201.8,5.0,1.0,218.2,4.0,1.0,601.2,4.0,1.0,168.2
5.0,3.0,117.3,5.0,3.0,648.7,5.0,2.0,400.8,5.0,2.0,299.3,4.0,2.0,855.7,4.0,2.0,259.7
5.0,4.0,155.8,5.0,4.0,745.9,5.0,4.0,213.6,5.0,3.0,299.9,4.0,3.0,911.6,4.0,3.0,239.6
5.0,6.0,105.5,5.0,6.0,471.2,5.0,6.0,203.6,5.0,6.0,120.3,4.0,6.0,337.7,4.0,5.0,236.4
6.0,2.0,59.7,6.0,1.0,204.2,6.0,1.0,83.8,6.0,1.0,84.6,6.0,1.0,346.1,5.0,1.0,329.7
6.0,3.0,39.2,6.0,3.0,200.4,6.0,2.0,110.7,6.0,2.0,105.1,6.0,2.0,507.2,5.0,2.0,677.1
6.0,4.0,50.5,6.0,4.0,232.0,6.0,4.0,74.6,6.0,3.0,90.2,6.0,3.0,560.1,5.0,3.0,505.3
6.0,5.0,87.5,6.0,5.0,401.9,6.0,5.0,185.2,6.0,5.0,106.8,6.0,4.0,415.1,5.0,4.0,348.7
