1,佐藤 旭,佐藤 旭.1,2,中辻 崇人,中辻 崇人.1,3,野長瀬　正孝,野長瀬　正孝.1,4,山田 亮太,山田 亮太.1,5,松崎　祐太郎,松崎　祐太郎.1,6,山ノ内　雅人,山ノ内　雅人.1
2.0,3.0,5.9,1.0,3.0,11.5,1.0,2.0,124.1,1.0,2.0,304.8,1.0,2.0,69.9,1.0,2.0,868.8
2.0,4.0,12.5,1.0,4.0,25.5,1.0,4.0,268.3,1.0,3.0,454.6,1.0,3.0,132.8,1.0,3.0,1488.0
2.0,5.0,7.6,1.0,5.0,12.5,1.0,5.0,151.0,1.0,5.0,402.2,1.0,4.0,270.0,1.0,4.0,2434.0
2.0,6.0,32.4,1.0,6.0,49.8,1.0,6.0,459.9,1.0,6.0,777.5,1.0,6.0,167.6,1.0,5.0,994.9
3.0,2.0,18.4,3.0,1.0,34.7,2.0,1.0,133.0,2.0,1.0,339.9,2.0,1.0,80.0,2.0,1.0,1069.0
3.0,4.0,42.0,3.0,4.0,69.6,2.0,4.0,201.5,2.0,3.0,383.6,2.0,3.0,96.5,2.0,3.0,1384.0
3.0,5.0,33.4,3.0,5.0,29.7,2.0,5.0,111.5,2.0,5.0,320.9,2.0,4.0,230.4,2.0,4.0,2342.0
3.0,6.0,94.8,3.0,6.0,99.3,2.0,6.0,341.0,2.0,6.0,836.0,2.0,6.0,135.1,2.0,5.0,785.2
4.0,2.0,47.4,4.0,1.0,103.3,4.0,1.0,554.0,3.0,1.0,852.7,3.0,1.0,293.5,3.0,1.0,2832.0
4.0,3.0,73.9,4.0,3.0,122.4,4.0,2.0,420.9,3.0,2.0,566.5,3.0,2.0,169.7,3.0,2.0,1808.0
4.0,5.0,77.3,4.0,5.0,106.4,4.0,5.0,507.9,3.0,5.0,815.2,3.0,4.0,541.6,3.0,4.0,3937.0
4.0,6.0,169.9,4.0,6.0,207.2,4.0,6.0,1105.0,3.0,6.0,1927.0,3.0,6.0,463.4,3.0,5.0,2631.0
5.0,2.0,22.8,5.0,1.0,38.2,5.0,1.0,255.1,5.0,1.0,584.3,4.0,1.0,599.5,4.0,1.0,3136.0
5.0,3.0,44.8,5.0,3.0,41.6,5.0,2.0,170.0,5.0,2.0,437.1,4.0,2.0,437.4,4.0,2.0,3265.0
5.0,4.0,83.2,5.0,4.0,91.1,5.0,4.0,507.0,5.0,3.0,741.2,4.0,3.0,710.8,4.0,3.0,3909.0
5.0,6.0,83.9,5.0,6.0,63.0,5.0,6.0,572.9,5.0,6.0,821.2,4.0,6.0,856.7,4.0,5.0,3050.0
6.0,2.0,167.6,6.0,1.0,276.4,6.0,1.0,1225.0,6.0,1.0,1472.0,6.0,1.0,336.6,5.0,1.0,1230.0
6.0,3.0,277.5,6.0,3.0,323.9,6.0,2.0,827.3,6.0,2.0,1533.0,6.0,2.0,266.0,5.0,2.0,850.1
6.0,4.0,367.1,6.0,4.0,485.2,6.0,4.0,1862.0,6.0,3.0,2342.0,6.0,3.0,476.1,5.0,3.0,2168.0
6.0,5.0,253.7,6.0,5.0,224.5,6.0,5.0,1220.0,6.0,5.0,1412.0,6.0,4.0,717.2,5.0,4.0,2721.0
