1,菅 章哉,菅 章哉.1,2,大上 卓人,大上 卓人.1,3,永田 啓二,永田 啓二.1,4,森 智哉,森 智哉.1,5,富山 弘幸,富山 弘幸.1,6,伊藤 誠二,伊藤 誠二.1
2.0,3.0,4.1,1.0,3.0,25.3,1.0,2.0,32.2,1.0,2.0,258.6,1.0,2.0,546.2,1.0,2.0,858.8
2.0,4.0,11.0,1.0,4.0,62.5,1.0,4.0,45.2,1.0,3.0,262.8,1.0,3.0,468.5,1.0,3.0,795.3
2.0,5.0,16.1,1.0,5.0,86.4,1.0,5.0,52.4,1.0,5.0,365.4,1.0,4.0,793.5,1.0,4.0,1736.0
2.0,6.0,31.7,1.0,6.0,114.9,1.0,6.0,74.9,1.0,6.0,450.3,1.0,6.0,844.9,1.0,5.0,2030.0
3.0,2.0,5.5,3.0,1.0,54.3,2.0,1.0,55.5,2.0,1.0,419.3,2.0,1.0,1006.0,2.0,1.0,1136.0
3.0,4.0,9.9,3.0,4.0,154.9,2.0,4.0,144.4,2.0,3.0,718.6,2.0,3.0,1224.0,2.0,3.0,1609.0
3.0,5.0,13.2,3.0,5.0,167.4,2.0,5.0,128.7,2.0,5.0,927.5,2.0,4.0,1740.0,2.0,4.0,2727.0
3.0,6.0,28.1,3.0,6.0,229.4,2.0,6.0,214.3,2.0,6.0,1136.0,2.0,6.0,2118.0,2.0,5.0,3337.0
4.0,2.0,33.4,4.0,1.0,228.6,4.0,1.0,143.6,3.0,1.0,402.0,3.0,1.0,723.6,3.0,1.0,1009.0
4.0,3.0,34.9,4.0,3.0,364.9,4.0,2.0,228.7,3.0,2.0,727.9,3.0,2.0,1314.0,3.0,2.0,1778.0
4.0,5.0,67.4,4.0,5.0,570.1,4.0,5.0,260.5,3.0,5.0,883.8,3.0,4.0,1752.0,3.0,4.0,2888.0
4.0,6.0,93.3,4.0,6.0,662.0,4.0,6.0,307.8,3.0,6.0,952.9,3.0,6.0,1761.0,3.0,5.0,3322.0
5.0,2.0,61.9,5.0,1.0,409.0,5.0,1.0,189.2,5.0,1.0,578.7,4.0,1.0,950.4,4.0,1.0,2444.0
5.0,3.0,55.6,5.0,3.0,485.0,5.0,2.0,298.2,5.0,2.0,911.3,4.0,2.0,1458.0,4.0,2.0,3908.0
5.0,4.0,115.9,5.0,4.0,945.5,5.0,4.0,411.3,5.0,3.0,884.8,4.0,3.0,1638.0,4.0,3.0,3383.0
5.0,6.0,142.6,5.0,6.0,981.0,5.0,6.0,432.7,5.0,6.0,818.4,4.0,6.0,1413.0,4.0,5.0,3136.0
6.0,2.0,115.2,6.0,1.0,441.9,6.0,1.0,350.8,6.0,1.0,921.6,6.0,1.0,1516.0,5.0,1.0,3110.0
6.0,3.0,111.4,6.0,3.0,638.3,6.0,2.0,575.9,6.0,2.0,1438.0,6.0,2.0,2248.0,5.0,2.0,4152.0
6.0,4.0,214.7,6.0,4.0,1140.0,6.0,4.0,717.9,6.0,3.0,1341.0,6.0,3.0,2284.0,5.0,3.0,3729.0
6.0,5.0,221.0,6.0,5.0,1284.0,6.0,5.0,692.1,6.0,5.0,1341.0,6.0,4.0,2118.0,5.0,4.0,3480.0
