1,前原 大道,前原 大道.1,2,原村 拓也,原村 拓也.1,3,中村 有裕,中村 有裕.1,4,青木　幸太郎,青木　幸太郎.1,5,守田 俊介,守田 俊介.1,6,花田 凱成,花田 凱成.1
2.0,3.0,34.7,1.0,3.0,163.0,1.0,2.0,96.3,1.0,2.0,101.0,1.0,2.0,74.5,1.0,2.0,1964.0
2.0,4.0,44.6,1.0,4.0,192.9,1.0,4.0,49.1,1.0,3.0,54.0,1.0,3.0,28.3,1.0,3.0,2915.0
2.0,5.0,30.3,1.0,5.0,127.6,1.0,5.0,30.2,1.0,5.0,36.7,1.0,4.0,41.4,1.0,4.0,2175.0
2.0,6.0,322.5,1.0,6.0,768.6,1.0,6.0,485.9,1.0,6.0,275.4,1.0,6.0,160.9,1.0,5.0,1562.0
3.0,2.0,23.8,3.0,1.0,273.8,2.0,1.0,207.9,2.0,1.0,212.0,2.0,1.0,149.1,2.0,1.0,3214.0
3.0,4.0,15.5,3.0,4.0,361.2,2.0,4.0,258.3,2.0,3.0,283.9,2.0,3.0,198.0,2.0,3.0,4489.0
3.0,5.0,7.9,3.0,5.0,217.0,2.0,5.0,147.3,2.0,5.0,166.4,2.0,4.0,191.7,2.0,4.0,4489.0
3.0,6.0,201.7,3.0,6.0,1644.0,2.0,6.0,1092.0,2.0,6.0,754.2,2.0,6.0,547.0,2.0,5.0,3327.0
4.0,2.0,40.3,4.0,1.0,302.5,4.0,1.0,84.6,3.0,1.0,71.8,3.0,1.0,46.5,3.0,1.0,5237.0
4.0,3.0,21.0,4.0,3.0,417.1,4.0,2.0,197.6,3.0,2.0,181.3,3.0,2.0,150.2,3.0,2.0,3041.0
4.0,5.0,15.3,4.0,5.0,274.3,4.0,5.0,63.1,3.0,5.0,57.9,3.0,4.0,89.1,3.0,4.0,3928.0
4.0,6.0,254.1,4.0,6.0,1219.0,4.0,6.0,688.1,3.0,6.0,610.9,3.0,6.0,306.1,3.0,5.0,2773.0
5.0,2.0,23.0,5.0,1.0,196.6,5.0,1.0,32.4,5.0,1.0,28.7,4.0,1.0,42.9,4.0,1.0,2946.0
5.0,3.0,9.8,5.0,3.0,238.2,5.0,2.0,109.5,5.0,2.0,73.0,4.0,2.0,117.2,4.0,2.0,5237.0
5.0,4.0,15.9,5.0,4.0,324.7,5.0,4.0,62.8,5.0,3.0,45.4,4.0,3.0,76.6,4.0,3.0,4351.0
5.0,6.0,107.0,5.0,6.0,727.1,5.0,6.0,218.2,5.0,6.0,96.3,4.0,6.0,147.3,4.0,5.0,2668.0
6.0,2.0,744.3,6.0,1.0,1977.0,6.0,1.0,1003.0,6.0,1.0,716.0,6.0,1.0,424.6,5.0,1.0,1693.0
6.0,3.0,659.3,6.0,3.0,2746.0,6.0,2.0,2020.0,6.0,2.0,1303.0,6.0,2.0,824.6,5.0,2.0,2618.0
6.0,4.0,748.2,6.0,4.0,2946.0,6.0,4.0,1334.0,6.0,3.0,1113.0,6.0,3.0,480.2,5.0,3.0,2095.0
6.0,5.0,477.7,6.0,5.0,1724.0,6.0,5.0,470.6,6.0,5.0,510.5,6.0,4.0,440.5,5.0,4.0,2159.0
