1,高田 明,高田 明.1,2,藤田 竜弘,藤田 竜弘.1,3,山口 修路,山口 修路.1,4,山田 丈,山田 丈.1,5,桂林 寛,桂林 寛.1,6,服部 達哉,服部 達哉.1
2.0,3.0,14.3,1.0,3.0,87.5,1.0,2.0,162.5,1.0,2.0,31.5,1.0,2.0,393.8,1.0,2.0,693.2
2.0,4.0,7.7,1.0,4.0,48.1,1.0,4.0,108.3,1.0,3.0,61.2,1.0,3.0,668.4,1.0,3.0,1465.0
2.0,5.0,33.5,1.0,5.0,178.2,1.0,5.0,288.6,1.0,5.0,35.2,1.0,4.0,240.0,1.0,4.0,442.0
2.0,6.0,32.3,1.0,6.0,135.4,1.0,6.0,299.6,1.0,6.0,32.1,1.0,6.0,386.3,1.0,5.0,960.5
3.0,2.0,17.9,3.0,1.0,251.5,2.0,1.0,330.6,2.0,1.0,66.0,2.0,1.0,694.3,2.0,1.0,933.6
3.0,4.0,12.4,3.0,4.0,307.9,2.0,4.0,349.2,2.0,3.0,201.8,2.0,3.0,1334.0,2.0,3.0,2137.0
3.0,5.0,40.6,3.0,5.0,672.2,2.0,5.0,840.9,2.0,5.0,181.7,2.0,4.0,697.4,2.0,4.0,884.0
3.0,6.0,48.8,3.0,6.0,681.1,2.0,6.0,722.2,2.0,6.0,135.8,2.0,6.0,859.5,2.0,5.0,1301.0
4.0,2.0,7.5,4.0,1.0,92.3,4.0,1.0,172.9,3.0,1.0,154.2,3.0,1.0,1259.0,3.0,1.0,2306.0
4.0,3.0,10.4,4.0,3.0,238.1,4.0,2.0,280.8,3.0,2.0,242.6,3.0,2.0,1758.0,3.0,2.0,2823.0
4.0,5.0,15.2,4.0,5.0,301.7,4.0,5.0,401.2,3.0,5.0,317.7,3.0,4.0,1498.0,3.0,4.0,1925.0
4.0,6.0,13.5,4.0,6.0,220.3,4.0,6.0,352.9,3.0,6.0,265.4,3.0,6.0,2166.0,3.0,5.0,3085.0
5.0,2.0,77.8,5.0,1.0,536.7,5.0,1.0,872.4,5.0,1.0,57.4,4.0,1.0,260.9,4.0,1.0,457.1
5.0,3.0,92.9,5.0,3.0,889.0,5.0,2.0,1136.0,5.0,2.0,139.2,4.0,2.0,506.9,4.0,2.0,817.3
5.0,4.0,45.7,5.0,4.0,615.4,5.0,4.0,836.4,5.0,3.0,265.6,4.0,3.0,958.6,4.0,3.0,1663.0
5.0,6.0,87.8,5.0,6.0,785.6,5.0,6.0,1200.0,5.0,6.0,69.9,4.0,6.0,326.0,4.0,5.0,954.6
6.0,2.0,93.6,6.0,1.0,553.3,6.0,1.0,1182.0,6.0,1.0,79.5,6.0,1.0,747.8,5.0,1.0,1712.0
6.0,3.0,152.6,6.0,3.0,1286.0,6.0,2.0,1390.0,6.0,2.0,157.0,6.0,2.0,1098.0,5.0,2.0,1941.0
6.0,4.0,49.5,6.0,4.0,495.0,6.0,4.0,1023.0,6.0,3.0,337.3,6.0,3.0,2127.0,5.0,3.0,2893.0
6.0,5.0,133.4,6.0,5.0,1156.0,6.0,5.0,1805.0,6.0,5.0,113.1,6.0,4.0,649.7,5.0,4.0,1191.0
