1,樋口 亮,樋口 亮.1,2,古川 誠之,古川 誠之.1,3,河合 三弘,河合 三弘.1,4,中村 辰也,中村 辰也.1,5,吉田 祐貴,吉田 祐貴.1,6,小林 甘寧,小林 甘寧.1
2.0,3.0,6.0,1.0,3.0,22.1,1.0,2.0,122.2,1.0,2.0,37.5,1.0,2.0,623.3,1.0,2.0,1653.0
2.0,4.0,4.1,1.0,4.0,14.5,1.0,4.0,136.4,1.0,3.0,85.2,1.0,3.0,868.5,1.0,3.0,2372.0
2.0,5.0,28.3,1.0,5.0,65.7,1.0,5.0,362.3,1.0,5.0,74.8,1.0,4.0,623.3,1.0,4.0,1817.0
2.0,6.0,119.0,1.0,6.0,271.1,1.0,6.0,1154.0,1.0,6.0,336.2,1.0,6.0,2189.0,1.0,5.0,4132.0
3.0,2.0,10.4,3.0,1.0,87.7,2.0,1.0,184.1,2.0,1.0,58.6,2.0,1.0,1016.0,2.0,1.0,2083.0
3.0,4.0,12.6,3.0,4.0,114.6,2.0,4.0,231.4,2.0,3.0,145.8,2.0,3.0,1817.0,2.0,3.0,3327.0
3.0,5.0,41.5,3.0,5.0,313.9,2.0,5.0,565.5,2.0,5.0,156.3,2.0,4.0,1225.0,2.0,4.0,2001.0
3.0,6.0,239.6,3.0,6.0,672.4,2.0,6.0,1313.0,2.0,6.0,526.1,2.0,6.0,3284.0,2.0,5.0,3660.0
4.0,2.0,7.2,4.0,1.0,45.4,4.0,1.0,264.4,3.0,1.0,227.3,3.0,1.0,1384.0,3.0,1.0,2487.0
4.0,3.0,14.1,4.0,3.0,104.7,4.0,2.0,307.9,3.0,2.0,258.8,3.0,2.0,1870.0,3.0,2.0,4200.0
4.0,5.0,25.1,4.0,5.0,180.0,4.0,5.0,719.7,3.0,5.0,467.5,3.0,4.0,2049.0,3.0,4.0,2697.0
4.0,6.0,159.5,4.0,6.0,529.3,4.0,6.0,1754.0,3.0,6.0,1109.0,3.0,6.0,4342.0,3.0,5.0,5023.0
5.0,2.0,103.0,5.0,1.0,440.2,5.0,1.0,883.5,5.0,1.0,128.5,4.0,1.0,578.3,4.0,1.0,1611.0
5.0,3.0,130.0,5.0,3.0,823.8,5.0,2.0,1274.0,5.0,2.0,165.5,4.0,2.0,865.5,4.0,2.0,2066.0
5.0,4.0,94.0,5.0,4.0,495.5,5.0,4.0,1355.0,5.0,3.0,402.8,4.0,3.0,935.0,4.0,3.0,2614.0
5.0,6.0,472.7,5.0,6.0,1843.0,5.0,6.0,3941.0,5.0,6.0,498.4,4.0,6.0,1731.0,4.0,5.0,3086.0
6.0,2.0,565.5,6.0,1.0,1708.0,6.0,1.0,2668.0,6.0,1.0,821.2,6.0,1.0,3882.0,5.0,1.0,4342.0
6.0,3.0,776.4,6.0,3.0,1674.0,6.0,2.0,2372.0,6.0,2.0,1000.0,6.0,2.0,5124.0,5.0,2.0,7117.0
6.0,4.0,694.3,6.0,4.0,1552.0,6.0,4.0,2846.0,6.0,3.0,1431.0,6.0,3.0,5823.0,5.0,3.0,7117.0
6.0,5.0,637.3,6.0,5.0,3824.0,6.0,5.0,2725.0,6.0,5.0,1472.0,6.0,4.0,3941.0,5.0,4.0,5451.0
