1,仲谷 颯仁,仲谷 颯仁.1,2,宮之原　輝紀,宮之原　輝紀.1,3,太田 和美,太田 和美.1,4,守田 俊介,守田 俊介.1,5,新開 航,新開 航.1,6,山口 剛,山口 剛.1
2.0,3.0,11.3,1.0,3.0,52.6,1.0,2.0,126.6,1.0,2.0,136.0,1.0,2.0,119.1,1.0,2.0,225.9
2.0,4.0,10.5,1.0,4.0,43.8,1.0,4.0,120.1,1.0,3.0,235.6,1.0,3.0,155.7,1.0,3.0,373.7
2.0,5.0,11.9,1.0,5.0,43.8,1.0,5.0,107.0,1.0,5.0,142.2,1.0,4.0,182.2,1.0,4.0,356.3
2.0,6.0,14.8,1.0,6.0,45.3,1.0,6.0,114.6,1.0,6.0,136.8,1.0,6.0,93.2,1.0,5.0,293.4
3.0,2.0,16.2,3.0,1.0,165.0,2.0,1.0,281.8,2.0,1.0,210.7,2.0,1.0,233.0,2.0,1.0,332.9
3.0,4.0,20.1,3.0,4.0,372.7,2.0,4.0,354.5,2.0,3.0,557.2,2.0,3.0,528.2,2.0,3.0,752.0
3.0,5.0,18.4,3.0,5.0,329.5,2.0,5.0,327.6,2.0,5.0,329.1,2.0,4.0,516.9,2.0,4.0,540.0
3.0,6.0,23.7,3.0,6.0,294.3,2.0,6.0,285.7,2.0,6.0,271.8,2.0,6.0,246.3,2.0,5.0,553.9
4.0,2.0,17.1,4.0,1.0,118.5,4.0,1.0,280.8,3.0,1.0,451.2,3.0,1.0,363.0,3.0,1.0,693.1
4.0,3.0,29.6,4.0,3.0,356.7,4.0,2.0,380.1,3.0,2.0,688.0,3.0,2.0,668.2,3.0,2.0,1088.0
4.0,5.0,27.7,4.0,5.0,232.3,4.0,5.0,305.3,3.0,5.0,574.5,3.0,4.0,793.8,3.0,4.0,1107.0
4.0,6.0,25.3,4.0,6.0,204.2,4.0,6.0,323.2,3.0,6.0,480.8,3.0,6.0,368.0,3.0,5.0,924.1
5.0,2.0,22.5,5.0,1.0,149.4,5.0,1.0,245.0,5.0,1.0,226.1,4.0,1.0,326.2,4.0,1.0,570.9
5.0,3.0,33.4,5.0,3.0,387.0,5.0,2.0,368.0,5.0,2.0,309.7,4.0,2.0,532.2,4.0,2.0,619.2
5.0,4.0,47.0,5.0,4.0,336.9,5.0,4.0,374.5,5.0,3.0,526.7,4.0,3.0,720.0,4.0,3.0,1077.0
5.0,6.0,29.8,5.0,6.0,234.9,5.0,6.0,298.4,5.0,6.0,210.2,4.0,6.0,270.7,4.0,5.0,706.3
6.0,2.0,40.1,6.0,1.0,188.0,6.0,1.0,385.4,6.0,1.0,248.7,6.0,1.0,181.2,5.0,1.0,387.8
6.0,3.0,59.3,6.0,3.0,510.3,6.0,2.0,527.2,6.0,2.0,333.3,6.0,2.0,290.8,5.0,2.0,596.0
6.0,4.0,63.2,6.0,4.0,346.1,6.0,4.0,645.7,6.0,3.0,561.2,6.0,3.0,371.2,5.0,3.0,817.1
6.0,5.0,55.6,6.0,5.0,354.9,6.0,5.0,446.1,6.0,5.0,298.3,6.0,4.0,333.1,5.0,4.0,668.2
