1,佐々木　翔斗,佐々木　翔斗.1,2,森 智哉,森 智哉.1,3,高橋 龍治,高橋 龍治.1,4,津留　浩一郎,津留　浩一郎.1,5,土井 祥伍,土井 祥伍.1,6,切田 潤二,切田 潤二.1
2.0,3.0,20.9,1.0,3.0,122.8,1.0,2.0,137.1,1.0,2.0,46.2,1.0,2.0,87.0,1.0,2.0,1070.0
2.0,4.0,7.9,1.0,4.0,55.1,1.0,4.0,124.1,1.0,3.0,97.0,1.0,3.0,124.0,1.0,3.0,1116.0
2.0,5.0,10.0,1.0,5.0,67.9,1.0,5.0,122.2,1.0,5.0,44.8,1.0,4.0,92.1,1.0,4.0,796.7
2.0,6.0,31.2,1.0,6.0,188.9,1.0,6.0,243.6,1.0,6.0,97.5,1.0,6.0,131.4,1.0,5.0,813.2
3.0,2.0,31.8,3.0,1.0,348.1,2.0,1.0,252.4,2.0,1.0,88.6,2.0,1.0,195.5,2.0,1.0,1513.0
3.0,4.0,27.1,3.0,4.0,494.3,2.0,4.0,365.9,2.0,3.0,275.6,2.0,3.0,506.4,2.0,3.0,3110.0
3.0,5.0,27.6,3.0,5.0,523.3,2.0,5.0,413.0,2.0,5.0,178.1,2.0,4.0,349.0,2.0,4.0,1682.0
3.0,6.0,71.0,3.0,6.0,848.4,2.0,6.0,690.1,2.0,6.0,310.3,2.0,6.0,542.9,2.0,5.0,2404.0
4.0,2.0,8.8,4.0,1.0,107.4,4.0,1.0,239.4,3.0,1.0,221.5,3.0,1.0,247.4,3.0,1.0,1390.0
4.0,3.0,19.7,4.0,3.0,325.2,4.0,2.0,397.1,3.0,2.0,399.9,3.0,2.0,542.1,3.0,2.0,3038.0
4.0,5.0,9.8,4.0,5.0,210.1,4.0,5.0,413.0,3.0,5.0,340.8,3.0,4.0,549.7,3.0,4.0,1902.0
4.0,6.0,30.1,4.0,6.0,457.3,4.0,6.0,620.2,3.0,6.0,598.4,3.0,6.0,691.3,3.0,5.0,2177.0
5.0,2.0,14.9,5.0,1.0,205.9,5.0,1.0,215.0,5.0,1.0,83.5,4.0,1.0,151.4,4.0,1.0,1202.0
5.0,3.0,29.0,5.0,3.0,507.0,5.0,2.0,499.9,5.0,2.0,156.1,4.0,2.0,296.5,4.0,2.0,1689.0
5.0,4.0,16.6,5.0,4.0,324.7,5.0,4.0,501.2,5.0,3.0,251.1,4.0,3.0,425.6,4.0,3.0,2189.0
5.0,6.0,34.8,5.0,6.0,577.2,5.0,6.0,639.4,5.0,6.0,213.7,4.0,6.0,391.5,4.0,5.0,1441.0
6.0,2.0,109.6,6.0,1.0,740.9,6.0,1.0,583.3,6.0,1.0,369.7,6.0,1.0,359.6,5.0,1.0,967.8
6.0,3.0,133.1,6.0,3.0,1293.0,6.0,2.0,1048.0,6.0,2.0,657.6,6.0,2.0,703.7,5.0,2.0,2202.0
6.0,4.0,94.0,6.0,4.0,1123.0,6.0,4.0,892.8,6.0,3.0,809.8,6.0,3.0,655.4,5.0,3.0,2020.0
6.0,5.0,100.2,6.0,5.0,899.0,6.0,5.0,922.3,6.0,5.0,482.7,6.0,4.0,603.0,5.0,4.0,1479.0
