1,前川 守嗣,前川 守嗣.1,2,岡部 浩,岡部 浩.1,3,天野 誠,天野 誠.1,4,市川 美宏,市川 美宏.1,5,中嶋 達也,中嶋 達也.1,6,中山 鷹輔,中山 鷹輔.1
2.0,3.0,9.9,1.0,3.0,45.0,1.0,2.0,97.8,1.0,2.0,30.9,1.0,2.0,85.1,1.0,2.0,742.3
2.0,4.0,8.3,1.0,4.0,29.7,1.0,4.0,80.6,1.0,3.0,46.6,1.0,3.0,127.7,1.0,3.0,988.2
2.0,5.0,20.6,1.0,5.0,49.6,1.0,5.0,127.2,1.0,5.0,28.4,1.0,4.0,68.9,1.0,4.0,933.6
2.0,6.0,168.1,1.0,6.0,273.7,1.0,6.0,603.9,1.0,6.0,161.3,1.0,6.0,294.3,1.0,5.0,1311.0
3.0,2.0,16.9,3.0,1.0,104.0,2.0,1.0,143.7,2.0,1.0,55.7,2.0,1.0,137.2,2.0,1.0,1079.0
3.0,4.0,15.7,3.0,4.0,141.5,2.0,4.0,173.5,2.0,3.0,131.3,2.0,3.0,227.8,2.0,3.0,1619.0
3.0,5.0,30.0,3.0,5.0,197.6,2.0,5.0,235.9,2.0,5.0,70.8,2.0,4.0,148.3,2.0,4.0,1110.0
3.0,6.0,289.3,3.0,6.0,836.1,2.0,6.0,905.8,2.0,6.0,288.7,2.0,6.0,704.5,2.0,5.0,1811.0
4.0,2.0,12.0,4.0,1.0,61.9,4.0,1.0,133.6,3.0,1.0,110.2,3.0,1.0,237.0,3.0,1.0,1855.0
4.0,3.0,16.4,4.0,3.0,130.9,4.0,2.0,199.1,3.0,2.0,186.0,3.0,2.0,330.1,3.0,2.0,1521.0
4.0,5.0,17.3,4.0,5.0,88.9,4.0,5.0,210.4,3.0,5.0,178.4,3.0,4.0,298.4,3.0,4.0,1951.0
4.0,6.0,152.4,4.0,6.0,462.5,4.0,6.0,685.5,3.0,6.0,731.6,3.0,6.0,1127.0,3.0,5.0,2056.0
5.0,2.0,37.9,5.0,1.0,120.9,5.0,1.0,214.9,5.0,1.0,34.3,4.0,1.0,74.7,4.0,1.0,1071.0
5.0,3.0,51.9,5.0,3.0,227.8,5.0,2.0,300.7,5.0,2.0,50.9,4.0,2.0,98.1,4.0,2.0,969.3
5.0,4.0,37.1,5.0,4.0,138.7,5.0,4.0,272.7,5.0,3.0,98.3,4.0,3.0,169.8,4.0,3.0,1902.0
5.0,6.0,301.3,5.0,6.0,735.1,5.0,6.0,988.2,5.0,6.0,125.3,4.0,6.0,261.0,4.0,5.0,963.2
6.0,2.0,422.7,6.0,1.0,869.6,6.0,1.0,1449.0,6.0,1.0,492.5,6.0,1.0,717.8,5.0,1.0,1537.0
6.0,3.0,592.1,6.0,3.0,1435.0,6.0,2.0,1506.0,6.0,2.0,446.2,6.0,2.0,939.4,5.0,2.0,1951.0
6.0,4.0,454.2,6.0,4.0,742.3,6.0,4.0,1102.0,6.0,3.0,822.6,6.0,3.0,1161.0,5.0,3.0,2113.0
6.0,5.0,608.7,6.0,5.0,1268.0,6.0,5.0,1749.0,6.0,5.0,391.2,6.0,4.0,639.4,5.0,4.0,994.6
