1,坂井 滉哉,坂井 滉哉.1,2,楠 将太郎,楠 将太郎.1,3,柳瀬 幹太,柳瀬 幹太.1,4,中村 駿平,中村 駿平.1,5,三馬 崇史,三馬 崇史.1,6,田村 慶,田村 慶.1
2.0,3.0,22.1,1.0,3.0,81.5,1.0,2.0,49.4,1.0,2.0,353.8,1.0,2.0,312.7,1.0,2.0,174.7
2.0,4.0,52.7,1.0,4.0,159.9,1.0,4.0,30.2,1.0,3.0,199.1,1.0,3.0,147.5,1.0,3.0,76.8
2.0,5.0,59.9,1.0,5.0,188.1,1.0,5.0,31.0,1.0,5.0,242.5,1.0,4.0,375.0,1.0,4.0,189.8
2.0,6.0,24.7,1.0,6.0,80.4,1.0,6.0,17.4,1.0,6.0,128.1,1.0,6.0,165.3,1.0,5.0,183.4
3.0,2.0,17.3,3.0,1.0,125.3,2.0,1.0,105.0,2.0,1.0,385.2,2.0,1.0,586.5,2.0,1.0,289.7
3.0,4.0,18.3,3.0,4.0,238.7,2.0,4.0,150.5,2.0,3.0,450.8,2.0,3.0,526.4,2.0,3.0,276.5
3.0,5.0,18.8,3.0,5.0,263.2,2.0,5.0,176.7,2.0,5.0,536.4,2.0,4.0,911.3,2.0,4.0,503.0
3.0,6.0,10.3,3.0,6.0,117.1,2.0,6.0,89.4,2.0,6.0,289.2,2.0,6.0,402.6,2.0,5.0,497.1
4.0,2.0,62.6,4.0,1.0,310.4,4.0,1.0,63.3,3.0,1.0,207.7,3.0,1.0,170.8,3.0,1.0,96.2
4.0,3.0,42.6,4.0,3.0,339.7,4.0,2.0,135.1,3.0,2.0,389.6,3.0,2.0,405.5,3.0,2.0,230.0
4.0,5.0,74.4,4.0,5.0,491.3,4.0,5.0,82.2,3.0,5.0,254.9,3.0,4.0,393.3,3.0,4.0,201.8
4.0,6.0,44.6,4.0,6.0,275.1,4.0,6.0,45.9,3.0,6.0,135.3,3.0,6.0,152.5,3.0,5.0,164.2
5.0,2.0,83.2,5.0,1.0,470.8,5.0,1.0,68.6,5.0,1.0,285.8,4.0,1.0,552.1,4.0,1.0,281.5
5.0,3.0,43.1,5.0,3.0,401.6,5.0,2.0,170.5,5.0,2.0,503.0,4.0,2.0,721.3,4.0,2.0,477.5
5.0,4.0,135.7,5.0,4.0,609.7,5.0,4.0,104.0,5.0,3.0,307.0,4.0,3.0,521.5,4.0,3.0,249.2
5.0,6.0,57.4,5.0,6.0,355.3,5.0,6.0,58.4,5.0,6.0,202.5,4.0,6.0,373.3,4.0,5.0,370.1
6.0,2.0,34.5,6.0,1.0,190.8,6.0,1.0,34.6,6.0,1.0,153.2,6.0,1.0,217.3,5.0,1.0,275.1
6.0,3.0,19.7,6.0,3.0,169.5,6.0,2.0,84.2,6.0,2.0,269.0,6.0,2.0,377.5,5.0,2.0,509.0
6.0,4.0,46.4,6.0,4.0,307.0,6.0,4.0,56.4,6.0,3.0,159.7,6.0,3.0,168.8,5.0,3.0,205.7
6.0,5.0,58.8,6.0,5.0,330.4,6.0,5.0,58.5,6.0,5.0,186.4,6.0,4.0,397.9,5.0,4.0,387.0
