1,木下 翔太,木下 翔太.1,2,高山 智至,高山 智至.1,3,本橋 克洋,本橋 克洋.1,4,大塚 雅治,大塚 雅治.1,5,今村 暢孝,今村 暢孝.1,6,中本 大樹,中本 大樹.1
2.0,3.0,23.4,1.0,3.0,82.0,1.0,2.0,95.8,1.0,2.0,344.5,1.0,2.0,28.5,1.0,2.0,471.5
2.0,4.0,51.7,1.0,4.0,141.2,1.0,4.0,97.5,1.0,3.0,283.7,1.0,3.0,19.4,1.0,3.0,431.0
2.0,5.0,16.6,1.0,5.0,74.2,1.0,5.0,44.4,1.0,5.0,206.8,1.0,4.0,51.4,1.0,4.0,675.0
2.0,6.0,95.8,1.0,6.0,220.8,1.0,6.0,152.4,1.0,6.0,509.1,1.0,6.0,75.9,1.0,5.0,287.1
3.0,2.0,22.0,3.0,1.0,77.8,2.0,1.0,104.7,2.0,1.0,580.7,2.0,1.0,81.7,2.0,1.0,737.6
3.0,4.0,33.2,3.0,4.0,91.2,2.0,4.0,121.7,2.0,3.0,597.8,2.0,3.0,99.3,2.0,3.0,807.7
3.0,5.0,10.1,3.0,5.0,81.2,2.0,5.0,105.5,2.0,5.0,504.3,2.0,4.0,186.3,2.0,4.0,1073.0
3.0,6.0,65.2,3.0,6.0,128.2,2.0,6.0,168.6,2.0,6.0,830.1,2.0,6.0,304.1,2.0,5.0,743.4
4.0,2.0,83.6,4.0,1.0,240.0,4.0,1.0,162.7,3.0,1.0,372.2,3.0,1.0,46.0,3.0,1.0,659.5
4.0,3.0,63.6,4.0,3.0,195.1,4.0,2.0,221.2,3.0,2.0,524.5,3.0,2.0,95.0,3.0,2.0,854.7
4.0,5.0,50.0,4.0,5.0,237.5,4.0,5.0,170.1,3.0,5.0,370.0,3.0,4.0,133.5,3.0,4.0,896.8
4.0,6.0,143.5,4.0,6.0,312.0,4.0,6.0,253.7,3.0,6.0,616.0,3.0,6.0,206.5,3.0,5.0,702.2
5.0,2.0,8.3,5.0,1.0,91.5,5.0,1.0,60.1,5.0,1.0,284.4,4.0,1.0,195.9,4.0,1.0,1060.0
5.0,3.0,6.6,5.0,3.0,104.3,5.0,2.0,111.7,5.0,2.0,448.9,4.0,2.0,384.7,4.0,2.0,1212.0
5.0,4.0,19.1,5.0,4.0,190.6,5.0,4.0,152.4,5.0,3.0,363.7,4.0,3.0,277.5,4.0,3.0,1129.0
5.0,6.0,33.9,5.0,6.0,303.7,5.0,6.0,232.2,5.0,6.0,732.5,4.0,6.0,510.1,4.0,5.0,1208.0
6.0,2.0,195.0,6.0,1.0,463.6,6.0,1.0,334.7,6.0,1.0,801.6,6.0,1.0,246.6,5.0,1.0,342.4
6.0,3.0,152.1,6.0,3.0,361.4,6.0,2.0,403.6,6.0,2.0,1073.0,6.0,2.0,583.8,5.0,2.0,625.8
6.0,4.0,199.1,6.0,4.0,499.6,6.0,4.0,395.1,6.0,3.0,947.9,6.0,3.0,409.3,5.0,3.0,536.5
6.0,5.0,110.7,6.0,5.0,478.8,6.0,5.0,347.0,6.0,5.0,967.5,6.0,4.0,615.0,5.0,4.0,923.3
