1,日高 逸子,日高 逸子.1,2,山田 理央,山田 理央.1,3,大崎 翔,大崎 翔.1,4,盛本 真輔,盛本 真輔.1,5,小野 信樹,小野 信樹.1,6,三苫 晃幸,三苫 晃幸.1
2.0,3.0,27.9,1.0,3.0,71.8,1.0,2.0,119.3,1.0,2.0,63.4,1.0,2.0,718.2,1.0,2.0,203.5
2.0,4.0,28.2,1.0,4.0,66.8,1.0,4.0,50.0,1.0,3.0,35.5,1.0,3.0,532.8,1.0,3.0,116.5
2.0,5.0,135.6,1.0,5.0,278.6,1.0,5.0,196.1,1.0,5.0,66.8,1.0,4.0,458.0,1.0,4.0,79.7
2.0,6.0,42.8,1.0,6.0,93.8,1.0,6.0,53.6,1.0,6.0,20.5,1.0,6.0,363.8,1.0,5.0,255.2
3.0,2.0,26.4,3.0,1.0,183.9,2.0,1.0,273.7,2.0,1.0,133.0,2.0,1.0,1205.0,2.0,1.0,428.5
3.0,4.0,10.8,3.0,4.0,337.1,2.0,4.0,349.3,2.0,3.0,253.4,2.0,3.0,1639.0,2.0,3.0,741.9
3.0,5.0,62.9,3.0,5.0,882.3,2.0,5.0,789.2,2.0,5.0,364.5,2.0,4.0,1710.0,2.0,4.0,535.1
3.0,6.0,14.1,3.0,6.0,378.4,2.0,6.0,396.3,2.0,6.0,155.9,2.0,6.0,1325.0,2.0,5.0,1335.0
4.0,2.0,24.4,4.0,1.0,152.9,4.0,1.0,61.0,3.0,1.0,53.9,3.0,1.0,945.0,3.0,1.0,160.8
4.0,3.0,12.5,4.0,3.0,311.4,4.0,2.0,231.9,3.0,2.0,187.5,3.0,2.0,1568.0,3.0,2.0,590.6
4.0,5.0,57.4,4.0,5.0,818.0,4.0,5.0,132.1,3.0,5.0,117.0,3.0,4.0,768.9,3.0,4.0,155.2
4.0,6.0,11.2,4.0,6.0,270.6,4.0,6.0,51.4,3.0,6.0,46.9,3.0,6.0,807.0,3.0,5.0,533.6
5.0,2.0,265.2,5.0,1.0,839.0,5.0,1.0,467.5,5.0,1.0,92.8,4.0,1.0,446.6,4.0,1.0,89.8
5.0,3.0,175.4,5.0,3.0,1132.0,5.0,2.0,945.0,5.0,2.0,213.5,4.0,2.0,986.5,4.0,2.0,276.4
5.0,4.0,177.0,5.0,4.0,1325.0,5.0,4.0,384.9,5.0,3.0,164.7,4.0,3.0,613.8,4.0,3.0,131.3
5.0,6.0,130.2,5.0,6.0,1084.0,5.0,6.0,304.3,5.0,6.0,58.5,4.0,6.0,284.1,4.0,5.0,205.7
6.0,2.0,64.3,6.0,1.0,277.7,6.0,1.0,98.6,6.0,1.0,23.7,6.0,1.0,525.0,5.0,1.0,555.9
6.0,3.0,31.7,6.0,3.0,535.9,6.0,2.0,375.6,6.0,2.0,87.5,6.0,2.0,1108.0,5.0,2.0,1136.0
6.0,4.0,24.0,6.0,4.0,435.8,6.0,4.0,86.6,6.0,3.0,39.2,6.0,3.0,740.4,5.0,3.0,721.1
6.0,5.0,99.0,6.0,5.0,1104.0,6.0,5.0,246.9,6.0,5.0,48.4,6.0,4.0,399.0,5.0,4.0,376.8
