1,中岡 健人,中岡 健人.1,2,芦澤 望,芦澤 望.1,3,坂元 浩仁,坂元 浩仁.1,4,西村 秀樹,西村 秀樹.1,5,森 竜也,森 竜也.1,6,清水 敦揮,清水 敦揮.1
2.0,3.0,18.4,1.0,3.0,19.4,1.0,2.0,23.5,1.0,2.0,494.6,1.0,2.0,1021.0,1.0,2.0,84.4
2.0,4.0,56.8,1.0,4.0,60.4,1.0,4.0,51.8,1.0,3.0,415.1,1.0,3.0,940.2,1.0,3.0,70.5
2.0,5.0,96.9,1.0,5.0,105.3,1.0,5.0,92.0,1.0,5.0,771.5,1.0,4.0,1290.0,1.0,4.0,317.6
2.0,6.0,29.2,1.0,6.0,21.4,1.0,6.0,15.8,1.0,6.0,385.7,1.0,6.0,927.9,1.0,5.0,447.8
3.0,2.0,16.4,3.0,1.0,20.6,2.0,1.0,26.7,2.0,1.0,609.3,2.0,1.0,1075.0,2.0,1.0,98.5
3.0,4.0,44.0,3.0,4.0,50.7,2.0,4.0,55.1,2.0,3.0,425.0,2.0,3.0,820.6,2.0,3.0,53.7
3.0,5.0,87.3,3.0,5.0,77.0,2.0,5.0,76.8,2.0,5.0,648.2,2.0,4.0,1290.0,2.0,4.0,215.7
3.0,6.0,18.9,3.0,6.0,17.3,2.0,6.0,15.3,2.0,6.0,358.5,2.0,6.0,763.2,2.0,5.0,363.1
4.0,2.0,133.8,4.0,1.0,179.7,4.0,1.0,125.1,3.0,1.0,465.4,3.0,1.0,1290.0,3.0,1.0,67.8
4.0,3.0,121.7,4.0,3.0,142.5,4.0,2.0,114.5,3.0,2.0,404.4,3.0,2.0,965.8,3.0,2.0,52.0
4.0,5.0,245.6,4.0,5.0,353.1,4.0,5.0,210.0,3.0,5.0,840.0,3.0,4.0,1494.0,3.0,4.0,182.9
4.0,6.0,138.6,4.0,6.0,138.6,4.0,6.0,72.1,3.0,6.0,315.4,3.0,6.0,830.2,3.0,5.0,266.8
5.0,2.0,277.8,5.0,1.0,375.5,5.0,1.0,285.6,5.0,1.0,934.0,4.0,1.0,1774.0,4.0,1.0,589.0
5.0,3.0,319.0,5.0,3.0,300.7,5.0,2.0,209.7,5.0,2.0,806.6,4.0,2.0,1650.0,4.0,2.0,450.7
5.0,4.0,468.5,5.0,4.0,579.4,5.0,4.0,354.9,5.0,3.0,1223.0,4.0,3.0,2289.0,4.0,3.0,407.9
5.0,6.0,396.5,5.0,6.0,338.8,5.0,6.0,137.3,5.0,6.0,815.9,4.0,6.0,1290.0,4.0,5.0,771.5
6.0,2.0,50.7,6.0,1.0,55.6,6.0,1.0,27.3,6.0,1.0,503.4,6.0,1.0,1144.0,5.0,1.0,904.2
6.0,3.0,42.2,6.0,3.0,31.9,6.0,2.0,19.9,6.0,2.0,412.7,6.0,2.0,940.2,5.0,2.0,660.3
6.0,4.0,152.6,6.0,4.0,118.2,6.0,4.0,60.2,6.0,3.0,333.2,6.0,3.0,724.3,5.0,3.0,570.1
6.0,5.0,280.5,6.0,5.0,229.7,6.0,5.0,82.7,6.0,5.0,1006.0,6.0,4.0,1213.0,5.0,4.0,979.1
